alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,xmllint,4,1622487327, 0, 0, 25, 25, 24, 9.52%, 0, 0, 1, 25.73
AFLfast,xmllint,4,1622487332, 0, 0, 35, 35, 24, 9.74%, 0, 0, 2, 5.87
AFLfast,xmllint,4,1622487337, 0, 0, 46, 46, 24, 9.86%, 0, 0, 2, 18.93
AFLfast,xmllint,4,1622487342, 0, 0, 56, 56, 24, 9.88%, 0, 0, 2, 24.19
AFLfast,xmllint,4,1622487347, 0, 0, 67, 67, 24, 9.91%, 0, 0, 2, 25.61
AFLfast,xmllint,4,1622487352, 0, 0, 78, 78, 24, 9.95%, 0, 0, 2, 26.21
AFLfast,xmllint,4,1622487357, 0, 0, 89, 89, 24, 10.00%, 0, 0, 2, 26.60
AFLfast,xmllint,4,1622487363, 0, 0, 99, 99, 24, 10.03%, 0, 0, 2, 26.47
AFLfast,xmllint,4,1622487368, 0, 0, 103, 103, 24, 10.04%, 0, 0, 2, 25.79
AFLfast,xmllint,4,1622487373, 0, 0, 112, 112, 24, 10.12%, 0, 0, 2, 26.71
AFLfast,xmllint,4,1622487378, 0, 0, 123, 123, 24, 10.24%, 0, 0, 2, 25.15
AFLfast,xmllint,4,1622487383, 0, 0, 134, 134, 24, 10.27%, 0, 0, 2, 24.59
AFLfast,xmllint,4,1622487388, 0, 0, 141, 141, 24, 10.28%, 0, 0, 2, 23.94
AFLfast,xmllint,4,1622487393, 0, 0, 149, 149, 24, 10.33%, 0, 0, 2, 23.38
AFLfast,xmllint,4,1622487398, 0, 0, 159, 159, 24, 10.36%, 0, 0, 2, 23.43
AFLfast,xmllint,4,1622487403, 0, 0, 166, 166, 24, 10.36%, 0, 0, 2, 23.21
AFLfast,xmllint,4,1622487409, 0, 0, 174, 174, 24, 10.38%, 0, 0, 2, 23.82
AFLfast,xmllint,4,1622487414, 0, 0, 184, 184, 24, 10.41%, 0, 0, 2, 24.16
AFLfast,xmllint,4,1622487419, 0, 0, 192, 192, 24, 10.42%, 0, 0, 2, 24.28
AFLfast,xmllint,4,1622487424, 0, 0, 200, 200, 24, 10.42%, 0, 0, 2, 26.03
AFLfast,xmllint,4,1622487429, 0, 0, 205, 205, 24, 10.44%, 0, 0, 2, 26.54
AFLfast,xmllint,4,1622487435, 0, 0, 208, 208, 24, 10.44%, 0, 0, 2, 27.53
AFLfast,xmllint,4,1622487440, 0, 0, 211, 211, 24, 10.44%, 0, 0, 2, 26.62
AFLfast,xmllint,4,1622487445, 0, 0, 214, 214, 24, 10.44%, 0, 0, 2, 26.59
AFLfast,xmllint,4,1622487450, 0, 0, 221, 221, 24, 10.44%, 0, 0, 2, 25.34
AFLfast,xmllint,4,1622487455, 0, 0, 228, 228, 24, 10.45%, 0, 0, 2, 25.09
AFLfast,xmllint,4,1622487460, 0, 0, 233, 233, 24, 10.48%, 0, 0, 2, 18.77
AFLfast,xmllint,4,1622487465, 0, 0, 234, 234, 24, 10.48%, 0, 0, 2, 22.87
AFLfast,xmllint,4,1622487471, 0, 0, 238, 238, 24, 10.49%, 0, 0, 2, 26.05
AFLfast,xmllint,4,1622487476, 0, 0, 242, 242, 24, 10.49%, 0, 0, 2, 25.36
AFLfast,xmllint,4,1622487481, 0, 0, 248, 248, 24, 10.50%, 0, 0, 2, 25.06
AFLfast,xmllint,4,1622487486, 0, 0, 250, 250, 24, 10.51%, 0, 0, 2, 27.16
AFLfast,xmllint,4,1622487491, 0, 0, 252, 252, 24, 10.53%, 0, 0, 2, 26.23
AFLfast,xmllint,4,1622487496, 0, 0, 257, 257, 24, 10.54%, 0, 0, 2, 25.88
AFLfast,xmllint,4,1622487501, 0, 0, 260, 260, 24, 10.54%, 0, 0, 2, 27.32
AFLfast,xmllint,4,1622487506, 0, 0, 264, 264, 24, 10.55%, 0, 0, 2, 24.04
AFLfast,xmllint,4,1622487512, 0, 0, 267, 267, 24, 10.56%, 0, 0, 2, 25.52
AFLfast,xmllint,4,1622487517, 0, 0, 270, 270, 24, 10.57%, 0, 0, 2, 24.84
AFLfast,xmllint,4,1622487522, 0, 0, 271, 271, 24, 10.57%, 0, 0, 2, 25.84
AFLfast,xmllint,4,1622487527, 0, 0, 277, 277, 24, 10.59%, 0, 0, 2, 25.25
AFLfast,xmllint,4,1622487532, 0, 0, 285, 285, 24, 10.62%, 0, 0, 2, 24.66
AFLfast,xmllint,4,1622487537, 0, 0, 291, 291, 24, 10.63%, 0, 0, 2, 25.38
AFLfast,xmllint,4,1622487542, 0, 0, 296, 296, 24, 10.65%, 0, 0, 2, 26.91
AFLfast,xmllint,4,1622487553, 0, 0, 298, 298, 24, 10.66%, 0, 0, 2, 25.23
AFLfast,xmllint,4,1622487558, 0, 0, 301, 301, 24, 10.66%, 0, 0, 2, 25.28
AFLfast,xmllint,4,1622487573, 0, 0, 303, 303, 24, 10.67%, 0, 0, 2, 23.90
AFLfast,xmllint,4,1622487578, 0, 0, 308, 308, 24, 10.68%, 0, 0, 2, 25.27
AFLfast,xmllint,4,1622487584, 0, 0, 310, 310, 24, 10.68%, 0, 0, 2, 27.65
AFLfast,xmllint,4,1622487589, 0, 0, 313, 313, 24, 10.69%, 0, 0, 2, 26.13
AFLfast,xmllint,4,1622487594, 0, 0, 315, 315, 24, 10.70%, 0, 0, 2, 27.51
AFLfast,xmllint,4,1622487599, 0, 0, 318, 318, 24, 10.71%, 0, 0, 2, 26.54
AFLfast,xmllint,4,1622487615, 0, 0, 319, 319, 24, 10.71%, 0, 0, 2, 25.62
AFLfast,xmllint,4,1622487620, 0, 0, 320, 320, 24, 10.71%, 0, 0, 2, 25.04
