alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmllint,9,1622487775, 0, 0, 18.90
AFLfast,xmllint,9,1622487786, 0, 0, 20.75
AFLfast,xmllint,9,1622487791, 0, 0, 20.77
AFLfast,xmllint,9,1622487796, 0, 0, 21.06
AFLfast,xmllint,9,1622487801, 0, 0, 20.73
AFLfast,xmllint,9,1622487806, 0, 0, 21.47
AFLfast,xmllint,9,1622487811, 0, 0, 21.34
AFLfast,xmllint,9,1622487816, 0, 0, 4.69
AFLfast,xmllint,9,1622487822, 0, 0, 15.56
AFLfast,xmllint,9,1622487827, 0, 0, 18.95
AFLfast,xmllint,9,1622487832, 0, 0, 20.18
AFLfast,xmllint,9,1622487837, 0, 0, 20.07
AFLfast,xmllint,9,1622487842, 0, 0, 19.88
AFLfast,xmllint,9,1622487847, 0, 0, 20.15
AFLfast,xmllint,9,1622487852, 0, 0, 20.37
AFLfast,xmllint,9,1622487858, 0, 0, 19.99
AFLfast,xmllint,9,1622487863, 0, 0, 20.03
AFLfast,xmllint,9,1622487868, 0, 0, 20.21
AFLfast,xmllint,9,1622487873, 0, 0, 20.09
AFLfast,xmllint,9,1622487878, 0, 0, 20.65
AFLfast,xmllint,9,1622487884, 0, 0, 20.48
AFLfast,xmllint,9,1622487889, 0, 0, 19.88
AFLfast,xmllint,9,1622487894, 0, 0, 20.61
AFLfast,xmllint,9,1622487899, 0, 0, 20.20
AFLfast,xmllint,9,1622487904, 0, 0, 20.57
AFLfast,xmllint,9,1622487909, 0, 0, 20.40
AFLfast,xmllint,9,1622487914, 0, 0, 19.86
AFLfast,xmllint,9,1622487919, 0, 0, 20.22
AFLfast,xmllint,9,1622487930, 0, 0, 20.49
AFLfast,xmllint,9,1622487945, 0, 0, 20.83
AFLfast,xmllint,9,1622487950, 0, 0, 20.48
AFLfast,xmllint,9,1622487955, 0, 0, 20.83
AFLfast,xmllint,9,1622487961, 0, 0, 20.86
AFLfast,xmllint,9,1622487966, 0, 0, 20.79
AFLfast,xmllint,9,1622487971, 0, 0, 20.61
AFLfast,xmllint,9,1622487976, 0, 0, 20.80
AFLfast,xmllint,9,1622487981, 0, 0, 20.45
AFLfast,xmllint,9,1622487986, 0, 0, 20.02
AFLfast,xmllint,9,1622487992, 0, 0, 21.29
AFLfast,xmllint,9,1622487997, 0, 0, 21.45
AFLfast,xmllint,9,1622488002, 0, 0, 21.58
AFLfast,xmllint,9,1622488007, 0, 0, 21.73
AFLfast,xmllint,9,1622488012, 0, 0, 20.88
AFLfast,xmllint,9,1622488017, 0, 0, 20.74
AFLfast,xmllint,9,1622488022, 0, 0, 21.07
AFLfast,xmllint,9,1622488027, 0, 0, 20.71
AFLfast,xmllint,9,1622488032, 0, 0, 20.61
AFLfast,xmllint,9,1622488038, 0, 0, 20.15
AFLfast,xmllint,9,1622488043, 0, 0, 20.64
AFLfast,xmllint,9,1622488048, 0, 0, 20.66
AFLfast,xmllint,9,1622488068, 0, 0, 21.01
AFLfast,xmllint,9,1622488073, 0, 0, 20.67
AFLfast,xmllint,9,1622488104, 0, 0, 20.60
AFLfast,xmllint,9,1622488109, 0, 0, 21.64
AFLfast,xmllint,9,1622488135, 0, 0, 20.87
AFLfast,xmllint,9,1622488140, 0, 0, 21.75
AFLfast,xmllint,9,1622488145, 0, 0, 22.29
AFLfast,xmllint,9,1622488150, 0, 0, 22.09
AFLfast,xmllint,9,1622488160, 0, 0, 21.52
AFLfast,xmllint,9,1622488166, 0, 0, 21.41
AFLfast,xmllint,9,1622488171, 0, 0, 20.95
