alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,sqlite3,1,1622440772, 0, 0, 99, 99, 3, 2.48%, 0, 0, 1, 36.38
AFLfast,sqlite3,1,1622440778, 0, 25, 99, 99, 3, 2.48%, 0, 0, 1, 37.99
AFLfast,sqlite3,1,1622441101, 0, 25, 100, 100, 3, 2.48%, 0, 0, 2, 25.62
AFLfast,sqlite3,1,1622441137, 0, 25, 103, 103, 3, 2.50%, 0, 0, 2, 24.66
AFLfast,sqlite3,1,1622441394, 0, 25, 104, 104, 3, 2.51%, 0, 0, 2, 24.46
AFLfast,sqlite3,1,1622441410, 0, 26, 104, 103, 5, 2.51%, 0, 0, 2, 25.36
AFLfast,sqlite3,1,1622441507, 0, 26, 105, 104, 5, 2.51%, 0, 0, 2, 25.48
AFLfast,sqlite3,1,1622442077, 0, 99, 105, 103, 5, 2.51%, 0, 0, 2, 25.34
AFLfast,sqlite3,1,1622442735, 0, 101, 105, 102, 4, 2.51%, 0, 0, 2, 25.87
AFLfast,sqlite3,1,1622443404, 0, 102, 105, 101, 3, 2.51%, 0, 0, 2, 24.82
AFLfast,sqlite3,1,1622444075, 0, 103, 105, 100, 2, 2.51%, 0, 0, 2, 24.88
AFLfast,sqlite3,1,1622444081, 0, 104, 105, 99, 1, 2.51%, 0, 0, 2, 24.44
AFLfast,sqlite3,1,1622444875, 0, 104, 106, 100, 1, 2.51%, 0, 0, 3, 17.59
AFLfast,sqlite3,1,1622444922, 0, 105, 106, 99, 1, 2.51%, 0, 0, 3, 17.30
AFLfast,sqlite3,1,1622445416, 0, 105, 107, 100, 1, 9.54%, 0, 0, 4, 17.14
AFLfast,sqlite3,1,1622445895, 1, 1, 107, 99, 0, 9.54%, 0, 0, 4, 17.49
AFLfast,sqlite3,1,1622446834, 1, 6, 107, 98, 0, 9.54%, 0, 0, 4, 17.09
AFLfast,sqlite3,1,1622447798, 1, 13, 107, 97, 0, 9.54%, 0, 0, 4, 16.44
AFLfast,sqlite3,1,1622448712, 1, 14, 107, 96, 0, 9.54%, 0, 0, 4, 17.85
AFLfast,sqlite3,1,1622449635, 1, 17, 107, 95, 0, 9.54%, 0, 0, 4, 17.95
AFLfast,sqlite3,1,1622450564, 1, 20, 107, 94, 0, 9.54%, 0, 0, 4, 16.65
AFLfast,sqlite3,1,1622451537, 1, 23, 107, 93, 0, 9.54%, 0, 0, 4, 17.46
AFLfast,sqlite3,1,1622452466, 1, 26, 107, 92, 0, 9.54%, 0, 0, 4, 17.21
AFLfast,sqlite3,1,1622452471, 1, 27, 107, 92, 0, 9.54%, 0, 0, 4, 16.99
AFLfast,sqlite3,1,1622453416, 1, 28, 107, 91, 0, 9.54%, 0, 0, 4, 2.61
AFLfast,sqlite3,1,1622454371, 1, 33, 107, 90, 0, 9.54%, 0, 0, 4, 17.57
AFLfast,sqlite3,1,1622455333, 1, 34, 107, 89, 0, 9.54%, 0, 0, 4, 17.00
AFLfast,sqlite3,1,1622456314, 1, 39, 107, 88, 0, 9.54%, 0, 0, 4, 16.06
AFLfast,sqlite3,1,1622457311, 1, 56, 107, 87, 0, 9.54%, 0, 0, 4, 16.31
AFLfast,sqlite3,1,1622458359, 1, 70, 107, 86, 0, 9.54%, 0, 0, 4, 16.16
AFLfast,sqlite3,1,1622458602, 1, 76, 107, 85, 0, 9.54%, 0, 0, 4, 15.45
AFLfast,sqlite3,1,1622459604, 1, 77, 107, 84, 0, 9.54%, 0, 0, 4, 14.77
AFLfast,sqlite3,1,1622460642, 1, 79, 107, 83, 0, 9.54%, 0, 0, 4, 16.61
AFLfast,sqlite3,1,1622461654, 1, 82, 107, 82, 0, 9.54%, 0, 0, 4, 16.47
AFLfast,sqlite3,1,1622462677, 1, 84, 107, 81, 0, 9.54%, 0, 0, 4, 15.74
AFLfast,sqlite3,1,1622462966, 1, 86, 107, 80, 0, 9.54%, 0, 0, 4, 15.09
AFLfast,sqlite3,1,1622464079, 1, 89, 107, 79, 0, 9.54%, 0, 0, 4, 15.81
AFLfast,sqlite3,1,1622465116, 1, 95, 107, 78, 0, 9.54%, 0, 0, 4, 15.62
AFLfast,sqlite3,1,1622466160, 1, 101, 107, 77, 0, 9.54%, 0, 0, 4, 15.82
AFLfast,sqlite3,1,1622466165, 1, 102, 107, 77, 0, 9.54%, 0, 0, 4, 15.78
AFLfast,sqlite3,1,1622466171, 1, 105, 107, 77, 0, 9.54%, 0, 0, 4, 15.22
AFLfast,sqlite3,1,1622466176, 2, 3, 107, 77, 0, 9.54%, 0, 0, 4, 15.46
AFLfast,sqlite3,1,1622467253, 2, 5, 107, 76, 0, 9.54%, 0, 0, 4, 15.39
AFLfast,sqlite3,1,1622468315, 2, 8, 107, 75, 0, 9.54%, 0, 0, 4, 15.91
AFLfast,sqlite3,1,1622468619, 2, 9, 107, 74, 0, 9.54%, 0, 0, 4, 15.30
AFLfast,sqlite3,1,1622469806, 2, 18, 107, 73, 0, 9.54%, 0, 0, 4, 14.98
AFLfast,sqlite3,1,1622470902, 2, 19, 107, 72, 0, 9.54%, 0, 0, 4, 15.16
AFLfast,sqlite3,1,1622472000, 2, 21, 107, 71, 0, 9.54%, 0, 0, 4, 14.89
AFLfast,sqlite3,1,1622472315, 2, 26, 107, 70, 0, 9.54%, 0, 0, 4, 15.30
AFLfast,sqlite3,1,1622472335, 2, 29, 107, 70, 0, 9.54%, 0, 0, 4, 15.34
AFLfast,sqlite3,1,1622473408, 2, 48, 107, 69, 0, 9.54%, 0, 0, 4, 14.44
AFLfast,sqlite3,1,1622473722, 2, 51, 107, 68, 0, 9.54%, 0, 0, 4, 15.17
AFLfast,sqlite3,1,1622474796, 2, 59, 107, 67, 0, 9.54%, 0, 0, 4, 15.81
AFLfast,sqlite3,1,1622475864, 2, 61, 107, 66, 0, 9.54%, 0, 0, 4, 14.98
AFLfast,sqlite3,1,1622476948, 2, 62, 107, 65, 0, 9.54%, 0, 0, 4, 15.08
AFLfast,sqlite3,1,1622478279, 2, 64, 107, 64, 0, 9.54%, 0, 0, 4, 15.51
AFLfast,sqlite3,1,1622479342, 2, 65, 107, 63, 0, 9.54%, 0, 0, 4, 15.84
AFLfast,sqlite3,1,1622480446, 2, 68, 107, 62, 0, 9.54%, 0, 0, 4, 13.28
AFLfast,sqlite3,1,1622481527, 2, 71, 107, 61, 0, 9.54%, 0, 0, 4, 15.20
AFLfast,sqlite3,1,1622482604, 2, 99, 107, 60, 0, 9.54%, 0, 0, 4, 15.62
AFLfast,sqlite3,1,1622482625, 2, 101, 107, 60, 0, 9.54%, 0, 0, 4, 15.36
AFLfast,sqlite3,1,1622482640, 2, 102, 107, 60, 0, 9.54%, 0, 0, 4, 15.38
AFLfast,sqlite3,1,1622482661, 2, 104, 107, 60, 0, 9.54%, 0, 0, 4, 15.65
AFLfast,sqlite3,1,1622482682, 2, 105, 107, 60, 0, 9.54%, 0, 0, 4, 15.10
AFLfast,sqlite3,1,1622482697, 3, 2, 107, 60, 0, 9.54%, 0, 0, 4, 15.97
AFLfast,sqlite3,1,1622483753, 3, 12, 107, 59, 0, 9.54%, 0, 0, 4, 14.58
AFLfast,sqlite3,1,1622484838, 3, 18, 107, 58, 0, 9.54%, 0, 0, 4, 15.70
AFLfast,sqlite3,1,1622484853, 3, 26, 107, 58, 0, 9.54%, 0, 0, 4, 15.67
AFLfast,sqlite3,1,1622484874, 3, 40, 107, 58, 0, 9.54%, 0, 0, 4, 16.79
AFLfast,sqlite3,1,1622485154, 3, 41, 107, 57, 0, 9.54%, 0, 0, 4, 15.34
AFLfast,sqlite3,1,1622486223, 3, 43, 107, 56, 0, 9.54%, 0, 0, 4, 15.30
AFLfast,sqlite3,1,1622487300, 3, 44, 107, 55, 0, 9.54%, 0, 0, 4, 14.27
AFLfast,sqlite3,1,1622488623, 3, 54, 107, 54, 0, 9.54%, 0, 0, 4, 11.35
AFLfast,sqlite3,1,1622489913, 3, 63, 107, 53, 0, 9.54%, 0, 0, 4, 12.71
AFLfast,sqlite3,1,1622490267, 3, 73, 107, 52, 0, 9.54%, 0, 0, 4, 13.31
AFLfast,sqlite3,1,1622491356, 3, 80, 107, 51, 0, 9.54%, 0, 0, 4, 16.70
AFLfast,sqlite3,1,1622492369, 3, 90, 107, 50, 0, 9.54%, 0, 0, 4, 16.30
AFLfast,sqlite3,1,1622493377, 3, 99, 107, 49, 0, 9.54%, 0, 0, 4, 15.03
AFLfast,sqlite3,1,1622493392, 3, 100, 107, 49, 0, 9.54%, 0, 0, 4, 16.65
AFLfast,sqlite3,1,1622494409, 3, 101, 107, 48, 0, 9.54%, 0, 0, 4, 14.93
AFLfast,sqlite3,1,1622494425, 3, 102, 107, 48, 0, 9.54%, 0, 0, 4, 16.06
AFLfast,sqlite3,1,1622494446, 3, 104, 107, 48, 0, 9.54%, 0, 0, 4, 16.13
AFLfast,sqlite3,1,1622494466, 3, 105, 107, 48, 0, 9.54%, 0, 0, 4, 16.50
AFLfast,sqlite3,1,1622494482, 4, 16, 107, 48, 0, 9.54%, 0, 0, 4, 16.06
AFLfast,sqlite3,1,1622495506, 4, 18, 107, 47, 0, 9.54%, 0, 0, 4, 16.40
AFLfast,sqlite3,1,1622495521, 4, 22, 107, 47, 0, 9.54%, 0, 0, 4, 16.49
AFLfast,sqlite3,1,1622496538, 4, 24, 107, 46, 0, 9.54%, 0, 0, 4, 16.28
AFLfast,sqlite3,1,1622497526, 4, 25, 107, 45, 0, 9.54%, 0, 0, 4, 16.37
AFLfast,sqlite3,1,1622497541, 4, 26, 107, 45, 0, 9.54%, 0, 0, 4, 16.51
AFLfast,sqlite3,1,1622497562, 4, 31, 107, 45, 0, 9.54%, 0, 0, 4, 16.53
AFLfast,sqlite3,1,1622498550, 4, 32, 107, 44, 0, 9.54%, 0, 0, 4, 16.14
AFLfast,sqlite3,1,1622499543, 4, 36, 107, 43, 0, 9.54%, 0, 0, 4, 16.77
