alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,sqlite3,9,1622440831, 0, 0, 27.86
AFLfast,sqlite3,9,1622440836, 0, 0, 28.82
AFLfast,sqlite3,9,1622440933, 0, 0, 24.63
AFLfast,sqlite3,9,1622440954, 0, 0, 23.98
AFLfast,sqlite3,9,1622441011, 0, 0, 24.53
AFLfast,sqlite3,9,1622441026, 0, 0, 25.19
AFLfast,sqlite3,9,1622441680, 0, 0, 23.97
AFLfast,sqlite3,9,1622441731, 0, 0, 24.56
AFLfast,sqlite3,9,1622441870, 0, 0, 24.86
AFLfast,sqlite3,9,1622442056, 0, 0, 25.08
AFLfast,sqlite3,9,1622442252, 0, 0, 24.97
AFLfast,sqlite3,9,1622442262, 0, 0, 23.97
AFLfast,sqlite3,9,1622442416, 0, 0, 23.77
AFLfast,sqlite3,9,1622442457, 0, 0, 24.13
AFLfast,sqlite3,9,1622442509, 0, 0, 21.28
AFLfast,sqlite3,9,1622442663, 0, 0, 23.57
AFLfast,sqlite3,9,1622442977, 0, 0, 23.14
AFLfast,sqlite3,9,1622443671, 0, 0, 24.85
AFLfast,sqlite3,9,1622444374, 0, 0, 20.32
AFLfast,sqlite3,9,1622444380, 0, 0, 20.58
AFLfast,sqlite3,9,1622444632, 0, 0, 17.54
AFLfast,sqlite3,9,1622444900, 0, 0, 17.06
AFLfast,sqlite3,9,1622444905, 0, 0, 17.64
AFLfast,sqlite3,9,1622444910, 0, 0, 17.89
AFLfast,sqlite3,9,1622444916, 0, 0, 16.91
AFLfast,sqlite3,9,1622444926, 0, 0, 16.99
AFLfast,sqlite3,9,1622445888, 0, 0, 17.31
AFLfast,sqlite3,9,1622445909, 0, 0, 17.33
AFLfast,sqlite3,9,1622445925, 0, 0, 17.32
AFLfast,sqlite3,9,1622445935, 0, 0, 17.06
AFLfast,sqlite3,9,1622445956, 0, 0, 17.32
AFLfast,sqlite3,9,1622445971, 0, 0, 18.02
AFLfast,sqlite3,9,1622445992, 0, 0, 16.76
AFLfast,sqlite3,9,1622446028, 0, 0, 17.43
AFLfast,sqlite3,9,1622446986, 0, 0, 17.43
AFLfast,sqlite3,9,1622447954, 0, 0, 17.35
AFLfast,sqlite3,9,1622447969, 0, 0, 17.14
AFLfast,sqlite3,9,1622447985, 0, 0, 18.25
AFLfast,sqlite3,9,1622447995, 0, 0, 17.38
AFLfast,sqlite3,9,1622448011, 0, 0, 17.49
AFLfast,sqlite3,9,1622448016, 0, 0, 17.21
AFLfast,sqlite3,9,1622448031, 0, 0, 17.37
AFLfast,sqlite3,9,1622448047, 0, 0, 17.27
AFLfast,sqlite3,9,1622448088, 0, 0, 17.44
AFLfast,sqlite3,9,1622448103, 0, 0, 17.71
AFLfast,sqlite3,9,1622448118, 0, 0, 17.57
AFLfast,sqlite3,9,1622449077, 0, 0, 17.78
AFLfast,sqlite3,9,1622450031, 0, 0, 17.69
AFLfast,sqlite3,9,1622450047, 0, 0, 17.19
AFLfast,sqlite3,9,1622450062, 0, 0, 17.23
AFLfast,sqlite3,9,1622450078, 0, 0, 16.70
AFLfast,sqlite3,9,1622450093, 0, 0, 16.46
AFLfast,sqlite3,9,1622450114, 0, 0, 17.15
AFLfast,sqlite3,9,1622450130, 0, 0, 16.52
AFLfast,sqlite3,9,1622450171, 0, 0, 17.05
AFLfast,sqlite3,9,1622450186, 0, 0, 17.79
AFLfast,sqlite3,9,1622451174, 0, 0, 15.84
AFLfast,sqlite3,9,1622452175, 0, 0, 16.37
AFLfast,sqlite3,9,1622452191, 0, 0, 15.46
AFLfast,sqlite3,9,1622452206, 0, 0, 16.89
AFLfast,sqlite3,9,1622452222, 0, 0, 17.36
AFLfast,sqlite3,9,1622452237, 0, 0, 16.89
AFLfast,sqlite3,9,1622452253, 0, 0, 17.95
AFLfast,sqlite3,9,1622452273, 0, 0, 17.18
AFLfast,sqlite3,9,1622452309, 0, 0, 17.15
AFLfast,sqlite3,9,1622452325, 0, 0, 17.34
AFLfast,sqlite3,9,1622452340, 0, 0, 17.64
AFLfast,sqlite3,9,1622452356, 0, 0, 17.40
AFLfast,sqlite3,9,1622452372, 0, 0, 17.37
AFLfast,sqlite3,9,1622452377, 0, 0, 17.57
AFLfast,sqlite3,9,1622452392, 0, 0, 17.85
AFLfast,sqlite3,9,1622452408, 0, 0, 17.53
AFLfast,sqlite3,9,1622452450, 0, 0, 16.44
AFLfast,sqlite3,9,1622452465, 0, 0, 17.44
AFLfast,sqlite3,9,1622452481, 0, 0, 17.46
AFLfast,sqlite3,9,1622452491, 0, 0, 17.55
AFLfast,sqlite3,9,1622452507, 0, 0, 17.09
AFLfast,sqlite3,9,1622452512, 0, 0, 16.93
AFLfast,sqlite3,9,1622452527, 0, 0, 17.39
AFLfast,sqlite3,9,1622452543, 0, 0, 16.15
AFLfast,sqlite3,9,1622452584, 0, 0, 17.08
AFLfast,sqlite3,9,1622452600, 0, 0, 16.00
AFLfast,sqlite3,9,1622452620, 0, 0, 16.67
AFLfast,sqlite3,9,1622452636, 0, 0, 17.32
AFLfast,sqlite3,9,1622452646, 0, 0, 16.28
AFLfast,sqlite3,9,1622452667, 0, 0, 17.03
AFLfast,sqlite3,9,1622452677, 0, 0, 17.13
AFLfast,sqlite3,9,1622452682, 0, 0, 17.16
AFLfast,sqlite3,9,1622452698, 0, 0, 17.37
AFLfast,sqlite3,9,1622452713, 0, 0, 17.57
AFLfast,sqlite3,9,1622452754, 0, 0, 17.53
AFLfast,sqlite3,9,1622452770, 0, 0, 17.24
AFLfast,sqlite3,9,1622452785, 0, 0, 16.98
AFLfast,sqlite3,9,1622452801, 0, 0, 16.81
AFLfast,sqlite3,9,1622452816, 0, 0, 16.78
AFLfast,sqlite3,9,1622452832, 0, 0, 17.29
AFLfast,sqlite3,9,1622452853, 0, 0, 15.85
AFLfast,sqlite3,9,1622452889, 0, 0, 16.59
AFLfast,sqlite3,9,1622452910, 0, 0, 17.18
AFLfast,sqlite3,9,1622452925, 0, 0, 17.21
AFLfast,sqlite3,9,1622452941, 0, 0, 17.23
