alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,tcpdump,3,1622367720, 0, 0, 87.13
AFLfast,tcpdump,3,1622367725, 0, 0, 92.17
AFLfast,tcpdump,3,1622367746, 0, 0, 92.40
AFLfast,tcpdump,3,1622367757, 0, 0, 95.04
AFLfast,tcpdump,3,1622367762, 0, 0, 93.09
AFLfast,tcpdump,3,1622367772, 0, 0, 90.84
AFLfast,tcpdump,3,1622367793, 0, 0, 91.29
AFLfast,tcpdump,3,1622367798, 0, 0, 92.01
AFLfast,tcpdump,3,1622367808, 0, 0, 90.20
AFLfast,tcpdump,3,1622367834, 0, 0, 90.91
AFLfast,tcpdump,3,1622367844, 0, 0, 92.71
AFLfast,tcpdump,3,1622367865, 0, 0, 89.34
AFLfast,tcpdump,3,1622367870, 0, 0, 91.77
AFLfast,tcpdump,3,1622367891, 0, 0, 88.09
AFLfast,tcpdump,3,1622367901, 0, 0, 89.97
AFLfast,tcpdump,3,1622367906, 0, 0, 133.48
AFLfast,tcpdump,3,1622367911, 0, 0, 105.27
AFLfast,tcpdump,3,1622367916, 0, 0, 95.59
AFLfast,tcpdump,3,1622367921, 0, 0, 88.41
AFLfast,tcpdump,3,1622367947, 0, 0, 88.05
AFLfast,tcpdump,3,1622367957, 0, 0, 90.31
AFLfast,tcpdump,3,1622367962, 0, 0, 89.25
AFLfast,tcpdump,3,1622367983, 0, 0, 87.32
AFLfast,tcpdump,3,1622367988, 0, 0, 87.10
AFLfast,tcpdump,3,1622367993, 0, 0, 87.84
AFLfast,tcpdump,3,1622367998, 0, 0, 88.51
AFLfast,tcpdump,3,1622368004, 0, 0, 88.40
AFLfast,tcpdump,3,1622368009, 0, 0, 86.54
AFLfast,tcpdump,3,1622368014, 0, 0, 88.89
AFLfast,tcpdump,3,1622368040, 0, 0, 88.04
AFLfast,tcpdump,3,1622368045, 0, 0, 86.64
AFLfast,tcpdump,3,1622368050, 0, 0, 85.97
AFLfast,tcpdump,3,1622368055, 0, 0, 90.00
AFLfast,tcpdump,3,1622368060, 0, 0, 86.88
AFLfast,tcpdump,3,1622368065, 0, 0, 90.16
AFLfast,tcpdump,3,1622368071, 0, 0, 88.67
AFLfast,tcpdump,3,1622368076, 0, 0, 92.05
AFLfast,tcpdump,3,1622368081, 0, 0, 65.42
AFLfast,tcpdump,3,1622368086, 0, 0, 75.49
AFLfast,tcpdump,3,1622368091, 0, 0, 88.85
AFLfast,tcpdump,3,1622368096, 0, 0, 86.78
AFLfast,tcpdump,3,1622368102, 0, 0, 86.33
AFLfast,tcpdump,3,1622368107, 0, 0, 85.69
AFLfast,tcpdump,3,1622368112, 0, 0, 84.90
AFLfast,tcpdump,3,1622368117, 0, 0, 86.83
AFLfast,tcpdump,3,1622368122, 0, 0, 91.47
AFLfast,tcpdump,3,1622368127, 0, 0, 94.10
AFLfast,tcpdump,3,1622368132, 0, 0, 91.85
AFLfast,tcpdump,3,1622368138, 0, 0, 93.54
AFLfast,tcpdump,3,1622368143, 0, 0, 95.26
AFLfast,tcpdump,3,1622368148, 0, 0, 94.47
AFLfast,tcpdump,3,1622368154, 0, 0, 94.11
AFLfast,tcpdump,3,1622368159, 0, 0, 91.36
AFLfast,tcpdump,3,1622368164, 0, 0, 91.80
AFLfast,tcpdump,3,1622368169, 0, 0, 93.23
AFLfast,tcpdump,3,1622368174, 0, 0, 96.01
AFLfast,tcpdump,3,1622368180, 0, 0, 95.43
AFLfast,tcpdump,3,1622368185, 0, 0, 89.28
