alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,tcpdump,3,1622367720, 0, 0, 16, 16, 1, 0.03%, 0, 0, 1, 87.13
AFLfast,tcpdump,3,1622367725, 0, 3, 16, 16, 1, 0.03%, 0, 0, 1, 92.17
AFLfast,tcpdump,3,1622367746, 0, 5, 16, 15, 0, 0.03%, 0, 0, 1, 92.40
AFLfast,tcpdump,3,1622367757, 0, 9, 16, 14, 0, 0.03%, 0, 0, 1, 95.04
AFLfast,tcpdump,3,1622367762, 0, 11, 16, 13, 0, 0.03%, 0, 0, 1, 93.09
AFLfast,tcpdump,3,1622367772, 1, 0, 16, 12, 0, 0.03%, 0, 0, 1, 90.84
AFLfast,tcpdump,3,1622367793, 1, 3, 16, 11, 0, 0.03%, 0, 0, 1, 91.29
AFLfast,tcpdump,3,1622367798, 2, 1, 16, 11, 0, 0.03%, 0, 0, 1, 92.01
AFLfast,tcpdump,3,1622367808, 2, 10, 16, 10, 0, 0.03%, 0, 0, 1, 90.20
AFLfast,tcpdump,3,1622367834, 2, 14, 16, 9, 0, 0.03%, 0, 0, 1, 90.91
AFLfast,tcpdump,3,1622367844, 2, 15, 16, 8, 0, 0.03%, 0, 0, 1, 92.71
AFLfast,tcpdump,3,1622367865, 3, 3, 16, 7, 0, 0.03%, 0, 0, 1, 89.34
AFLfast,tcpdump,3,1622367870, 3, 8, 16, 7, 0, 0.03%, 0, 0, 1, 91.77
AFLfast,tcpdump,3,1622367891, 3, 13, 16, 6, 0, 0.03%, 0, 0, 1, 88.09
AFLfast,tcpdump,3,1622367901, 4, 3, 16, 5, 0, 0.03%, 0, 0, 1, 89.97
AFLfast,tcpdump,3,1622367906, 5, 0, 16, 5, 0, 0.03%, 0, 0, 1, 133.48
AFLfast,tcpdump,3,1622367911, 5, 3, 16, 5, 0, 0.03%, 0, 0, 1, 105.27
AFLfast,tcpdump,3,1622367916, 5, 8, 16, 5, 0, 0.03%, 0, 0, 1, 95.59
AFLfast,tcpdump,3,1622367921, 6, 2, 16, 5, 0, 0.03%, 0, 0, 1, 88.41
AFLfast,tcpdump,3,1622367947, 6, 4, 16, 4, 0, 0.03%, 0, 0, 1, 88.05
AFLfast,tcpdump,3,1622367957, 7, 3, 16, 3, 0, 0.03%, 0, 0, 1, 90.31
AFLfast,tcpdump,3,1622367962, 7, 6, 16, 3, 0, 0.03%, 0, 0, 1, 89.25
AFLfast,tcpdump,3,1622367983, 8, 3, 16, 2, 0, 0.03%, 0, 0, 1, 87.32
