alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pdftops,10,1622803991, 0, 0, 10, 10, 0, 0.00%, 0, 0, 1, 0.67
AFLfast,pdftops,10,1622804283, 0, 0, 10, 10, 0, 0.00%, 0, 1, 1, 0.59
AFLfast,pdftops,10,1622825982, 0, 0, 10, 10, 0, 0.00%, 0, 2, 1, 0.51
AFLfast,pdftops,10,1622830429, 0, 0, 10, 10, 0, 0.00%, 0, 3, 1, 0.60
AFLfast,pdftops,10,1622830434, 0, 0, 10, 10, 0, 0.00%, 0, 4, 1, 0.58
AFLfast,pdftops,10,1622830441, 0, 0, 10, 10, 0, 0.00%, 0, 5, 1, 0.56
AFLfast,pdftops,10,1622830481, 0, 0, 10, 10, 0, 0.00%, 1, 5, 1, 0.65
AFLfast,pdftops,10,1622830504, 0, 0, 10, 10, 0, 0.00%, 2, 5, 1, 0.67
AFLfast,pdftops,10,1622830511, 0, 0, 10, 10, 0, 0.00%, 4, 5, 1, 0.62
AFLfast,pdftops,10,1622830517, 0, 0, 10, 10, 0, 0.00%, 5, 5, 1, 0.62
AFLfast,pdftops,10,1622830523, 0, 0, 10, 10, 0, 0.00%, 7, 5, 1, 0.58
AFLfast,pdftops,10,1622830537, 0, 0, 10, 10, 0, 0.00%, 8, 5, 1, 0.61
AFLfast,pdftops,10,1622830542, 0, 0, 10, 10, 0, 0.00%, 9, 5, 1, 0.62
AFLfast,pdftops,10,1622830707, 0, 0, 10, 10, 0, 0.00%, 9, 6, 1, 0.63
AFLfast,pdftops,10,1622830769, 0, 0, 10, 10, 0, 0.00%, 9, 7, 1, 0.64
AFLfast,pdftops,10,1622830775, 0, 0, 10, 10, 0, 0.00%, 9, 8, 1, 0.61
AFLfast,pdftops,10,1622830823, 0, 0, 10, 10, 0, 0.00%, 9, 9, 1, 0.60
AFLfast,pdftops,10,1622830856, 0, 0, 10, 10, 0, 0.00%, 9, 10, 1, 0.61
AFLfast,pdftops,10,1622830867, 0, 0, 10, 10, 0, 0.00%, 9, 11, 1, 0.61
AFLfast,pdftops,10,1622830897, 0, 0, 10, 10, 0, 0.00%, 9, 12, 1, 0.59
AFLfast,pdftops,10,1622830929, 0, 0, 10, 10, 0, 0.00%, 9, 13, 1, 0.63
