alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pdftops,13,1622804076, 0, 0, 0.57
AFLfast,pdftops,13,1622806137, 0, 1, 0.19
AFLfast,pdftops,13,1622806142, 0, 2, 0.20
AFLfast,pdftops,13,1622806147, 0, 3, 0.20
AFLfast,pdftops,13,1622806152, 0, 4, 0.19
AFLfast,pdftops,13,1622806157, 0, 5, 0.19
AFLfast,pdftops,13,1622830478, 0, 6, 0.16
AFLfast,pdftops,13,1622865295, 0, 7, 0.19
AFLfast,pdftops,13,1622865301, 0, 8, 0.19
AFLfast,pdftops,13,1622865306, 0, 9, 0.19
AFLfast,pdftops,13,1622865311, 0, 10, 0.19
AFLfast,pdftops,13,1622865316, 0, 11, 0.19
AFLfast,pdftops,13,1622865321, 0, 12, 0.19
AFLfast,pdftops,13,1622888651, 0, 13, 0.20
AFLfast,pdftops,13,1622888656, 0, 14, 0.20
AFLfast,pdftops,13,1622888661, 0, 15, 0.20
AFLfast,pdftops,13,1622888666, 0, 16, 0.20
AFLfast,pdftops,13,1622888671, 0, 17, 0.20
AFLfast,pdftops,13,1622888676, 0, 18, 0.20
AFLfast,pdftops,13,1622888681, 0, 19, 0.20
