alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pdftotext,11,1622804628, 0, 0, 2.21
AFLfast,pdftotext,11,1622805307, 0, 1, 0.20
AFLfast,pdftotext,11,1622805312, 0, 2, 0.20
AFLfast,pdftotext,11,1622805317, 0, 3, 0.20
AFLfast,pdftotext,11,1622805322, 0, 4, 0.20
AFLfast,pdftotext,11,1622805327, 0, 5, 0.20
AFLfast,pdftotext,11,1622825912, 0, 6, 0.19
AFLfast,pdftotext,11,1622825917, 0, 7, 0.20
AFLfast,pdftotext,11,1622825922, 0, 8, 0.20
AFLfast,pdftotext,11,1622825928, 0, 9, 0.20
AFLfast,pdftotext,11,1622825933, 0, 10, 0.20
AFLfast,pdftotext,11,1622825938, 0, 11, 0.20
AFLfast,pdftotext,11,1622839483, 0, 12, 0.77
AFLfast,pdftotext,11,1622839488, 0, 13, 0.73
AFLfast,pdftotext,11,1622839493, 0, 14, 0.70
AFLfast,pdftotext,11,1622839498, 0, 15, 0.67
AFLfast,pdftotext,11,1622839503, 0, 16, 0.64
AFLfast,pdftotext,11,1622839508, 0, 17, 0.61
AFLfast,pdftotext,11,1622839513, 0, 18, 0.59
AFLfast,pdftotext,11,1622845080, 0, 19, 0.40
AFLfast,pdftotext,11,1622845797, 0, 20, 0.77
AFLfast,pdftotext,11,1622846509, 0, 21, 0.58
AFLfast,pdftotext,11,1622848187, 0, 22, 0.94
AFLfast,pdftotext,11,1622848193, 0, 23, 0.20
AFLfast,pdftotext,11,1622848198, 0, 24, 0.20
AFLfast,pdftotext,11,1622848203, 0, 25, 0.20
AFLfast,pdftotext,11,1622848208, 0, 26, 0.20
AFLfast,pdftotext,11,1622848213, 0, 27, 0.20
AFLfast,pdftotext,11,1622848218, 0, 28, 0.20
AFLfast,pdftotext,11,1622848223, 0, 29, 0.21
AFLfast,pdftotext,11,1622848228, 0, 30, 0.21
AFLfast,pdftotext,11,1622848233, 0, 31, 0.21
AFLfast,pdftotext,11,1622848238, 0, 32, 0.21
AFLfast,pdftotext,11,1622848243, 0, 33, 0.22
AFLfast,pdftotext,11,1622848248, 0, 34, 0.22
AFLfast,pdftotext,11,1622848253, 0, 35, 0.22
AFLfast,pdftotext,11,1622848258, 0, 36, 0.22
AFLfast,pdftotext,11,1622848263, 0, 37, 0.22
AFLfast,pdftotext,11,1622848268, 0, 38, 0.21
AFLfast,pdftotext,11,1622848273, 0, 39, 0.21
AFLfast,pdftotext,11,1622848278, 0, 40, 0.21
AFLfast,pdftotext,11,1622848283, 0, 41, 0.21
AFLfast,pdftotext,11,1622848288, 0, 42, 0.21
AFLfast,pdftotext,11,1622848293, 0, 43, 0.21
AFLfast,pdftotext,11,1622848298, 0, 44, 0.21
AFLfast,pdftotext,11,1622848303, 0, 45, 0.21
AFLfast,pdftotext,11,1622848308, 0, 46, 0.21
AFLfast,pdftotext,11,1622848313, 0, 47, 0.21
AFLfast,pdftotext,11,1622848318, 0, 48, 0.21
AFLfast,pdftotext,11,1622848324, 0, 49, 0.21
AFLfast,pdftotext,11,1622848329, 0, 50, 0.21
AFLfast,pdftotext,11,1622848334, 0, 51, 0.21
AFLfast,pdftotext,11,1622848339, 0, 52, 0.21
AFLfast,pdftotext,11,1622848344, 0, 53, 0.20
AFLfast,pdftotext,11,1622848349, 0, 54, 0.20
AFLfast,pdftotext,11,1622848354, 0, 55, 0.20
AFLfast,pdftotext,11,1622848359, 0, 56, 0.20
AFLfast,pdftotext,11,1622848364, 0, 57, 0.20
AFLfast,pdftotext,11,1622848369, 0, 58, 0.20
AFLfast,pdftotext,11,1622848374, 0, 59, 0.20
AFLfast,pdftotext,11,1622848379, 0, 60, 0.20
AFLfast,pdftotext,11,1622848384, 0, 61, 0.20
AFLfast,pdftotext,11,1622848389, 0, 62, 0.20
AFLfast,pdftotext,11,1622848394, 0, 63, 0.20
AFLfast,pdftotext,11,1622848399, 0, 64, 0.20
AFLfast,pdftotext,11,1622848404, 0, 65, 0.20
AFLfast,pdftotext,11,1622848409, 0, 66, 0.20
AFLfast,pdftotext,11,1622848414, 0, 67, 0.20
AFLfast,pdftotext,11,1622848419, 0, 68, 0.20
AFLfast,pdftotext,11,1622848424, 0, 69, 0.20
AFLfast,pdftotext,11,1622848429, 0, 70, 0.20
