alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,nm-new,14,12496, 0, 5, 7, 7, 7, 0.02%, 0, 0, 1, 30.42, 437, 1264
AFLfast,nm-new,14,17695, 0, 5, 7, 7, 7, 0.02%, 0, 0, 1, 25.18, 560, 1264
AFLfast,nm-new,14,22928, 0, 5, 7, 7, 7, 0.02%, 0, 0, 1, 23.93, 684, 1264
AFLfast,nm-new,14,27968, 0, 5, 7, 7, 7, 0.02%, 0, 0, 1, 22.64, 795, 1264
AFLfast,nm-new,14,33073, 0, 5, 7, 7, 7, 0.02%, 0, 0, 1, 23.24, 913, 1264
AFLfast,nm-new,14,38102, 0, 5, 7, 7, 7, 0.02%, 0, 0, 1, 22.89, 1029, 1264
AFLfast,nm-new,14,51321, 0, 5, 8, 8, 7, 0.02%, 0, 0, 2, 21.60, 1171, 1284
AFLfast,nm-new,14,60380, 0, 5, 9, 9, 7, 0.02%, 0, 0, 2, 20.54, 1212, 1365
AFLfast,nm-new,14,69394, 0, 5, 10, 10, 7, 0.02%, 0, 0, 2, 19.54, 1253, 1365
AFLfast,nm-new,14,78177, 0, 5, 11, 11, 7, 0.02%, 0, 0, 2, 18.61, 1294, 1408
AFLfast,nm-new,14,87027, 0, 5, 12, 12, 7, 0.02%, 0, 0, 2, 17.73, 1335, 1487
AFLfast,nm-new,14,95822, 0, 5, 13, 13, 7, 0.02%, 0, 0, 2, 16.94, 1379, 1487
AFLfast,nm-new,14,104662, 0, 5, 14, 14, 7, 0.02%, 0, 0, 2, 16.17, 1420, 1489
AFLfast,nm-new,14,113424, 0, 5, 15, 15, 7, 0.02%, 0, 0, 2, 15.45, 1461, 1489
AFLfast,nm-new,14,122866, 0, 5, 16, 16, 7, 0.02%, 0, 0, 2, 15.17, 1513, 1492
AFLfast,nm-new,14,131715, 0, 5, 17, 17, 7, 0.02%, 0, 0, 2, 13.89, 1555, 1492
AFLfast,nm-new,14,141134, 0, 5, 18, 18, 7, 0.02%, 0, 0, 2, 13.31, 1598, 1493
AFLfast,nm-new,14,150781, 0, 5, 19, 19, 7, 0.02%, 0, 0, 2, 12.91, 1645, 1503
AFLfast,nm-new,14,160194, 0, 5, 20, 20, 7, 0.02%, 0, 0, 2, 12.38, 1686, 1506
AFLfast,nm-new,14,169720, 0, 5, 21, 21, 7, 0.02%, 0, 0, 2, 11.88, 1728, 1512
AFLfast,nm-new,14,179118, 0, 5, 22, 22, 7, 0.02%, 0, 0, 2, 11.41, 1769, 1515
AFLfast,nm-new,14,188871, 0, 5, 23, 23, 7, 0.02%, 0, 0, 2, 10.98, 1812, 1516
AFLfast,nm-new,14,198411, 0, 5, 24, 24, 7, 0.02%, 0, 0, 2, 4.43, 1854, 1518
AFLfast,nm-new,14,208329, 0, 5, 25, 25, 7, 0.02%, 0, 0, 2, 6.28, 1907, 1519
AFLfast,nm-new,14,217663, 0, 5, 26, 26, 7, 0.02%, 0, 0, 2, 6.16, 1948, 1523
AFLfast,nm-new,14,227359, 0, 5, 27, 27, 7, 0.02%, 0, 0, 2, 6.95, 1995, 1524
AFLfast,nm-new,14,236854, 0, 5, 28, 28, 7, 0.02%, 0, 0, 2, 6.80, 2038, 1526
AFLfast,nm-new,14,246469, 0, 5, 29, 29, 7, 0.02%, 0, 0, 2, 6.67, 2083, 1526
