alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,nm-new,9,6138, 0, 0, 31.97
AFLfast,nm-new,9,11215, 0, 0, 26.26
AFLfast,nm-new,9,16268, 0, 0, 23.97
AFLfast,nm-new,9,21337, 0, 0, 20.85
AFLfast,nm-new,9,26432, 0, 0, 20.33
AFLfast,nm-new,9,31620, 0, 0, 18.91
AFLfast,nm-new,9,36752, 0, 0, 20.41
AFLfast,nm-new,9,41848, 0, 0, 20.71
AFLfast,nm-new,9,47028, 0, 0, 20.72
AFLfast,nm-new,9,52084, 0, 0, 19.25
AFLfast,nm-new,9,57080, 0, 0, 20.17
AFLfast,nm-new,9,62107, 0, 0, 19.77
AFLfast,nm-new,9,74661, 0, 0, 18.65
AFLfast,nm-new,9,83201, 0, 0, 17.79
AFLfast,nm-new,9,92524, 0, 0, 16.95
AFLfast,nm-new,9,102189, 0, 0, 16.16
AFLfast,nm-new,9,112375, 0, 0, 14.70
AFLfast,nm-new,9,122143, 0, 0, 14.05
AFLfast,nm-new,9,132210, 0, 0, 12.87
AFLfast,nm-new,9,142069, 0, 0, 12.34
AFLfast,nm-new,9,151798, 0, 0, 11.83
AFLfast,nm-new,9,161683, 0, 0, 11.35
AFLfast,nm-new,9,171583, 0, 0, 10.90
AFLfast,nm-new,9,181568, 0, 0, 10.49
AFLfast,nm-new,9,191477, 0, 0, 10.10
AFLfast,nm-new,9,201215, 0, 0, 9.73
AFLfast,nm-new,9,212638, 0, 0, 10.26
AFLfast,nm-new,9,222948, 0, 0, 10.22
AFLfast,nm-new,9,233706, 0, 0, 10.02
AFLfast,nm-new,9,246202, 0, 0, 10.20
AFLfast,nm-new,9,257168, 0, 0, 10.20
AFLfast,nm-new,9,261983, 0, 0, 10.44
AFLfast,nm-new,9,272674, 0, 0, 10.03
AFLfast,nm-new,9,283319, 0, 0, 9.64
AFLfast,nm-new,9,295191, 0, 0, 9.57
AFLfast,nm-new,9,306454, 0, 0, 9.40
AFLfast,nm-new,9,320452, 0, 0, 9.47
AFLfast,nm-new,9,332201, 0, 0, 9.07
AFLfast,nm-new,9,343441, 0, 0, 8.83
AFLfast,nm-new,9,354681, 0, 0, 8.63
AFLfast,nm-new,9,370280, 0, 0, 9.41
AFLfast,nm-new,9,385421, 0, 0, 9.42
AFLfast,nm-new,9,390465, 0, 0, 10.77
AFLfast,nm-new,9,403581, 0, 0, 9.65
AFLfast,nm-new,9,415745, 0, 0, 9.30
AFLfast,nm-new,9,420783, 0, 0, 10.12
AFLfast,nm-new,9,432477, 0, 0, 9.65
AFLfast,nm-new,9,445505, 0, 0, 9.76
AFLfast,nm-new,9,458625, 0, 0, 8.85
AFLfast,nm-new,9,472770, 0, 0, 8.68
AFLfast,nm-new,9,477988, 0, 0, 8.35
AFLfast,nm-new,9,491919, 0, 0, 7.94
AFLfast,nm-new,9,497016, 0, 0, 7.94
AFLfast,nm-new,9,502072, 0, 0, 7.96
AFLfast,nm-new,9,507285, 0, 0, 7.87
AFLfast,nm-new,9,524983, 0, 0, 7.02
AFLfast,nm-new,9,539808, 0, 0, 7.05
AFLfast,nm-new,9,554260, 0, 0, 7.05
AFLfast,nm-new,9,568086, 0, 0, 6.91
AFLfast,nm-new,9,572965, 0, 0, 8.46
AFLfast,nm-new,9,578133, 0, 0, 7.83
AFLfast,nm-new,9,583183, 0, 0, 7.52
AFLfast,nm-new,9,597586, 0, 0, 7.23
AFLfast,nm-new,9,616520, 0, 0, 6.47
AFLfast,nm-new,9,621662, 0, 0, 6.97
AFLfast,nm-new,9,637560, 0, 0, 6.93
AFLfast,nm-new,9,642484, 0, 0, 2.25
AFLfast,nm-new,9,658509, 0, 0, 2.70
AFLfast,nm-new,9,663641, 0, 0, 5.77
AFLfast,nm-new,9,680442, 0, 0, 5.76
AFLfast,nm-new,9,685475, 0, 0, 6.06
AFLfast,nm-new,9,690516, 0, 0, 6.53
AFLfast,nm-new,9,695764, 0, 0, 6.77
AFLfast,nm-new,9,700844, 0, 0, 6.45
AFLfast,nm-new,9,721521, 0, 0, 5.98
AFLfast,nm-new,9,726633, 0, 0, 5.97
AFLfast,nm-new,9,731740, 0, 0, 5.85
AFLfast,nm-new,9,749693, 0, 0, 5.61
AFLfast,nm-new,9,754893, 0, 0, 5.55
AFLfast,nm-new,9,773567, 0, 0, 5.32
AFLfast,nm-new,9,792465, 0, 0, 7.77
AFLfast,nm-new,9,797833, 0, 0, 6.09
AFLfast,nm-new,9,817705, 0, 0, 5.86
AFLfast,nm-new,9,822812, 0, 0, 5.51
AFLfast,nm-new,9,842599, 0, 0, 5.25
AFLfast,nm-new,9,847400, 0, 0, 6.00
AFLfast,nm-new,9,871163, 0, 0, 5.34
AFLfast,nm-new,9,876330, 0, 0, 5.39
AFLfast,nm-new,9,896339, 0, 0, 5.14
AFLfast,nm-new,9,901379, 0, 0, 5.14
AFLfast,nm-new,9,921478, 0, 0, 5.05
AFLfast,nm-new,9,942612, 0, 0, 6.18
AFLfast,nm-new,9,947587, 0, 0, 4.80
AFLfast,nm-new,9,971544, 0, 0, 4.61
AFLfast,nm-new,9,976794, 0, 0, 4.75
AFLfast,nm-new,9,982044, 0, 0, 4.42
AFLfast,nm-new,9,1002975, 0, 0, 4.29
AFLfast,nm-new,9,1008169, 0, 0, 4.66
AFLfast,nm-new,9,1013103, 0, 0, 4.84
AFLfast,nm-new,9,1018389, 0, 0, 5.06
AFLfast,nm-new,9,1023506, 0, 0, 5.12
AFLfast,nm-new,9,1028748, 0, 0, 4.97
AFLfast,nm-new,9,1033869, 0, 0, 4.77
AFLfast,nm-new,9,1054339, 0, 0, 4.61
AFLfast,nm-new,9,1059216, 0, 0, 5.25
AFLfast,nm-new,9,1064289, 0, 0, 4.98
AFLfast,nm-new,9,1069444, 0, 0, 4.63
AFLfast,nm-new,9,1074560, 0, 0, 4.62
AFLfast,nm-new,9,1079737, 0, 0, 4.63
AFLfast,nm-new,9,1085112, 0, 0, 4.79
AFLfast,nm-new,9,1090167, 0, 0, 5.04
AFLfast,nm-new,9,1095278, 0, 0, 4.85
AFLfast,nm-new,9,1100497, 0, 0, 4.78
AFLfast,nm-new,9,1105668, 0, 0, 4.60
AFLfast,nm-new,9,1110860, 0, 0, 4.49
AFLfast,nm-new,9,1131844, 0, 0, 4.28
AFLfast,nm-new,9,1155021, 0, 0, 6.01
AFLfast,nm-new,9,1160363, 0, 0, 5.29
AFLfast,nm-new,9,1165612, 0, 0, 5.08
AFLfast,nm-new,9,1188000, 0, 0, 4.92
AFLfast,nm-new,9,1193083, 0, 0, 4.52
AFLfast,nm-new,9,1216755, 0, 0, 4.41
AFLfast,nm-new,9,1221861, 0, 0, 4.55
AFLfast,nm-new,9,1227077, 0, 0, 4.60
AFLfast,nm-new,9,1232085, 0, 0, 4.48
AFLfast,nm-new,9,1250910, 0, 0, 4.45
AFLfast,nm-new,9,1256169, 0, 0, 4.69
AFLfast,nm-new,9,1261308, 0, 0, 4.64
AFLfast,nm-new,9,1266582, 0, 0, 4.61
AFLfast,nm-new,9,1271594, 0, 0, 4.64
AFLfast,nm-new,9,1276737, 0, 0, 4.38
AFLfast,nm-new,9,1282023, 0, 0, 4.59
AFLfast,nm-new,9,1287079, 0, 0, 4.75
AFLfast,nm-new,9,1292496, 0, 0, 4.92
AFLfast,nm-new,9,1297407, 0, 0, 4.66
AFLfast,nm-new,9,1302599, 0, 0, 4.41
AFLfast,nm-new,9,1307889, 0, 0, 4.41
AFLfast,nm-new,9,1312855, 0, 0, 4.84
AFLfast,nm-new,9,1317993, 0, 0, 4.55
AFLfast,nm-new,9,1323145, 0, 0, 4.99
AFLfast,nm-new,9,1328336, 0, 0, 4.77
AFLfast,nm-new,9,1333265, 0, 0, 4.63
AFLfast,nm-new,9,1355235, 0, 0, 4.60
AFLfast,nm-new,9,1378853, 0, 0, 4.64
AFLfast,nm-new,9,1383797, 0, 0, 4.44
AFLfast,nm-new,9,1388773, 0, 0, 4.62
AFLfast,nm-new,9,1393894, 0, 0, 4.76
AFLfast,nm-new,9,1414177, 0, 0, 4.59
AFLfast,nm-new,9,1434353, 0, 0, 4.43
AFLfast,nm-new,9,1439520, 0, 0, 4.44
AFLfast,nm-new,9,1444615, 0, 0, 4.37
AFLfast,nm-new,9,1449676, 0, 0, 4.43
AFLfast,nm-new,9,1454808, 0, 0, 4.68
AFLfast,nm-new,9,1459936, 0, 0, 4.51
AFLfast,nm-new,9,1480955, 0, 0, 4.40
AFLfast,nm-new,9,1486177, 0, 0, 4.65
AFLfast,nm-new,9,1491153, 0, 0, 4.67
AFLfast,nm-new,9,1496201, 0, 0, 4.74
AFLfast,nm-new,9,1501442, 0, 0, 4.44
AFLfast,nm-new,9,1506493, 0, 0, 4.53
AFLfast,nm-new,9,1511605, 0, 0, 4.73
AFLfast,nm-new,9,1516741, 0, 0, 4.47
AFLfast,nm-new,9,1537595, 0, 0, 4.43
AFLfast,nm-new,9,1542711, 0, 0, 4.45
AFLfast,nm-new,9,1548049, 0, 0, 4.35
AFLfast,nm-new,9,1553148, 0, 0, 4.40
AFLfast,nm-new,9,1558141, 0, 0, 4.46
AFLfast,nm-new,9,1582553, 0, 0, 4.51
AFLfast,nm-new,9,1587620, 0, 0, 4.65
AFLfast,nm-new,9,1592719, 0, 0, 4.70
AFLfast,nm-new,9,1597876, 0, 0, 4.71
AFLfast,nm-new,9,1622126, 0, 0, 4.55
AFLfast,nm-new,9,1626971, 0, 0, 5.94
AFLfast,nm-new,9,1632148, 0, 0, 5.12
AFLfast,nm-new,9,1656287, 0, 0, 4.65
AFLfast,nm-new,9,1678294, 0, 0, 4.55
AFLfast,nm-new,9,1702668, 0, 0, 4.55
AFLfast,nm-new,9,1707343, 0, 0, 5.24
AFLfast,nm-new,9,1712500, 0, 0, 4.92
AFLfast,nm-new,9,1717548, 0, 0, 4.79
AFLfast,nm-new,9,1738445, 0, 0, 4.52
AFLfast,nm-new,9,1743564, 0, 0, 4.53
AFLfast,nm-new,9,1748616, 0, 0, 4.49
AFLfast,nm-new,9,1753785, 0, 0, 4.70
AFLfast,nm-new,9,1759088, 0, 0, 4.64
AFLfast,nm-new,9,1764182, 0, 0, 4.58
