alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,objdump,14,3848, 0, 0, 55.02
AFLfast,objdump,14,6315, 0, 0, 2.58
AFLfast,objdump,14,11414, 0, 0, 2.55
AFLfast,objdump,14,16482, 0, 0, 2.63
AFLfast,objdump,14,21634, 0, 0, 3.08
AFLfast,objdump,14,26714, 0, 0, 2.96
AFLfast,objdump,14,32248, 0, 0, 2.98
AFLfast,objdump,14,37198, 0, 0, 2.98
AFLfast,objdump,14,42322, 0, 0, 2.88
AFLfast,objdump,14,47776, 0, 0, 3.07
AFLfast,objdump,14,52638, 0, 0, 3.37
AFLfast,objdump,14,57980, 0, 0, 3.21
AFLfast,objdump,14,63053, 0, 0, 3.69
AFLfast,objdump,14,68408, 0, 0, 3.78
AFLfast,objdump,14,73478, 0, 0, 3.88
AFLfast,objdump,14,78905, 0, 0, 3.86
AFLfast,objdump,14,84137, 0, 0, 3.85
AFLfast,objdump,14,89018, 0, 0, 3.95
AFLfast,objdump,14,94441, 0, 0, 3.91
AFLfast,objdump,14,99518, 0, 0, 3.96
AFLfast,objdump,14,104756, 0, 0, 4.06
AFLfast,objdump,14,109709, 0, 0, 3.96
AFLfast,objdump,14,114964, 0, 0, 3.93
AFLfast,objdump,14,119974, 0, 0, 4.00
AFLfast,objdump,14,124999, 0, 0, 3.95
AFLfast,objdump,14,130167, 0, 0, 3.98
AFLfast,objdump,14,135349, 0, 0, 3.87
AFLfast,objdump,14,140389, 0, 0, 3.97
AFLfast,objdump,14,145343, 0, 0, 4.10
AFLfast,objdump,14,150370, 0, 0, 3.96
AFLfast,objdump,14,155378, 0, 0, 3.73
AFLfast,objdump,14,160595, 0, 0, 3.94
AFLfast,objdump,14,165750, 0, 0, 4.04
AFLfast,objdump,14,170898, 0, 0, 3.98
AFLfast,objdump,14,176118, 0, 0, 3.92
AFLfast,objdump,14,181217, 0, 0, 3.91
AFLfast,objdump,14,186362, 0, 0, 4.01
AFLfast,objdump,14,191737, 0, 0, 3.96
AFLfast,objdump,14,196671, 0, 0, 4.04
AFLfast,objdump,14,201682, 0, 0, 3.97
AFLfast,objdump,14,206727, 0, 0, 4.03
AFLfast,objdump,14,212013, 0, 0, 4.06
AFLfast,objdump,14,217007, 0, 0, 4.03
AFLfast,objdump,14,222119, 0, 0, 3.94
