alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,objdump,2,648, 0, 2, 7, 1, 1, 0.00%, 0, 0, 1, 252.21, 57, 33
AFLfast,objdump,2,5781, 0, 2, 7, 1, 1, 0.00%, 0, 0, 1, 2.58, 71, 33
AFLfast,objdump,2,10700, 0, 2, 7, 1, 1, 0.00%, 0, 0, 1, 2.87, 84, 33
AFLfast,objdump,2,16421, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.71, 97, 33
AFLfast,objdump,2,21308, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.91, 112, 33
AFLfast,objdump,2,26572, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.98, 127, 33
AFLfast,objdump,2,31692, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.95, 141, 33
AFLfast,objdump,2,37034, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 3.05, 156, 33
AFLfast,objdump,2,42306, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.72, 168, 33
AFLfast,objdump,2,47702, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.51, 179, 33
AFLfast,objdump,2,52743, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.42, 190, 33
AFLfast,objdump,2,57512, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.29, 200, 33
AFLfast,objdump,2,62897, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.05, 209, 33
AFLfast,objdump,2,68398, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.35, 221, 33
AFLfast,objdump,2,73637, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.32, 232, 33
AFLfast,objdump,2,78632, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.24, 242, 33
AFLfast,objdump,2,83685, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.11, 251, 33
AFLfast,objdump,2,89143, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 1.97, 260, 33
AFLfast,objdump,2,94255, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.21, 271, 33
AFLfast,objdump,2,99716, 0, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.44, 284, 33
AFLfast,objdump,2,105450, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.50, 297, 33
AFLfast,objdump,2,110862, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.72, 310, 33
AFLfast,objdump,2,115590, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.80, 323, 33
AFLfast,objdump,2,120683, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.76, 335, 33
AFLfast,objdump,2,126019, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.74, 347, 33
AFLfast,objdump,2,131463, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.60, 358, 33
AFLfast,objdump,2,136638, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.42, 369, 33
AFLfast,objdump,2,142331, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.15, 378, 33
AFLfast,objdump,2,148063, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.11, 388, 33
AFLfast,objdump,2,153511, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.23, 399, 33
AFLfast,objdump,2,159416, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 0.29, 405, 33
AFLfast,objdump,2,164521, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.61, 416, 33
AFLfast,objdump,2,170469, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.55, 428, 33
AFLfast,objdump,2,175412, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.48, 439, 33
AFLfast,objdump,2,181211, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.61, 453, 33
AFLfast,objdump,2,185991, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.87, 467, 33
AFLfast,objdump,2,191550, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.93, 482, 33
AFLfast,objdump,2,196448, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.63, 493, 33
AFLfast,objdump,2,202174, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.44, 504, 33
AFLfast,objdump,2,207439, 1, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.27, 514, 33
AFLfast,objdump,2,212698, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.45, 526, 33
AFLfast,objdump,2,218312, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.25, 536, 33
AFLfast,objdump,2,223424, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.17, 545, 33
AFLfast,objdump,2,228708, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.19, 556, 33
AFLfast,objdump,2,233948, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.23, 567, 33
AFLfast,objdump,2,239527, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.14, 577, 33
AFLfast,objdump,2,244496, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.17, 587, 33
AFLfast,objdump,2,249685, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.23, 597, 33
AFLfast,objdump,2,254769, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.27, 608, 33
AFLfast,objdump,2,259724, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.24, 619, 33
AFLfast,objdump,2,265403, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.11, 630, 33
AFLfast,objdump,2,270404, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.03, 639, 33
AFLfast,objdump,2,275639, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.05, 649, 33
AFLfast,objdump,2,280981, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.02, 658, 33
AFLfast,objdump,2,286066, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 1.87, 666, 33
AFLfast,objdump,2,291440, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 1.76, 674, 33
AFLfast,objdump,2,297321, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 1.93, 684, 33
AFLfast,objdump,2,303193, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 1.90, 694, 33
AFLfast,objdump,2,308447, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 1.99, 703, 33
AFLfast,objdump,2,313186, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.12, 713, 33
AFLfast,objdump,2,318464, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.03, 721, 33
AFLfast,objdump,2,324083, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.10, 731, 33
AFLfast,objdump,2,328972, 2, 2, 7, 0, 0, 0.00%, 0, 0, 1, 1.93, 739, 33
AFLfast,objdump,2,334697, 3, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.02, 749, 33
AFLfast,objdump,2,340060, 3, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.04, 758, 33
AFLfast,objdump,2,345535, 3, 2, 7, 0, 0, 0.00%, 0, 0, 1, 1.86, 766, 33
AFLfast,objdump,2,350263, 3, 2, 7, 0, 0, 0.00%, 0, 0, 1, 1.77, 774, 33
AFLfast,objdump,2,355726, 3, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.15, 787, 33
AFLfast,objdump,2,361416, 3, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.31, 800, 33
AFLfast,objdump,2,366248, 3, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.48, 812, 33
AFLfast,objdump,2,371818, 3, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.57, 825, 33
AFLfast,objdump,2,376758, 3, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.77, 839, 33
AFLfast,objdump,2,382419, 3, 2, 7, 0, 0, 0.00%, 0, 0, 1, 2.60, 851, 33
