alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,size,7,6249, 0, 0, 60.86
AFLfast,size,7,11453, 0, 0, 49.42
AFLfast,size,7,16592, 0, 0, 44.31
AFLfast,size,7,21762, 0, 0, 41.77
AFLfast,size,7,26825, 0, 0, 39.53
AFLfast,size,7,31955, 0, 0, 38.23
AFLfast,size,7,36994, 0, 0, 35.52
AFLfast,size,7,42184, 0, 0, 33.93
AFLfast,size,7,51093, 0, 0, 5.46
AFLfast,size,7,59328, 0, 0, 5.46
AFLfast,size,7,68345, 0, 0, 6.51
AFLfast,size,7,76927, 0, 0, 6.53
AFLfast,size,7,85684, 0, 0, 7.34
AFLfast,size,7,94269, 0, 0, 7.18
AFLfast,size,7,102880, 0, 0, 7.04
AFLfast,size,7,111533, 0, 0, 6.92
AFLfast,size,7,120752, 0, 0, 8.69
AFLfast,size,7,129452, 0, 0, 8.44
AFLfast,size,7,138588, 0, 0, 9.83
AFLfast,size,7,147593, 0, 0, 10.34
AFLfast,size,7,156374, 0, 0, 10.03
AFLfast,size,7,165144, 0, 0, 10.26
AFLfast,size,7,173598, 0, 0, 9.93
AFLfast,size,7,182489, 0, 0, 10.34
AFLfast,size,7,191403, 0, 0, 10.62
AFLfast,size,7,200384, 0, 0, 11.25
AFLfast,size,7,208839, 0, 0, 10.85
AFLfast,size,7,218839, 0, 0, 13.96
AFLfast,size,7,227957, 0, 0, 13.95
AFLfast,size,7,239413, 0, 0, 17.47
AFLfast,size,7,248248, 0, 0, 16.85
AFLfast,size,7,260251, 0, 0, 18.82
AFLfast,size,7,269599, 0, 0, 18.87
AFLfast,size,7,279252, 0, 0, 19.30
AFLfast,size,7,284423, 0, 0, 22.04
AFLfast,size,7,293345, 0, 0, 20.95
AFLfast,size,7,298565, 0, 0, 22.08
AFLfast,size,7,309605, 0, 0, 21.22
AFLfast,size,7,322358, 0, 0, 20.48
AFLfast,size,7,331899, 0, 0, 19.82
AFLfast,size,7,340816, 0, 0, 18.90
AFLfast,size,7,353801, 0, 0, 20.91
AFLfast,size,7,358921, 0, 0, 22.52
AFLfast,size,7,369124, 0, 0, 21.48
AFLfast,size,7,374177, 0, 0, 22.13
AFLfast,size,7,384435, 0, 0, 21.36
AFLfast,size,7,389457, 0, 0, 21.90
AFLfast,size,7,398532, 0, 0, 20.81
AFLfast,size,7,406953, 0, 0, 19.82
