alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,strings,12,201, 0, 0, 2708.33
AFLfast,strings,12,12476, 0, 0, 4.34
AFLfast,strings,12,17569, 0, 0, 3.74
AFLfast,strings,12,22850, 0, 0, 3.53
AFLfast,strings,12,28073, 0, 0, 3.36
AFLfast,strings,12,33310, 0, 0, 3.43
AFLfast,strings,12,38609, 0, 0, 3.42
AFLfast,strings,12,43977, 0, 0, 3.43
AFLfast,strings,12,48928, 0, 0, 3.48
AFLfast,strings,12,54105, 0, 0, 3.46
AFLfast,strings,12,59144, 0, 0, 3.42
AFLfast,strings,12,64437, 0, 0, 3.46
AFLfast,strings,12,69681, 0, 0, 3.53
AFLfast,strings,12,74590, 0, 0, 3.46
AFLfast,strings,12,79645, 0, 0, 3.43
AFLfast,strings,12,84949, 0, 0, 3.44
AFLfast,strings,12,90187, 0, 0, 3.44
AFLfast,strings,12,95174, 0, 0, 3.43
AFLfast,strings,12,100364, 0, 0, 3.50
AFLfast,strings,12,105475, 0, 0, 3.48
AFLfast,strings,12,110605, 0, 0, 3.42
AFLfast,strings,12,115853, 0, 0, 3.49
AFLfast,strings,12,121063, 0, 0, 3.47
AFLfast,strings,12,126347, 0, 0, 3.45
AFLfast,strings,12,131612, 0, 0, 3.49
AFLfast,strings,12,136788, 0, 0, 3.46
AFLfast,strings,12,142162, 0, 0, 3.46
AFLfast,strings,12,147232, 0, 0, 3.43
AFLfast,strings,12,152354, 0, 0, 3.44
AFLfast,strings,12,157357, 0, 0, 3.41
AFLfast,strings,12,162370, 0, 0, 3.41
AFLfast,strings,12,167556, 0, 0, 3.46
AFLfast,strings,12,172592, 0, 0, 3.46
AFLfast,strings,12,177965, 0, 0, 3.44
AFLfast,strings,12,183253, 0, 0, 3.44
AFLfast,strings,12,188412, 0, 0, 3.47
AFLfast,strings,12,193617, 0, 0, 3.51
AFLfast,strings,12,198706, 0, 0, 3.45
AFLfast,strings,12,204037, 0, 0, 3.43
AFLfast,strings,12,209193, 0, 0, 3.36
AFLfast,strings,12,214481, 0, 0, 3.42
AFLfast,strings,12,219505, 0, 0, 3.43
AFLfast,strings,12,224741, 0, 0, 3.47
AFLfast,strings,12,229923, 0, 0, 3.49
AFLfast,strings,12,235014, 0, 0, 3.41
AFLfast,strings,12,240137, 0, 0, 3.40
AFLfast,strings,12,245323, 0, 0, 3.47
AFLfast,strings,12,250627, 0, 0, 3.49
AFLfast,strings,12,255706, 0, 0, 3.41
AFLfast,strings,12,261050, 0, 0, 3.43
AFLfast,strings,12,266031, 0, 0, 3.42
AFLfast,strings,12,271064, 0, 0, 3.45
AFLfast,strings,12,276222, 0, 0, 3.39
AFLfast,strings,12,281509, 0, 0, 3.45
AFLfast,strings,12,286506, 0, 0, 3.44
AFLfast,strings,12,291545, 0, 0, 3.45
AFLfast,strings,12,296515, 0, 0, 3.45
AFLfast,strings,12,301625, 0, 0, 3.40
AFLfast,strings,12,306608, 0, 0, 3.40
AFLfast,strings,12,311909, 0, 0, 3.35
AFLfast,strings,12,317044, 0, 0, 3.47
