alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,strings,9,97, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4454.55, 49, 86
AFLfast,strings,9,11063, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 8.05, 138, 86
AFLfast,strings,9,16075, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 6.72, 169, 86
AFLfast,strings,9,21225, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 6.18, 200, 86
AFLfast,strings,9,26407, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 5.60, 227, 86
AFLfast,strings,9,31496, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 5.10, 253, 86
AFLfast,strings,9,36564, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4.90, 278, 86
AFLfast,strings,9,41596, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4.77, 303, 86
AFLfast,strings,9,46598, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4.54, 326, 86
AFLfast,strings,9,51885, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4.54, 350, 86
AFLfast,strings,9,56887, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4.62, 374, 86
AFLfast,strings,9,61890, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4.58, 397, 86
AFLfast,strings,9,67012, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4.54, 420, 86
AFLfast,strings,9,72361, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4.48, 444, 86
AFLfast,strings,9,77508, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4.42, 467, 86
AFLfast,strings,9,82664, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4.54, 491, 86
AFLfast,strings,9,87891, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4.59, 516, 86
AFLfast,strings,9,93128, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4.57, 540, 86
AFLfast,strings,9,98083, 0, 4, 6, 6, 3, 0.00%, 0, 0, 1, 4.52, 563, 86
