alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLplusplus,jpegtran,0,39391, 0, 0, 4.53
AFLplusplus,jpegtran,0,62941, 0, 0, 4.36
AFLplusplus,jpegtran,0,86118, 0, 0, 1.79
AFLplusplus,jpegtran,0,109796, 0, 0, 1.74
AFLplusplus,jpegtran,0,134484, 0, 0, 2.25
AFLplusplus,jpegtran,0,158075, 0, 0, 1.76
AFLplusplus,jpegtran,0,181563, 0, 0, 1.85
AFLplusplus,jpegtran,0,205395, 0, 0, 1.84
AFLplusplus,jpegtran,0,228876, 0, 0, 1.75
AFLplusplus,jpegtran,0,252598, 0, 0, 1.75
AFLplusplus,jpegtran,0,276127, 0, 0, 1.75
AFLplusplus,jpegtran,0,299483, 0, 0, 1.76
AFLplusplus,jpegtran,0,322627, 0, 0, 1.76
AFLplusplus,jpegtran,0,346922, 0, 0, 1.96
AFLplusplus,jpegtran,0,372532, 0, 0, 3.43
AFLplusplus,jpegtran,0,395880, 0, 0, 3.32
AFLplusplus,jpegtran,0,421791, 0, 0, 3.39
AFLplusplus,jpegtran,0,445565, 0, 0, 1.73
AFLplusplus,jpegtran,0,469506, 0, 0, 1.71
AFLplusplus,jpegtran,0,494772, 0, 0, 2.41
AFLplusplus,jpegtran,0,519340, 0, 0, 6.21
AFLplusplus,jpegtran,0,524406, 0, 0, 4.63
AFLplusplus,jpegtran,0,549134, 0, 0, 4.42
AFLplusplus,jpegtran,0,572894, 0, 0, 4.26
AFLplusplus,jpegtran,0,598908, 0, 0, 3.65
AFLplusplus,jpegtran,0,623584, 0, 0, 3.82
AFLplusplus,jpegtran,0,649011, 0, 0, 3.55
AFLplusplus,jpegtran,0,672994, 0, 0, 1.73
AFLplusplus,jpegtran,0,697921, 0, 0, 2.05
AFLplusplus,jpegtran,0,702942, 0, 0, 3.29
AFLplusplus,jpegtran,0,731829, 0, 0, 3.76
AFLplusplus,jpegtran,0,758523, 0, 0, 5.25
AFLplusplus,jpegtran,0,808318, 0, 0, 0.88
AFLplusplus,jpegtran,0,835505, 0, 0, 3.91
AFLplusplus,jpegtran,0,862985, 0, 0, 3.74
AFLplusplus,jpegtran,0,890252, 0, 0, 3.92
AFLplusplus,jpegtran,0,895288, 0, 0, 4.62
AFLplusplus,jpegtran,0,900431, 0, 0, 4.13
AFLplusplus,jpegtran,0,926470, 0, 0, 3.98
AFLplusplus,jpegtran,0,931726, 0, 0, 3.67
AFLplusplus,jpegtran,0,959414, 0, 0, 3.50
AFLplusplus,jpegtran,0,964412, 0, 0, 4.95
AFLplusplus,jpegtran,0,991086, 0, 0, 4.74
AFLplusplus,jpegtran,0,996212, 0, 0, 4.03
AFLplusplus,jpegtran,0,1023550, 0, 0, 3.81
AFLplusplus,jpegtran,0,1053248, 0, 0, 3.23
AFLplusplus,jpegtran,0,1058479, 0, 0, 3.48
AFLplusplus,jpegtran,0,1063696, 0, 0, 3.50
AFLplusplus,jpegtran,0,1091581, 0, 0, 3.45
AFLplusplus,jpegtran,0,1096351, 0, 0, 3.31
AFLplusplus,jpegtran,0,1127419, 0, 0, 3.19
AFLplusplus,jpegtran,0,1132538, 0, 0, 4.70
AFLplusplus,jpegtran,0,1137832, 0, 0, 3.97
AFLplusplus,jpegtran,0,1191224, 0, 0, 3.76
AFLplusplus,jpegtran,0,1195807, 0, 0, 3.16
AFLplusplus,jpegtran,0,1201048, 0, 0, 3.28
AFLplusplus,jpegtran,0,1234467, 0, 0, 3.19
AFLplusplus,jpegtran,0,1239396, 0, 0, 3.42
AFLplusplus,jpegtran,0,1271424, 0, 0, 3.25
AFLplusplus,jpegtran,0,1276079, 0, 0, 3.40
AFLplusplus,jpegtran,0,1305803, 0, 0, 3.27
AFLplusplus,jpegtran,0,1311156, 0, 0, 3.29
AFLplusplus,jpegtran,0,1316951, 0, 0, 3.30
AFLplusplus,jpegtran,0,1322387, 0, 0, 3.39
AFLplusplus,jpegtran,0,1327375, 0, 0, 3.12
AFLplusplus,jpegtran,0,1332514, 0, 0, 3.09
AFLplusplus,jpegtran,0,1362249, 0, 0, 3.01
AFLplusplus,jpegtran,0,1367348, 0, 0, 3.21
AFLplusplus,jpegtran,0,1372604, 0, 0, 3.55
AFLplusplus,jpegtran,0,1377946, 0, 0, 3.49
AFLplusplus,jpegtran,0,1382820, 0, 0, 3.41
AFLplusplus,jpegtran,0,1414285, 0, 0, 3.19
AFLplusplus,jpegtran,0,1449705, 0, 0, 1.17
AFLplusplus,jpegtran,0,1454696, 0, 0, 2.71
