alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLplusplus,jpegtran,0,39391, 0, 22, 43, 41, 31, 0.03%, 0, 0, 2, 4.53, 515, 2144
AFLplusplus,jpegtran,0,62941, 0, 22, 44, 42, 31, 0.03%, 0, 0, 2, 4.36, 556, 2153
AFLplusplus,jpegtran,0,86118, 0, 22, 45, 43, 31, 0.03%, 0, 0, 2, 1.79, 597, 2154
AFLplusplus,jpegtran,0,109796, 0, 22, 46, 44, 31, 0.03%, 0, 0, 2, 1.74, 638, 2155
AFLplusplus,jpegtran,0,134484, 0, 22, 47, 45, 31, 0.03%, 0, 0, 2, 2.25, 684, 2156
AFLplusplus,jpegtran,0,158075, 0, 22, 48, 46, 31, 0.03%, 0, 0, 2, 1.76, 725, 2156
AFLplusplus,jpegtran,0,181563, 0, 22, 49, 47, 31, 0.03%, 0, 0, 2, 1.85, 767, 2157
AFLplusplus,jpegtran,0,205395, 0, 22, 50, 48, 31, 0.03%, 0, 0, 2, 1.84, 808, 2159
AFLplusplus,jpegtran,0,228876, 0, 22, 51, 49, 31, 0.03%, 0, 0, 2, 1.75, 849, 2166
AFLplusplus,jpegtran,0,252598, 0, 22, 52, 50, 31, 0.03%, 0, 0, 2, 1.75, 890, 2168
AFLplusplus,jpegtran,0,276127, 0, 22, 53, 51, 31, 0.03%, 0, 0, 2, 1.75, 931, 2169
AFLplusplus,jpegtran,0,299483, 0, 22, 54, 52, 31, 0.03%, 0, 0, 2, 1.76, 972, 2170
AFLplusplus,jpegtran,0,322627, 0, 22, 55, 53, 31, 0.03%, 0, 0, 2, 1.76, 1013, 2171
AFLplusplus,jpegtran,0,346922, 0, 22, 56, 54, 31, 0.03%, 0, 0, 2, 1.96, 1056, 2173
AFLplusplus,jpegtran,0,372532, 0, 22, 57, 55, 31, 0.03%, 0, 0, 2, 3.43, 1107, 2174
AFLplusplus,jpegtran,0,395880, 0, 22, 58, 56, 31, 0.03%, 0, 0, 2, 3.32, 1148, 2176
