alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pngtest,2,174, 0, 0, 26833.33
AFLfast,pngtest,2,36345, 0, 0, 1.19
AFLfast,pngtest,2,74506, 0, 0, 1.57
AFLfast,pngtest,2,112350, 0, 0, 2.44
AFLfast,pngtest,2,117486, 0, 0, 2.80
AFLfast,pngtest,2,153590, 0, 0, 2.69
AFLfast,pngtest,2,158605, 0, 0, 2.58
AFLfast,pngtest,2,195413, 0, 0, 2.46
AFLfast,pngtest,2,200615, 0, 0, 2.53
AFLfast,pngtest,2,206131, 0, 0, 2.52
AFLfast,pngtest,2,211229, 0, 0, 2.64
AFLfast,pngtest,2,216537, 0, 0, 2.49
AFLfast,pngtest,2,257627, 0, 0, 2.64
AFLfast,pngtest,2,262670, 0, 0, 2.73
AFLfast,pngtest,2,267865, 0, 0, 2.69
AFLfast,pngtest,2,273110, 0, 0, 2.72
AFLfast,pngtest,2,278149, 0, 0, 2.56
AFLfast,pngtest,2,283790, 0, 0, 2.61
AFLfast,pngtest,2,320447, 0, 0, 2.52
AFLfast,pngtest,2,325878, 0, 0, 3.61
AFLfast,pngtest,2,330685, 0, 0, 2.94
AFLfast,pngtest,2,335794, 0, 0, 2.69
AFLfast,pngtest,2,340877, 0, 0, 2.68
AFLfast,pngtest,2,345986, 0, 0, 2.67
AFLfast,pngtest,2,351082, 0, 0, 2.69
AFLfast,pngtest,2,356605, 0, 0, 2.69
AFLfast,pngtest,2,396139, 0, 0, 2.59
AFLfast,pngtest,2,400783, 0, 0, 3.16
AFLfast,pngtest,2,406084, 0, 0, 2.89
AFLfast,pngtest,2,411187, 0, 0, 2.78
AFLfast,pngtest,2,416546, 0, 0, 2.70
AFLfast,pngtest,2,421902, 0, 0, 2.73
AFLfast,pngtest,2,427172, 0, 0, 2.62
AFLfast,pngtest,2,432013, 0, 0, 2.68
AFLfast,pngtest,2,437263, 0, 0, 2.60
AFLfast,pngtest,2,474703, 0, 0, 2.55
AFLfast,pngtest,2,479397, 0, 0, 3.56
AFLfast,pngtest,2,517791, 0, 0, 3.21
AFLfast,pngtest,2,522625, 0, 0, 3.62
AFLfast,pngtest,2,528181, 0, 0, 3.06
AFLfast,pngtest,2,533409, 0, 0, 2.85
AFLfast,pngtest,2,538605, 0, 0, 2.65
AFLfast,pngtest,2,543917, 0, 0, 2.62
AFLfast,pngtest,2,548904, 0, 0, 2.60
AFLfast,pngtest,2,553897, 0, 0, 2.61
AFLfast,pngtest,2,558989, 0, 0, 2.65
AFLfast,pngtest,2,564243, 0, 0, 2.63
AFLfast,pngtest,2,569597, 0, 0, 2.70
AFLfast,pngtest,2,574662, 0, 0, 2.72
AFLfast,pngtest,2,579716, 0, 0, 2.77
AFLfast,pngtest,2,584861, 0, 0, 2.66
AFLfast,pngtest,2,590229, 0, 0, 2.60
AFLfast,pngtest,2,595375, 0, 0, 2.55
AFLfast,pngtest,2,600673, 0, 0, 2.49
AFLfast,pngtest,2,641098, 0, 0, 2.41
AFLfast,pngtest,2,646435, 0, 0, 3.00
AFLfast,pngtest,2,651546, 0, 0, 2.67
AFLfast,pngtest,2,656890, 0, 0, 2.47
AFLfast,pngtest,2,661998, 0, 0, 2.60
AFLfast,pngtest,2,667190, 0, 0, 2.60
AFLfast,pngtest,2,672330, 0, 0, 2.60
AFLfast,pngtest,2,677822, 0, 0, 2.52
AFLfast,pngtest,2,682966, 0, 0, 2.58
AFLfast,pngtest,2,688378, 0, 0, 2.61
AFLfast,pngtest,2,693769, 0, 0, 2.58
AFLfast,pngtest,2,699051, 0, 0, 2.52
AFLfast,pngtest,2,704403, 0, 0, 2.54
AFLfast,pngtest,2,709450, 0, 0, 2.48
AFLfast,pngtest,2,714790, 0, 0, 2.50
AFLfast,pngtest,2,720017, 0, 0, 2.53
AFLfast,pngtest,2,725440, 0, 0, 2.49
AFLfast,pngtest,2,730435, 0, 0, 2.47
AFLfast,pngtest,2,773542, 0, 0, 2.42
