alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,tiffsplit,14,25652, 0, 18, 29, 24, 20, 0.03%, 0, 0, 1, 6.52, 399, 2311
AFLfast,tiffsplit,14,56603, 0, 18, 30, 25, 20, 0.03%, 0, 0, 2, 6.20, 440, 2316
AFLfast,tiffsplit,14,92354, 0, 18, 32, 27, 20, 0.03%, 0, 0, 2, 2.72, 493, 2328
AFLfast,tiffsplit,14,123301, 0, 18, 33, 28, 20, 0.03%, 0, 0, 2, 1.33, 534, 2331
AFLfast,tiffsplit,14,128306, 0, 18, 35, 30, 20, 0.03%, 0, 0, 2, 2.95, 554, 2335
AFLfast,tiffsplit,14,159658, 0, 18, 36, 31, 20, 0.03%, 0, 0, 2, 2.85, 595, 2337
AFLfast,tiffsplit,14,192893, 0, 18, 38, 33, 20, 0.03%, 0, 0, 2, 4.00, 645, 2338
AFLfast,tiffsplit,14,225238, 0, 18, 39, 34, 20, 0.03%, 0, 0, 2, 3.83, 687, 2338
AFLfast,tiffsplit,14,257039, 0, 18, 40, 35, 20, 0.03%, 0, 0, 2, 1.33, 729, 2346
AFLfast,tiffsplit,14,289074, 0, 18, 41, 36, 20, 0.03%, 0, 0, 2, 1.52, 772, 2353
AFLfast,tiffsplit,14,321108, 0, 18, 42, 37, 20, 0.03%, 0, 0, 2, 4.73, 817, 2353
AFLfast,tiffsplit,14,352509, 0, 18, 43, 38, 20, 0.03%, 0, 0, 2, 4.52, 858, 2361
AFLfast,tiffsplit,14,385374, 0, 18, 44, 39, 20, 0.03%, 0, 0, 2, 2.63, 904, 2361
AFLfast,tiffsplit,14,416447, 0, 18, 45, 40, 20, 0.03%, 0, 0, 2, 2.55, 945, 2361
AFLfast,tiffsplit,14,447797, 0, 18, 46, 41, 20, 0.03%, 0, 0, 2, 1.32, 986, 2363
AFLfast,tiffsplit,14,480867, 0, 18, 47, 42, 20, 0.03%, 0, 0, 2, 1.87, 1033, 2367
AFLfast,tiffsplit,14,512954, 0, 18, 48, 43, 20, 0.03%, 0, 0, 2, 4.74, 1077, 2367
AFLfast,tiffsplit,14,544540, 0, 18, 49, 44, 20, 0.03%, 0, 0, 2, 4.52, 1118, 2370
AFLfast,tiffsplit,14,579482, 0, 18, 50, 45, 20, 0.03%, 0, 0, 2, 4.04, 1169, 2382
AFLfast,tiffsplit,14,611630, 0, 18, 51, 46, 20, 0.03%, 0, 0, 2, 3.95, 1212, 2382
AFLfast,tiffsplit,14,643526, 0, 18, 52, 47, 20, 0.03%, 0, 0, 2, 1.33, 1254, 2382
AFLfast,tiffsplit,14,679071, 0, 18, 53, 48, 20, 0.03%, 0, 0, 2, 4.15, 1306, 2384
AFLfast,tiffsplit,14,712461, 0, 18, 54, 49, 20, 0.03%, 0, 0, 2, 4.51, 1351, 2384
AFLfast,tiffsplit,14,748533, 0, 18, 55, 50, 20, 0.03%, 0, 0, 2, 3.62, 1408, 2385
AFLfast,tiffsplit,14,780144, 0, 18, 56, 51, 20, 0.03%, 0, 0, 2, 2.58, 1450, 2385
AFLfast,tiffsplit,14,811747, 0, 18, 57, 52, 20, 0.03%, 0, 0, 2, 2.50, 1491, 2387
AFLfast,tiffsplit,14,843063, 0, 18, 58, 53, 20, 0.03%, 0, 0, 2, 1.35, 1533, 2391
AFLfast,tiffsplit,14,874679, 0, 18, 59, 54, 20, 0.03%, 0, 0, 2, 1.35, 1575, 2391
AFLfast,tiffsplit,14,907303, 0, 18, 60, 55, 20, 0.03%, 0, 0, 2, 4.67, 1619, 2405
AFLfast,tiffsplit,14,941011, 0, 18, 61, 56, 20, 0.03%, 0, 0, 2, 4.02, 1667, 2407
AFLfast,tiffsplit,14,973467, 0, 18, 62, 57, 20, 0.03%, 0, 0, 2, 4.61, 1712, 2407
AFLfast,tiffsplit,14,1006108, 0, 18, 63, 58, 20, 0.03%, 0, 0, 2, 4.30, 1757, 2408
AFLfast,tiffsplit,14,1038183, 0, 18, 64, 59, 20, 0.03%, 0, 0, 2, 4.25, 1801, 2408
AFLfast,tiffsplit,14,1069863, 0, 18, 65, 60, 20, 0.03%, 0, 0, 2, 4.07, 1842, 2409
AFLfast,tiffsplit,14,1101360, 0, 18, 66, 61, 20, 0.03%, 0, 0, 2, 1.35, 1884, 2409
AFLfast,tiffsplit,14,1134657, 0, 18, 67, 62, 20, 0.03%, 0, 0, 2, 4.19, 1931, 2409
AFLfast,tiffsplit,14,1168099, 0, 18, 68, 63, 20, 0.03%, 0, 0, 2, 2.31, 1978, 2409
AFLfast,tiffsplit,14,1199687, 0, 18, 69, 64, 20, 0.03%, 0, 0, 2, 2.25, 2019, 2413
AFLfast,tiffsplit,14,1235101, 0, 18, 70, 65, 20, 0.03%, 0, 0, 2, 3.99, 2073, 2413
AFLfast,tiffsplit,14,1267251, 0, 18, 71, 66, 20, 0.03%, 0, 0, 2, 3.82, 2114, 2417
AFLfast,tiffsplit,14,1301542, 0, 18, 72, 67, 20, 0.03%, 0, 0, 2, 4.09, 2162, 2417
