alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,tiffsplit,6,126, 0, 0, 62600.00
AFLfast,tiffsplit,6,22905, 0, 0, 7.73
AFLfast,tiffsplit,6,28685, 0, 0, 6.07
AFLfast,tiffsplit,6,56007, 0, 0, 5.68
AFLfast,tiffsplit,6,83562, 0, 0, 5.29
AFLfast,tiffsplit,6,112147, 0, 0, 3.30
AFLfast,tiffsplit,6,142098, 0, 0, 3.45
AFLfast,tiffsplit,6,170069, 0, 0, 3.33
AFLfast,tiffsplit,6,198476, 0, 0, 3.26
AFLfast,tiffsplit,6,226178, 0, 0, 3.15
AFLfast,tiffsplit,6,255025, 0, 0, 3.27
AFLfast,tiffsplit,6,282710, 0, 0, 1.48
AFLfast,tiffsplit,6,311524, 0, 0, 1.85
AFLfast,tiffsplit,6,339567, 0, 0, 1.82
AFLfast,tiffsplit,6,369323, 0, 0, 4.76
AFLfast,tiffsplit,6,397924, 0, 0, 4.38
AFLfast,tiffsplit,6,430125, 0, 0, 3.59
AFLfast,tiffsplit,6,458274, 0, 0, 3.46
AFLfast,tiffsplit,6,487322, 0, 0, 3.44
AFLfast,tiffsplit,6,491886, 0, 0, 3.40
AFLfast,tiffsplit,6,520179, 0, 0, 3.29
AFLfast,tiffsplit,6,549698, 0, 0, 3.25
AFLfast,tiffsplit,6,578459, 0, 0, 1.43
AFLfast,tiffsplit,6,607974, 0, 0, 1.66
AFLfast,tiffsplit,6,641436, 0, 0, 2.19
AFLfast,tiffsplit,6,673394, 0, 0, 2.46
AFLfast,tiffsplit,6,678153, 0, 0, 3.20
AFLfast,tiffsplit,6,707814, 0, 0, 3.08
AFLfast,tiffsplit,6,738863, 0, 0, 3.09
AFLfast,tiffsplit,6,769923, 0, 0, 4.62
AFLfast,tiffsplit,6,800343, 0, 0, 4.32
AFLfast,tiffsplit,6,830304, 0, 0, 5.27
AFLfast,tiffsplit,6,836496, 0, 0, 4.01
AFLfast,tiffsplit,6,867988, 0, 0, 2.83
AFLfast,tiffsplit,6,872554, 0, 0, 3.76
AFLfast,tiffsplit,6,902353, 0, 0, 3.54
AFLfast,tiffsplit,6,935933, 0, 0, 2.98
AFLfast,tiffsplit,6,966290, 0, 0, 2.98
AFLfast,tiffsplit,6,998353, 0, 0, 2.92
AFLfast,tiffsplit,6,1029452, 0, 0, 2.82
AFLfast,tiffsplit,6,1059534, 0, 0, 2.76
AFLfast,tiffsplit,6,1089054, 0, 0, 1.40
AFLfast,tiffsplit,6,1122224, 0, 0, 2.22
AFLfast,tiffsplit,6,1153737, 0, 0, 3.19
AFLfast,tiffsplit,6,1158906, 0, 0, 3.20
AFLfast,tiffsplit,6,1164129, 0, 0, 3.14
AFLfast,tiffsplit,6,1169390, 0, 0, 3.08
AFLfast,tiffsplit,6,1201487, 0, 0, 3.06
AFLfast,tiffsplit,6,1206253, 0, 0, 4.00
AFLfast,tiffsplit,6,1237874, 0, 0, 3.63
AFLfast,tiffsplit,6,1243062, 0, 0, 3.41
AFLfast,tiffsplit,6,1275914, 0, 0, 3.16
AFLfast,tiffsplit,6,1306446, 0, 0, 5.24
AFLfast,tiffsplit,6,1311413, 0, 0, 3.89
AFLfast,tiffsplit,6,1342661, 0, 0, 3.56
AFLfast,tiffsplit,6,1347114, 0, 0, 3.21
AFLfast,tiffsplit,6,1352139, 0, 0, 3.09
AFLfast,tiffsplit,6,1384267, 0, 0, 2.94
AFLfast,tiffsplit,6,1418071, 0, 0, 2.90
AFLfast,tiffsplit,6,1422775, 0, 0, 3.17
AFLfast,tiffsplit,6,1457074, 0, 0, 2.96
AFLfast,tiffsplit,6,1462299, 0, 0, 3.11
AFLfast,tiffsplit,6,1467601, 0, 0, 3.06
AFLfast,tiffsplit,6,1498477, 0, 0, 2.96
AFLfast,tiffsplit,6,1531604, 0, 0, 3.01
AFLfast,tiffsplit,6,1567739, 0, 0, 2.86
AFLfast,tiffsplit,6,1572561, 0, 0, 3.93
AFLfast,tiffsplit,6,1607542, 0, 0, 3.39
AFLfast,tiffsplit,6,1612546, 0, 0, 3.11
AFLfast,tiffsplit,6,1617633, 0, 0, 2.91
AFLfast,tiffsplit,6,1653032, 0, 0, 2.79
AFLfast,tiffsplit,6,1686002, 0, 0, 2.55
AFLfast,tiffsplit,6,1720964, 0, 0, 2.64
AFLfast,tiffsplit,6,1754235, 0, 0, 2.59
AFLfast,tiffsplit,6,1759477, 0, 0, 2.84
AFLfast,tiffsplit,6,1764581, 0, 0, 2.78
AFLfast,tiffsplit,6,1798042, 0, 0, 2.83
AFLfast,tiffsplit,6,1802867, 0, 0, 2.82
AFLfast,tiffsplit,6,1807705, 0, 0, 2.82
AFLfast,tiffsplit,6,1812806, 0, 0, 2.79
AFLfast,tiffsplit,6,1818280, 0, 0, 2.72
AFLfast,tiffsplit,6,1823390, 0, 0, 2.80
AFLfast,tiffsplit,6,1828401, 0, 0, 2.80
