alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,xmlcatalog,0,64, 0, 25, 44, 1, 1, 0.00%, 0, 0, 1, 44125.00, 353, 238
AFLfast,xmlcatalog,0,5452, 0, 18, 44, 1, 1, 0.00%, 0, 0, 1, 2.67, 366, 238
AFLfast,xmlcatalog,0,10530, 0, 7, 44, 1, 1, 0.00%, 0, 0, 1, 2.58, 376, 238
AFLfast,xmlcatalog,0,15631, 0, 32, 44, 1, 1, 0.00%, 0, 0, 1, 2.69, 389, 238
AFLfast,xmlcatalog,0,20877, 0, 1, 44, 1, 1, 0.00%, 0, 0, 1, 2.76, 401, 238
AFLfast,xmlcatalog,0,26021, 0, 10, 44, 1, 1, 0.00%, 0, 0, 1, 2.60, 412, 238
AFLfast,xmlcatalog,0,31010, 0, 24, 44, 1, 1, 0.00%, 0, 0, 1, 2.64, 425, 238
AFLfast,xmlcatalog,0,36623, 0, 15, 44, 1, 1, 0.00%, 0, 0, 1, 2.59, 438, 238
AFLfast,xmlcatalog,0,41903, 0, 39, 44, 1, 1, 0.00%, 0, 0, 1, 2.74, 449, 238
AFLfast,xmlcatalog,0,47076, 0, 2, 44, 1, 1, 0.00%, 0, 0, 1, 2.75, 461, 238
AFLfast,xmlcatalog,0,52777, 0, 35, 44, 1, 1, 0.00%, 0, 0, 1, 2.75, 473, 238
AFLfast,xmlcatalog,0,57589, 0, 23, 44, 1, 1, 0.00%, 0, 0, 1, 2.84, 486, 238
AFLfast,xmlcatalog,0,62958, 0, 21, 44, 1, 1, 0.00%, 0, 0, 1, 2.77, 497, 238
AFLfast,xmlcatalog,0,67982, 0, 9, 44, 1, 1, 0.00%, 0, 0, 1, 2.65, 508, 238
AFLfast,xmlcatalog,0,73553, 0, 36, 44, 1, 1, 0.00%, 0, 0, 1, 2.84, 522, 238
AFLfast,xmlcatalog,0,78992, 0, 17, 44, 1, 1, 0.00%, 0, 0, 1, 2.74, 536, 238
