alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmlcatalog,8,416, 0, 0, 48125.00
AFLfast,xmlcatalog,8,5092, 0, 0, 3.31
AFLfast,xmlcatalog,8,10241, 0, 0, 2.81
AFLfast,xmlcatalog,8,15384, 0, 0, 2.69
AFLfast,xmlcatalog,8,20433, 0, 0, 2.50
AFLfast,xmlcatalog,8,25639, 0, 0, 2.58
AFLfast,xmlcatalog,8,30688, 0, 0, 2.55
AFLfast,xmlcatalog,8,35967, 0, 0, 2.44
AFLfast,xmlcatalog,8,41034, 0, 0, 2.38
AFLfast,xmlcatalog,8,46269, 0, 0, 2.36
AFLfast,xmlcatalog,8,51332, 0, 0, 2.22
AFLfast,xmlcatalog,8,56970, 0, 0, 2.28
AFLfast,xmlcatalog,8,62685, 0, 0, 2.19
AFLfast,xmlcatalog,8,68179, 0, 0, 2.37
AFLfast,xmlcatalog,8,73736, 0, 0, 2.33
AFLfast,xmlcatalog,8,79810, 0, 0, 2.33
AFLfast,xmlcatalog,8,85491, 0, 0, 2.35
AFLfast,xmlcatalog,8,127888, 0, 0, 2.46
AFLfast,xmlcatalog,8,166256, 0, 0, 1.08
AFLfast,xmlcatalog,8,204968, 0, 0, 1.08
AFLfast,xmlcatalog,8,243361, 0, 0, 3.42
AFLfast,xmlcatalog,8,282849, 0, 0, 3.24
AFLfast,xmlcatalog,8,322143, 0, 0, 3.09
AFLfast,xmlcatalog,8,360207, 0, 0, 1.75
AFLfast,xmlcatalog,8,396938, 0, 0, 3.87
AFLfast,xmlcatalog,8,434274, 0, 0, 3.59
AFLfast,xmlcatalog,8,471258, 0, 0, 2.56
AFLfast,xmlcatalog,8,508353, 0, 0, 1.12
AFLfast,xmlcatalog,8,546635, 0, 0, 4.09
AFLfast,xmlcatalog,8,583734, 0, 0, 1.12
AFLfast,xmlcatalog,8,620822, 0, 0, 4.03
AFLfast,xmlcatalog,8,659216, 0, 0, 1.08
AFLfast,xmlcatalog,8,696734, 0, 0, 1.11
AFLfast,xmlcatalog,8,701666, 0, 0, 3.47
AFLfast,xmlcatalog,8,738702, 0, 0, 3.31
AFLfast,xmlcatalog,8,775927, 0, 0, 2.66
AFLfast,xmlcatalog,8,812836, 0, 0, 2.65
AFLfast,xmlcatalog,8,849926, 0, 0, 1.73
AFLfast,xmlcatalog,8,886910, 0, 0, 3.65
AFLfast,xmlcatalog,8,923256, 0, 0, 3.54
AFLfast,xmlcatalog,8,955258, 0, 0, 3.26
AFLfast,xmlcatalog,8,959365, 0, 0, 4.29
AFLfast,xmlcatalog,8,989039, 0, 0, 4.06
AFLfast,xmlcatalog,8,1021829, 0, 0, 3.98
AFLfast,xmlcatalog,8,1050336, 0, 0, 4.62
AFLfast,xmlcatalog,8,1055725, 0, 0, 4.29
AFLfast,xmlcatalog,8,1061065, 0, 0, 3.89
AFLfast,xmlcatalog,8,1090321, 0, 0, 3.75
AFLfast,xmlcatalog,8,1095110, 0, 0, 5.35
AFLfast,xmlcatalog,8,1123909, 0, 0, 4.94
AFLfast,xmlcatalog,8,1151953, 0, 0, 4.72
AFLfast,xmlcatalog,8,1156739, 0, 0, 4.12
AFLfast,xmlcatalog,8,1184425, 0, 0, 3.95
AFLfast,xmlcatalog,8,1212857, 0, 0, 3.88
AFLfast,xmlcatalog,8,1217643, 0, 0, 4.84
AFLfast,xmlcatalog,8,1250931, 0, 0, 4.09
AFLfast,xmlcatalog,8,1280320, 0, 0, 2.96
AFLfast,xmlcatalog,8,1285003, 0, 0, 3.53
AFLfast,xmlcatalog,8,1315269, 0, 0, 3.61
AFLfast,xmlcatalog,8,1346913, 0, 0, 3.79
AFLfast,xmlcatalog,8,1351497, 0, 0, 4.02
AFLfast,xmlcatalog,8,1380571, 0, 0, 3.85
AFLfast,xmlcatalog,8,1408884, 0, 0, 6.26
AFLfast,xmlcatalog,8,1413399, 0, 0, 3.95
AFLfast,xmlcatalog,8,1443853, 0, 0, 3.84
AFLfast,xmlcatalog,8,1473526, 0, 0, 6.39
AFLfast,xmlcatalog,8,1504562, 0, 0, 3.60
AFLfast,xmlcatalog,8,1532264, 0, 0, 1.48
AFLfast,xmlcatalog,8,1560594, 0, 0, 1.65
AFLfast,xmlcatalog,8,1565470, 0, 0, 5.41
AFLfast,xmlcatalog,8,1597736, 0, 0, 4.39
AFLfast,xmlcatalog,8,1628215, 0, 0, 3.97
AFLfast,xmlcatalog,8,1659494, 0, 0, 4.33
AFLfast,xmlcatalog,8,1664508, 0, 0, 4.18
AFLfast,xmlcatalog,8,1669582, 0, 0, 4.26
AFLfast,xmlcatalog,8,1701700, 0, 0, 4.05
AFLfast,xmlcatalog,8,1706378, 0, 0, 5.38
AFLfast,xmlcatalog,8,1734784, 0, 0, 4.86
AFLfast,xmlcatalog,8,1739952, 0, 0, 4.47
AFLfast,xmlcatalog,8,1768188, 0, 0, 4.23
AFLfast,xmlcatalog,8,1773067, 0, 0, 4.40
AFLfast,xmlcatalog,8,1803696, 0, 0, 4.37
AFLfast,xmlcatalog,8,1831974, 0, 0, 4.16
AFLfast,xmlcatalog,8,1863579, 0, 0, 3.73
AFLfast,xmlcatalog,8,1893312, 0, 0, 3.78
AFLfast,xmlcatalog,8,1923058, 0, 0, 3.64
AFLfast,xmlcatalog,8,1952016, 0, 0, 3.70
AFLfast,xmlcatalog,8,1957304, 0, 0, 3.97
AFLfast,xmlcatalog,8,1962506, 0, 0, 4.11
AFLfast,xmlcatalog,8,1990648, 0, 0, 3.88
AFLfast,xmlcatalog,8,1995830, 0, 0, 4.25
AFLfast,xmlcatalog,8,2001142, 0, 0, 4.30
AFLfast,xmlcatalog,8,2006132, 0, 0, 4.34
AFLfast,xmlcatalog,8,2037087, 0, 0, 4.22
AFLfast,xmlcatalog,8,2041973, 0, 0, 3.60
AFLfast,xmlcatalog,8,2047350, 0, 0, 4.18
AFLfast,xmlcatalog,8,2052439, 0, 0, 4.25
AFLfast,xmlcatalog,8,2057884, 0, 0, 4.26
AFLfast,xmlcatalog,8,2062801, 0, 0, 4.35
AFLfast,xmlcatalog,8,2068167, 0, 0, 4.35
AFLfast,xmlcatalog,8,2097988, 0, 0, 4.15
AFLfast,xmlcatalog,8,2125309, 0, 0, 1.55
AFLfast,xmlcatalog,8,2130519, 0, 0, 3.36
AFLfast,xmlcatalog,8,2158944, 0, 0, 3.35
AFLfast,xmlcatalog,8,2163395, 0, 0, 5.28
AFLfast,xmlcatalog,8,2193716, 0, 0, 4.67
AFLfast,xmlcatalog,8,2225794, 0, 0, 4.40
AFLfast,xmlcatalog,8,2230430, 0, 0, 4.20
AFLfast,xmlcatalog,8,2259825, 0, 0, 4.07
AFLfast,xmlcatalog,8,2289918, 0, 0, 3.89
AFLfast,xmlcatalog,8,2319063, 0, 0, 3.70
AFLfast,xmlcatalog,8,2324165, 0, 0, 3.91
AFLfast,xmlcatalog,8,2329590, 0, 0, 4.19
AFLfast,xmlcatalog,8,2359657, 0, 0, 4.06
AFLfast,xmlcatalog,8,2388518, 0, 0, 1.49
AFLfast,xmlcatalog,8,2393950, 0, 0, 3.40
AFLfast,xmlcatalog,8,2424535, 0, 0, 3.57
AFLfast,xmlcatalog,8,2429487, 0, 0, 4.39
AFLfast,xmlcatalog,8,2434882, 0, 0, 4.19
AFLfast,xmlcatalog,8,2439864, 0, 0, 4.06
AFLfast,xmlcatalog,8,2445185, 0, 0, 4.33
AFLfast,xmlcatalog,8,2450496, 0, 0, 4.24
AFLfast,xmlcatalog,8,2479079, 0, 0, 4.16
AFLfast,xmlcatalog,8,2484137, 0, 0, 4.12
AFLfast,xmlcatalog,8,2489165, 0, 0, 4.25
AFLfast,xmlcatalog,8,2494382, 0, 0, 4.16
AFLfast,xmlcatalog,8,2499278, 0, 0, 4.42
AFLfast,xmlcatalog,8,2504414, 0, 0, 4.36
AFLfast,xmlcatalog,8,2532489, 0, 0, 4.24
AFLfast,xmlcatalog,8,2537803, 0, 0, 4.59
AFLfast,xmlcatalog,8,2542879, 0, 0, 4.42
AFLfast,xmlcatalog,8,2548006, 0, 0, 4.18
AFLfast,xmlcatalog,8,2553232, 0, 0, 4.14
AFLfast,xmlcatalog,8,2558058, 0, 0, 4.12
AFLfast,xmlcatalog,8,2563361, 0, 0, 4.05
AFLfast,xmlcatalog,8,2568540, 0, 0, 4.16
AFLfast,xmlcatalog,8,2573785, 0, 0, 4.34
AFLfast,xmlcatalog,8,2601878, 0, 0, 4.13
AFLfast,xmlcatalog,8,2606938, 0, 0, 4.20
AFLfast,xmlcatalog,8,2611927, 0, 0, 4.19
