alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,xmllint,11,138, 0, 18, 30, 30, 25, 0.07%, 0, 0, 1, 48200.00, 241, 5620
AFLfast,xmllint,11,53795, 0, 18, 31, 31, 25, 0.07%, 0, 0, 2, 1.03, 296, 5648
AFLfast,xmllint,11,106865, 0, 18, 32, 32, 25, 0.07%, 0, 0, 2, 0.78, 337, 5695
AFLfast,xmllint,11,159090, 0, 18, 33, 33, 25, 0.07%, 0, 0, 2, 0.79, 378, 5698
AFLfast,xmllint,11,220493, 0, 18, 34, 34, 25, 0.07%, 0, 0, 2, 0.69, 419, 5706
AFLfast,xmllint,11,314245, 0, 18, 35, 35, 25, 0.07%, 0, 0, 2, 0.45, 460, 5708
AFLfast,xmllint,11,412852, 0, 18, 36, 36, 25, 0.07%, 0, 0, 2, 0.42, 501, 5759
AFLfast,xmllint,11,515168, 0, 18, 37, 37, 25, 0.07%, 0, 0, 2, 0.41, 542, 5761
AFLfast,xmllint,11,617623, 0, 18, 38, 38, 25, 0.07%, 0, 0, 2, 0.41, 583, 5815
AFLfast,xmllint,11,718129, 0, 18, 39, 39, 25, 0.07%, 0, 0, 2, 0.42, 624, 5816
AFLfast,xmllint,11,818205, 0, 18, 40, 40, 25, 0.07%, 0, 0, 2, 0.42, 665, 5816
AFLfast,xmllint,11,922093, 0, 18, 41, 41, 25, 0.07%, 0, 0, 2, 0.40, 706, 5829
AFLfast,xmllint,11,1031073, 0, 18, 42, 42, 25, 0.07%, 0, 0, 2, 0.38, 747, 5854
AFLfast,xmllint,11,1132544, 0, 18, 43, 43, 25, 0.07%, 0, 0, 2, 0.67, 789, 5872
AFLfast,xmllint,11,1235885, 0, 18, 44, 44, 25, 0.07%, 0, 0, 2, 0.40, 830, 5873
AFLfast,xmllint,11,1333761, 0, 18, 45, 45, 25, 0.07%, 0, 0, 2, 0.42, 871, 5922
AFLfast,xmllint,11,1392025, 0, 18, 46, 46, 25, 0.07%, 0, 0, 2, 0.71, 912, 5926
AFLfast,xmllint,11,1445074, 0, 18, 47, 47, 25, 0.07%, 0, 0, 2, 0.78, 953, 5928
AFLfast,xmllint,11,1494173, 0, 18, 48, 48, 25, 0.07%, 0, 0, 2, 3.94, 995, 5935
AFLfast,xmllint,11,1539632, 0, 18, 49, 49, 25, 0.07%, 0, 0, 2, 0.92, 1036, 5950
AFLfast,xmllint,11,1581650, 0, 18, 50, 50, 25, 0.07%, 0, 0, 2, 0.99, 1077, 5951
AFLfast,xmllint,11,1620788, 0, 18, 51, 51, 25, 0.07%, 0, 0, 2, 1.09, 1119, 5954
AFLfast,xmllint,11,1660192, 0, 18, 52, 52, 25, 0.07%, 0, 0, 2, 1.04, 1160, 5958
AFLfast,xmllint,11,1699291, 0, 18, 53, 53, 25, 0.07%, 0, 0, 2, 1.04, 1201, 5960
AFLfast,xmllint,11,1737550, 0, 18, 54, 54, 25, 0.07%, 0, 0, 2, 1.08, 1242, 5960
AFLfast,xmllint,11,1777722, 0, 18, 55, 55, 25, 0.07%, 0, 0, 2, 1.16, 1284, 5963
AFLfast,xmllint,11,1817176, 0, 18, 56, 56, 25, 0.07%, 0, 0, 2, 1.04, 1325, 5963
AFLfast,xmllint,11,1857157, 0, 18, 57, 57, 25, 0.07%, 0, 0, 2, 1.04, 1367, 5964
AFLfast,xmllint,11,1897247, 0, 18, 58, 58, 25, 0.07%, 0, 0, 2, 1.03, 1408, 5965
AFLfast,xmllint,11,1937575, 0, 18, 59, 59, 25, 0.07%, 0, 0, 2, 1.03, 1449, 5968
AFLfast,xmllint,11,1976404, 0, 18, 60, 60, 25, 0.07%, 0, 0, 2, 1.06, 1490, 5968
AFLfast,xmllint,11,2016685, 0, 18, 61, 61, 25, 0.07%, 0, 0, 2, 1.05, 1531, 5968
AFLfast,xmllint,11,2056596, 0, 18, 62, 62, 25, 0.07%, 0, 0, 2, 1.03, 1572, 5968
AFLfast,xmllint,11,2096304, 0, 18, 63, 63, 25, 0.07%, 0, 0, 2, 1.03, 1614, 5969
AFLfast,xmllint,11,2136917, 0, 18, 64, 64, 25, 0.07%, 0, 0, 2, 1.01, 1655, 5970
AFLfast,xmllint,11,2179004, 0, 18, 65, 65, 25, 0.07%, 0, 0, 2, 1.01, 1696, 5972
AFLfast,xmllint,11,2218674, 0, 18, 66, 66, 25, 0.07%, 0, 0, 2, 2.89, 1738, 5973
AFLfast,xmllint,11,2258535, 0, 18, 67, 67, 25, 0.07%, 0, 0, 2, 2.74, 1781, 5976
AFLfast,xmllint,11,2298625, 0, 18, 68, 68, 25, 0.07%, 0, 0, 2, 1.02, 1822, 5985
AFLfast,xmllint,11,2338798, 0, 18, 69, 69, 25, 0.07%, 0, 0, 2, 1.06, 1864, 5985
AFLfast,xmllint,11,2377917, 0, 18, 70, 70, 25, 0.07%, 0, 0, 2, 1.05, 1905, 5985
AFLfast,xmllint,11,2417613, 0, 18, 71, 71, 25, 0.07%, 0, 0, 2, 1.05, 1946, 5986
AFLfast,xmllint,11,2457226, 0, 18, 72, 72, 25, 0.07%, 0, 0, 2, 1.04, 1987, 5997
AFLfast,xmllint,11,2496662, 0, 18, 73, 73, 25, 0.07%, 0, 0, 2, 1.04, 2028, 6000
AFLfast,xmllint,11,2535884, 0, 18, 74, 74, 25, 0.07%, 0, 0, 2, 2.38, 2069, 6001
AFLfast,xmllint,11,2575113, 0, 18, 75, 75, 25, 0.07%, 0, 0, 2, 2.30, 2110, 6001
AFLfast,xmllint,11,2614793, 0, 18, 76, 76, 25, 0.07%, 0, 0, 2, 1.04, 2151, 6001
AFLfast,xmllint,11,2655145, 0, 18, 77, 77, 25, 0.07%, 0, 0, 2, 1.04, 2192, 6002
AFLfast,xmllint,11,2694268, 0, 18, 78, 78, 25, 0.07%, 0, 0, 2, 1.08, 2234, 6005
AFLfast,xmllint,11,2736268, 0, 18, 79, 79, 25, 0.07%, 0, 0, 2, 1.08, 2275, 6005
AFLfast,xmllint,11,2777000, 0, 18, 80, 80, 25, 0.07%, 0, 0, 2, 2.53, 2318, 6009
AFLfast,xmllint,11,2816572, 0, 18, 81, 81, 25, 0.07%, 0, 0, 2, 2.53, 2361, 6033
AFLfast,xmllint,11,2859497, 0, 18, 82, 82, 25, 0.07%, 0, 0, 2, 4.30, 2407, 6034
AFLfast,xmllint,11,2899502, 0, 18, 83, 83, 25, 0.07%, 0, 0, 2, 4.02, 2449, 6034
