alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmllint,5,142, 0, 0, 54833.33
AFLfast,xmllint,5,108703, 0, 0, 2.07
AFLfast,xmllint,5,161171, 0, 0, 0.78
AFLfast,xmllint,5,215273, 0, 0, 0.78
AFLfast,xmllint,5,269701, 0, 0, 0.76
AFLfast,xmllint,5,359879, 0, 0, 0.46
AFLfast,xmllint,5,464961, 0, 0, 0.40
AFLfast,xmllint,5,566716, 0, 0, 0.41
AFLfast,xmllint,5,666402, 0, 0, 0.42
AFLfast,xmllint,5,770656, 0, 0, 0.40
AFLfast,xmllint,5,873297, 0, 0, 0.41
AFLfast,xmllint,5,980311, 0, 0, 0.39
AFLfast,xmllint,5,1084404, 0, 0, 0.40
AFLfast,xmllint,5,1187274, 0, 0, 0.41
AFLfast,xmllint,5,1289770, 0, 0, 0.41
AFLfast,xmllint,5,1392751, 0, 0, 0.40
AFLfast,xmllint,5,1460301, 0, 0, 0.62
AFLfast,xmllint,5,1515686, 0, 0, 0.74
AFLfast,xmllint,5,1566055, 0, 0, 0.75
AFLfast,xmllint,5,1612453, 0, 0, 0.88
AFLfast,xmllint,5,1656356, 0, 0, 0.95
AFLfast,xmllint,5,1696080, 0, 0, 1.03
AFLfast,xmllint,5,1735569, 0, 0, 1.03
AFLfast,xmllint,5,1774887, 0, 0, 1.05
AFLfast,xmllint,5,1814823, 0, 0, 1.05
AFLfast,xmllint,5,1855250, 0, 0, 1.02
AFLfast,xmllint,5,1896383, 0, 0, 1.02
AFLfast,xmllint,5,1936214, 0, 0, 1.03
AFLfast,xmllint,5,1976729, 0, 0, 1.02
AFLfast,xmllint,5,2017616, 0, 0, 1.01
AFLfast,xmllint,5,2058834, 0, 0, 1.01
AFLfast,xmllint,5,2100036, 0, 0, 1.00
AFLfast,xmllint,5,2142766, 0, 0, 0.99
AFLfast,xmllint,5,2183966, 0, 0, 1.00
AFLfast,xmllint,5,2225502, 0, 0, 1.00
AFLfast,xmllint,5,2267845, 0, 0, 0.97
AFLfast,xmllint,5,2307804, 0, 0, 0.97
AFLfast,xmllint,5,2348308, 0, 0, 1.02
AFLfast,xmllint,5,2389155, 0, 0, 1.02
AFLfast,xmllint,5,2430733, 0, 0, 0.99
AFLfast,xmllint,5,2471488, 0, 0, 0.99
AFLfast,xmllint,5,2512382, 0, 0, 1.01
AFLfast,xmllint,5,2553463, 0, 0, 1.01
AFLfast,xmllint,5,2593349, 0, 0, 1.03
AFLfast,xmllint,5,2634557, 0, 0, 1.03
AFLfast,xmllint,5,2676163, 0, 0, 0.99
AFLfast,xmllint,5,2717427, 0, 0, 0.99
AFLfast,xmllint,5,2758550, 0, 0, 1.00
AFLfast,xmllint,5,2799736, 0, 0, 1.01
AFLfast,xmllint,5,2841485, 0, 0, 0.98
AFLfast,xmllint,5,2882218, 0, 0, 1.03
AFLfast,xmllint,5,2923370, 0, 0, 1.00
AFLfast,xmllint,5,2964631, 0, 0, 1.03
AFLfast,xmllint,5,3007114, 0, 0, 2.45
AFLfast,xmllint,5,3049339, 0, 0, 2.36
