alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,mp3gain,4,95133, 0, 0, 11.28
AFLfast,mp3gain,4,100377, 0, 0, 6.59
AFLfast,mp3gain,4,105466, 0, 0, 5.72
AFLfast,mp3gain,4,110879, 0, 0, 5.40
AFLfast,mp3gain,4,116118, 0, 0, 5.53
AFLfast,mp3gain,4,121396, 0, 0, 5.09
AFLfast,mp3gain,4,126492, 0, 0, 5.43
AFLfast,mp3gain,4,131892, 0, 0, 5.24
AFLfast,mp3gain,4,137027, 0, 0, 4.70
AFLfast,mp3gain,4,142295, 0, 0, 5.00
AFLfast,mp3gain,4,147285, 0, 0, 4.77
AFLfast,mp3gain,4,152168, 0, 0, 4.71
AFLfast,mp3gain,4,157367, 0, 0, 4.25
AFLfast,mp3gain,4,162282, 0, 0, 4.26
AFLfast,mp3gain,4,167425, 0, 0, 4.21
AFLfast,mp3gain,4,172686, 0, 0, 4.05
AFLfast,mp3gain,4,177722, 0, 0, 4.14
AFLfast,mp3gain,4,182777, 0, 0, 4.20
AFLfast,mp3gain,4,188281, 0, 0, 4.29
AFLfast,mp3gain,4,193329, 0, 0, 4.33
AFLfast,mp3gain,4,198410, 0, 0, 4.41
AFLfast,mp3gain,4,203775, 0, 0, 4.15
AFLfast,mp3gain,4,208845, 0, 0, 4.07
AFLfast,mp3gain,4,214060, 0, 0, 4.67
AFLfast,mp3gain,4,219125, 0, 0, 4.65
AFLfast,mp3gain,4,224610, 0, 0, 4.48
AFLfast,mp3gain,4,229761, 0, 0, 4.38
AFLfast,mp3gain,4,234786, 0, 0, 4.77
AFLfast,mp3gain,4,239997, 0, 0, 4.66
AFLfast,mp3gain,4,245251, 0, 0, 4.62
AFLfast,mp3gain,4,250710, 0, 0, 4.55
AFLfast,mp3gain,4,255627, 0, 0, 4.25
AFLfast,mp3gain,4,260692, 0, 0, 4.42
AFLfast,mp3gain,4,265947, 0, 0, 4.40
AFLfast,mp3gain,4,296465, 0, 0, 4.11
AFLfast,mp3gain,4,301366, 0, 0, 3.65
AFLfast,mp3gain,4,332127, 0, 0, 3.49
AFLfast,mp3gain,4,363932, 0, 0, 3.72
AFLfast,mp3gain,4,391405, 0, 0, 4.22
AFLfast,mp3gain,4,396249, 0, 0, 4.12
AFLfast,mp3gain,4,425069, 0, 0, 3.91
AFLfast,mp3gain,4,429688, 0, 0, 4.45
AFLfast,mp3gain,4,458809, 0, 0, 4.04
AFLfast,mp3gain,4,488433, 0, 0, 5.80
AFLfast,mp3gain,4,517541, 0, 0, 4.34
AFLfast,mp3gain,4,543792, 0, 0, 1.62
AFLfast,mp3gain,4,575231, 0, 0, 2.94
AFLfast,mp3gain,4,579774, 0, 0, 4.58
AFLfast,mp3gain,4,584929, 0, 0, 4.33
AFLfast,mp3gain,4,615769, 0, 0, 3.96
AFLfast,mp3gain,4,620910, 0, 0, 4.01
AFLfast,mp3gain,4,625999, 0, 0, 4.01
AFLfast,mp3gain,4,657597, 0, 0, 3.76
AFLfast,mp3gain,4,685648, 0, 0, 4.47
AFLfast,mp3gain,4,690978, 0, 0, 4.10
AFLfast,mp3gain,4,695994, 0, 0, 4.23
AFLfast,mp3gain,4,724289, 0, 0, 4.06
AFLfast,mp3gain,4,752507, 0, 0, 3.85
AFLfast,mp3gain,4,757817, 0, 0, 3.83
AFLfast,mp3gain,4,762983, 0, 0, 3.95
AFLfast,mp3gain,4,768183, 0, 0, 4.02
AFLfast,mp3gain,4,773302, 0, 0, 3.85
AFLfast,mp3gain,4,800585, 0, 0, 3.71
AFLfast,mp3gain,4,805389, 0, 0, 5.14
AFLfast,mp3gain,4,833188, 0, 0, 4.85
AFLfast,mp3gain,4,865041, 0, 0, 4.22
AFLfast,mp3gain,4,869857, 0, 0, 4.31
AFLfast,mp3gain,4,874894, 0, 0, 4.09
AFLfast,mp3gain,4,880119, 0, 0, 3.92
AFLfast,mp3gain,4,885045, 0, 0, 3.95
AFLfast,mp3gain,4,915662, 0, 0, 3.87
AFLfast,mp3gain,4,946707, 0, 0, 3.86
AFLfast,mp3gain,4,975207, 0, 0, 4.19
AFLfast,mp3gain,4,1002103, 0, 0, 4.23
AFLfast,mp3gain,4,1007186, 0, 0, 4.24
AFLfast,mp3gain,4,1034308, 0, 0, 4.06
AFLfast,mp3gain,4,1039107, 0, 0, 4.87
AFLfast,mp3gain,4,1044326, 0, 0, 4.29
AFLfast,mp3gain,4,1072594, 0, 0, 4.01
AFLfast,mp3gain,4,1102657, 0, 0, 5.73
AFLfast,mp3gain,4,1132136, 0, 0, 4.84
AFLfast,mp3gain,4,1159541, 0, 0, 4.71
AFLfast,mp3gain,4,1188468, 0, 0, 4.21
AFLfast,mp3gain,4,1193713, 0, 0, 4.03
AFLfast,mp3gain,4,1198745, 0, 0, 3.88
AFLfast,mp3gain,4,1230267, 0, 0, 3.68
AFLfast,mp3gain,4,1235399, 0, 0, 4.05
AFLfast,mp3gain,4,1266261, 0, 0, 3.84
AFLfast,mp3gain,4,1270979, 0, 0, 4.07
AFLfast,mp3gain,4,1297612, 0, 0, 3.92
AFLfast,mp3gain,4,1302802, 0, 0, 4.06
AFLfast,mp3gain,4,1308076, 0, 0, 3.89
AFLfast,mp3gain,4,1336083, 0, 0, 3.96
AFLfast,mp3gain,4,1340866, 0, 0, 4.10
AFLfast,mp3gain,4,1346182, 0, 0, 3.85
AFLfast,mp3gain,4,1351398, 0, 0, 3.97
AFLfast,mp3gain,4,1380413, 0, 0, 3.95
AFLfast,mp3gain,4,1385590, 0, 0, 3.97
AFLfast,mp3gain,4,1390634, 0, 0, 4.19
AFLfast,mp3gain,4,1421334, 0, 0, 3.91
AFLfast,mp3gain,4,1449715, 0, 0, 4.31
AFLfast,mp3gain,4,1454727, 0, 0, 4.04
AFLfast,mp3gain,4,1482761, 0, 0, 3.73
AFLfast,mp3gain,4,1487324, 0, 0, 4.13
AFLfast,mp3gain,4,1516089, 0, 0, 3.89
AFLfast,mp3gain,4,1545809, 0, 0, 4.47
AFLfast,mp3gain,4,1550550, 0, 0, 4.50
AFLfast,mp3gain,4,1555642, 0, 0, 4.29
AFLfast,mp3gain,4,1582365, 0, 0, 4.11
AFLfast,mp3gain,4,1587402, 0, 0, 4.22
AFLfast,mp3gain,4,1615985, 0, 0, 3.87
AFLfast,mp3gain,4,1642517, 0, 0, 1.56
AFLfast,mp3gain,4,1673056, 0, 0, 3.01
AFLfast,mp3gain,4,1701328, 0, 0, 3.11
AFLfast,mp3gain,4,1705890, 0, 0, 3.66
AFLfast,mp3gain,4,1711185, 0, 0, 3.89
