alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,mp3gain,9,111371, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 9.65, 1234, 1834
AFLfast,mp3gain,9,116522, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 5.90, 1257, 1834
AFLfast,mp3gain,9,121711, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 5.03, 1282, 1834
AFLfast,mp3gain,9,127032, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.53, 1305, 1834
AFLfast,mp3gain,9,132118, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.71, 1330, 1834
AFLfast,mp3gain,9,137269, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.53, 1354, 1834
AFLfast,mp3gain,9,142432, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.59, 1378, 1834
AFLfast,mp3gain,9,147363, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.37, 1400, 1834
AFLfast,mp3gain,9,152738, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.46, 1426, 1834
AFLfast,mp3gain,9,157957, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.54, 1450, 1834
AFLfast,mp3gain,9,163029, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.51, 1473, 1834
AFLfast,mp3gain,9,168287, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.67, 1499, 1834
AFLfast,mp3gain,9,173326, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.63, 1523, 1834
AFLfast,mp3gain,9,178512, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.63, 1548, 1834
AFLfast,mp3gain,9,183555, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.54, 1571, 1834
AFLfast,mp3gain,9,188877, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.59, 1595, 1834
AFLfast,mp3gain,9,194170, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.41, 1618, 1834
AFLfast,mp3gain,9,199221, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.49, 1642, 1834
AFLfast,mp3gain,9,204293, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.54, 1666, 1834
AFLfast,mp3gain,9,209322, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.71, 1690, 1834
AFLfast,mp3gain,9,214502, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.69, 1715, 1834
AFLfast,mp3gain,9,219990, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.57, 1739, 1834
AFLfast,mp3gain,9,224920, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.54, 1762, 1834
AFLfast,mp3gain,9,230114, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.33, 1784, 1834
AFLfast,mp3gain,9,235261, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.40, 1808, 1834
AFLfast,mp3gain,9,240302, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.66, 1833, 1834
AFLfast,mp3gain,9,245372, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.85, 1859, 1834
AFLfast,mp3gain,9,250567, 0, 18, 20, 14, 13, 0.02%, 0, 0, 1, 4.60, 1882, 1834
