alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,pcre2grep,6,276, 0, 0, 7, 1, 1, 0.00%, 0, 0, 1, 5700.00, 57, 287
AFLfast,pcre2grep,6,5372, 0, 0, 7, 1, 1, 0.00%, 0, 0, 1, 3.56, 76, 287
AFLfast,pcre2grep,6,10316, 0, 0, 7, 1, 1, 0.00%, 0, 0, 1, 3.57, 94, 287
AFLfast,pcre2grep,6,15611, 0, 0, 7, 1, 1, 0.00%, 0, 0, 1, 3.51, 112, 287
AFLfast,pcre2grep,6,20808, 0, 0, 7, 1, 1, 0.00%, 0, 0, 1, 3.52, 130, 287
AFLfast,pcre2grep,6,25902, 0, 0, 7, 1, 1, 0.00%, 0, 0, 1, 3.47, 148, 287
AFLfast,pcre2grep,6,31168, 0, 0, 7, 1, 1, 0.00%, 0, 0, 1, 3.53, 166, 287
AFLfast,pcre2grep,6,36518, 0, 0, 7, 1, 1, 0.00%, 0, 0, 1, 3.38, 184, 287
AFLfast,pcre2grep,6,41724, 0, 0, 7, 1, 1, 0.00%, 0, 0, 1, 3.33, 201, 287
AFLfast,pcre2grep,6,47012, 0, 0, 7, 1, 1, 0.00%, 0, 0, 1, 3.48, 220, 287
AFLfast,pcre2grep,6,51830, 0, 0, 7, 1, 1, 0.00%, 0, 0, 1, 3.57, 238, 287
AFLfast,pcre2grep,6,57035, 0, 0, 7, 1, 1, 0.00%, 0, 0, 1, 3.49, 256, 287
AFLfast,pcre2grep,6,62182, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.47, 273, 287
AFLfast,pcre2grep,6,67692, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.42, 291, 287
AFLfast,pcre2grep,6,72968, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.26, 307, 287
AFLfast,pcre2grep,6,78188, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.40, 325, 287
AFLfast,pcre2grep,6,83308, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.35, 342, 287
AFLfast,pcre2grep,6,88332, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.38, 359, 287
AFLfast,pcre2grep,6,93353, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.36, 376, 287
AFLfast,pcre2grep,6,98424, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.37, 393, 287
AFLfast,pcre2grep,6,103561, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.49, 412, 287
AFLfast,pcre2grep,6,108960, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.43, 430, 287
AFLfast,pcre2grep,6,114025, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.40, 448, 287
AFLfast,pcre2grep,6,119209, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.44, 466, 287
AFLfast,pcre2grep,6,124669, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.39, 484, 287
AFLfast,pcre2grep,6,129784, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.47, 502, 287
AFLfast,pcre2grep,6,135076, 0, 0, 7, 0, 0, 0.00%, 0, 0, 1, 3.56, 521, 287
