alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pcre2grep,8,318, 0, 0, 4750.00
AFLfast,pcre2grep,8,5224, 0, 0, 4.60
AFLfast,pcre2grep,8,10342, 0, 0, 3.65
AFLfast,pcre2grep,8,15651, 0, 0, 3.31
AFLfast,pcre2grep,8,20711, 0, 0, 3.10
AFLfast,pcre2grep,8,25831, 0, 0, 3.00
AFLfast,pcre2grep,8,31031, 0, 0, 2.94
AFLfast,pcre2grep,8,36068, 0, 0, 2.87
AFLfast,pcre2grep,8,41075, 0, 0, 2.86
AFLfast,pcre2grep,8,46165, 0, 0, 2.93
AFLfast,pcre2grep,8,51356, 0, 0, 2.90
AFLfast,pcre2grep,8,56563, 0, 0, 2.90
AFLfast,pcre2grep,8,61448, 0, 0, 2.93
AFLfast,pcre2grep,8,66736, 0, 0, 2.93
AFLfast,pcre2grep,8,71915, 0, 0, 2.92
AFLfast,pcre2grep,8,77088, 0, 0, 2.86
AFLfast,pcre2grep,8,82143, 0, 0, 2.93
AFLfast,pcre2grep,8,87248, 0, 0, 3.03
AFLfast,pcre2grep,8,92520, 0, 0, 2.98
AFLfast,pcre2grep,8,97512, 0, 0, 2.95
AFLfast,pcre2grep,8,102851, 0, 0, 2.94
AFLfast,pcre2grep,8,108007, 0, 0, 2.93
AFLfast,pcre2grep,8,113043, 0, 0, 2.94
AFLfast,pcre2grep,8,118217, 0, 0, 2.97
AFLfast,pcre2grep,8,123263, 0, 0, 2.87
AFLfast,pcre2grep,8,128319, 0, 0, 2.95
AFLfast,pcre2grep,8,133595, 0, 0, 2.97
AFLfast,pcre2grep,8,138596, 0, 0, 2.93
AFLfast,pcre2grep,8,143871, 0, 0, 2.94
AFLfast,pcre2grep,8,148971, 0, 0, 2.93
AFLfast,pcre2grep,8,154127, 0, 0, 2.92
AFLfast,pcre2grep,8,159216, 0, 0, 2.92
AFLfast,pcre2grep,8,164475, 0, 0, 2.94
AFLfast,pcre2grep,8,169652, 0, 0, 2.96
AFLfast,pcre2grep,8,174788, 0, 0, 2.95
AFLfast,pcre2grep,8,179855, 0, 0, 3.08
AFLfast,pcre2grep,8,184984, 0, 0, 3.01
AFLfast,pcre2grep,8,189998, 0, 0, 3.00
AFLfast,pcre2grep,8,195039, 0, 0, 3.01
AFLfast,pcre2grep,8,200371, 0, 0, 3.01
AFLfast,pcre2grep,8,205368, 0, 0, 2.96
AFLfast,pcre2grep,8,210511, 0, 0, 2.93
AFLfast,pcre2grep,8,215775, 0, 0, 2.97
AFLfast,pcre2grep,8,220768, 0, 0, 2.99
AFLfast,pcre2grep,8,226023, 0, 0, 3.09
AFLfast,pcre2grep,8,231291, 0, 0, 3.08
AFLfast,pcre2grep,8,236291, 0, 0, 3.00
AFLfast,pcre2grep,8,241371, 0, 0, 2.99
AFLfast,pcre2grep,8,246708, 0, 0, 3.01
AFLfast,pcre2grep,8,251764, 0, 0, 3.06
AFLfast,pcre2grep,8,256969, 0, 0, 3.16
AFLfast,pcre2grep,8,262128, 0, 0, 3.00
AFLfast,pcre2grep,8,267379, 0, 0, 2.92
AFLfast,pcre2grep,8,272856, 0, 0, 2.89
AFLfast,pcre2grep,8,277760, 0, 0, 2.96
AFLfast,pcre2grep,8,283336, 0, 0, 2.89
AFLfast,pcre2grep,8,288639, 0, 0, 3.09
AFLfast,pcre2grep,8,293944, 0, 0, 3.07
AFLfast,pcre2grep,8,299084, 0, 0, 2.99
AFLfast,pcre2grep,8,303957, 0, 0, 3.01
AFLfast,pcre2grep,8,309156, 0, 0, 2.94
AFLfast,pcre2grep,8,314663, 0, 0, 3.00
AFLfast,pcre2grep,8,319620, 0, 0, 2.96
AFLfast,pcre2grep,8,324952, 0, 0, 2.93
AFLfast,pcre2grep,8,330008, 0, 0, 2.94
AFLfast,pcre2grep,8,335060, 0, 0, 3.06
AFLfast,pcre2grep,8,340271, 0, 0, 3.01
AFLfast,pcre2grep,8,345250, 0, 0, 2.96
AFLfast,pcre2grep,8,350460, 0, 0, 3.01
AFLfast,pcre2grep,8,355543, 0, 0, 3.00
AFLfast,pcre2grep,8,360703, 0, 0, 2.98
AFLfast,pcre2grep,8,365843, 0, 0, 2.93
AFLfast,pcre2grep,8,370724, 0, 0, 2.96
AFLfast,pcre2grep,8,375882, 0, 0, 2.93
AFLfast,pcre2grep,8,381168, 0, 0, 3.03
AFLfast,pcre2grep,8,386403, 0, 0, 2.99
AFLfast,pcre2grep,8,391439, 0, 0, 2.97
AFLfast,pcre2grep,8,396671, 0, 0, 2.97
AFLfast,pcre2grep,8,401520, 0, 0, 2.88
AFLfast,pcre2grep,8,406678, 0, 0, 2.90
AFLfast,pcre2grep,8,412147, 0, 0, 2.95
AFLfast,pcre2grep,8,417359, 0, 0, 2.93
AFLfast,pcre2grep,8,422440, 0, 0, 2.98
AFLfast,pcre2grep,8,427512, 0, 0, 3.00
AFLfast,pcre2grep,8,432825, 0, 0, 3.01
AFLfast,pcre2grep,8,438087, 0, 0, 3.04
AFLfast,pcre2grep,8,443268, 0, 0, 3.06
AFLfast,pcre2grep,8,448432, 0, 0, 2.98
