alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,pcre2test,11,36815, 0, 2, 6, 2, 1, 0.00%, 0, 0, 2, 4.81, 102, 135
AFLfast,pcre2test,11,71964, 0, 2, 7, 3, 1, 0.00%, 0, 0, 2, 2.51, 150, 151
AFLfast,pcre2test,11,104113, 0, 2, 8, 4, 1, 0.00%, 0, 0, 2, 1.29, 191, 154
AFLfast,pcre2test,11,139340, 0, 2, 9, 5, 1, 0.00%, 0, 0, 2, 2.62, 241, 157
AFLfast,pcre2test,11,172036, 0, 2, 10, 6, 1, 0.00%, 0, 0, 2, 4.21, 284, 192
AFLfast,pcre2test,11,177379, 0, 2, 10, 6, 1, 0.00%, 0, 0, 2, 3.62, 300, 192
AFLfast,pcre2test,11,182519, 0, 2, 10, 6, 1, 0.00%, 0, 0, 2, 3.19, 314, 192
AFLfast,pcre2test,11,187557, 0, 2, 10, 6, 1, 0.00%, 0, 0, 2, 2.86, 327, 192
AFLfast,pcre2test,11,225010, 0, 2, 11, 7, 1, 0.00%, 0, 0, 2, 2.67, 380, 200
AFLfast,pcre2test,11,256660, 0, 2, 12, 8, 1, 0.00%, 0, 0, 2, 1.33, 422, 200
AFLfast,pcre2test,11,290855, 0, 2, 13, 9, 1, 0.00%, 0, 0, 2, 5.32, 471, 210
AFLfast,pcre2test,11,325444, 0, 2, 14, 10, 1, 0.00%, 0, 0, 2, 5.33, 522, 212
AFLfast,pcre2test,11,330791, 0, 2, 14, 10, 1, 0.00%, 0, 0, 2, 3.17, 535, 212
AFLfast,pcre2test,11,363687, 0, 2, 15, 11, 1, 0.00%, 0, 0, 2, 2.93, 579, 212
AFLfast,pcre2test,11,368462, 0, 2, 15, 11, 1, 0.00%, 0, 0, 2, 2.91, 592, 212
AFLfast,pcre2test,11,403989, 0, 2, 16, 12, 1, 0.01%, 0, 0, 2, 2.88, 645, 439
AFLfast,pcre2test,11,436300, 0, 2, 17, 13, 1, 0.01%, 0, 0, 2, 2.92, 691, 441
AFLfast,pcre2test,11,440842, 0, 2, 17, 13, 1, 0.01%, 0, 0, 2, 4.90, 705, 441
AFLfast,pcre2test,11,446206, 0, 2, 17, 13, 1, 0.01%, 0, 0, 2, 3.80, 721, 441
AFLfast,pcre2test,11,477396, 0, 2, 18, 14, 1, 0.01%, 0, 0, 2, 3.52, 764, 447
AFLfast,pcre2test,11,482326, 0, 2, 18, 14, 1, 0.01%, 0, 0, 2, 3.15, 778, 447
AFLfast,pcre2test,11,487800, 0, 2, 18, 14, 1, 0.01%, 0, 0, 2, 2.81, 792, 447
AFLfast,pcre2test,11,519686, 0, 2, 19, 15, 1, 0.01%, 0, 0, 2, 2.71, 836, 449
AFLfast,pcre2test,11,553935, 0, 2, 20, 16, 1, 0.01%, 0, 0, 2, 2.65, 889, 449
AFLfast,pcre2test,11,584669, 0, 2, 21, 17, 1, 0.01%, 0, 0, 2, 2.57, 930, 449
AFLfast,pcre2test,11,615390, 0, 2, 22, 18, 1, 0.01%, 0, 0, 2, 1.35, 971, 459
AFLfast,pcre2test,11,646415, 0, 2, 23, 19, 1, 0.01%, 0, 0, 2, 1.34, 1012, 459
AFLfast,pcre2test,11,651392, 0, 2, 23, 19, 1, 0.01%, 0, 0, 2, 2.80, 1025, 459
AFLfast,pcre2test,11,656646, 0, 2, 23, 19, 1, 0.01%, 0, 0, 2, 2.80, 1039, 459
AFLfast,pcre2test,11,662037, 0, 2, 23, 19, 1, 0.01%, 0, 0, 2, 2.68, 1053, 459
AFLfast,pcre2test,11,694491, 0, 2, 24, 20, 1, 0.01%, 0, 0, 2, 2.65, 1098, 469
AFLfast,pcre2test,11,726612, 0, 2, 25, 21, 1, 0.01%, 0, 0, 2, 2.94, 1143, 470
AFLfast,pcre2test,11,759505, 0, 2, 26, 22, 1, 0.01%, 0, 0, 2, 3.16, 1191, 470
AFLfast,pcre2test,11,764704, 0, 2, 26, 22, 1, 0.01%, 0, 0, 2, 3.26, 1206, 470
AFLfast,pcre2test,11,793250, 0, 2, 27, 23, 1, 0.01%, 0, 0, 2, 3.14, 1247, 485
