alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pcre2test,2,133, 0, 0, 731.34
AFLfast,pcre2test,2,9453, 0, 0, 10.95
AFLfast,pcre2test,2,14905, 0, 0, 12.94
AFLfast,pcre2test,2,21812, 0, 0, 15.54
AFLfast,pcre2test,2,26798, 0, 0, 18.21
AFLfast,pcre2test,2,36004, 0, 0, 17.47
AFLfast,pcre2test,2,51411, 0, 0, 15.77
AFLfast,pcre2test,2,56595, 0, 0, 14.41
AFLfast,pcre2test,2,65837, 0, 0, 11.51
AFLfast,pcre2test,2,80877, 0, 0, 8.05
AFLfast,pcre2test,2,94422, 0, 0, 7.52
AFLfast,pcre2test,2,99748, 0, 0, 7.72
AFLfast,pcre2test,2,109151, 0, 0, 6.31
AFLfast,pcre2test,2,122106, 0, 0, 6.24
AFLfast,pcre2test,2,127891, 0, 0, 5.60
AFLfast,pcre2test,2,132819, 0, 0, 8.04
AFLfast,pcre2test,2,151548, 0, 0, 7.30
AFLfast,pcre2test,2,156679, 0, 0, 7.01
AFLfast,pcre2test,2,174301, 0, 0, 7.62
AFLfast,pcre2test,2,179344, 0, 0, 7.32
AFLfast,pcre2test,2,184346, 0, 0, 6.80
AFLfast,pcre2test,2,202845, 0, 0, 6.25
AFLfast,pcre2test,2,220231, 0, 0, 5.08
AFLfast,pcre2test,2,225396, 0, 0, 6.91
AFLfast,pcre2test,2,230438, 0, 0, 6.05
AFLfast,pcre2test,2,235436, 0, 0, 7.01
AFLfast,pcre2test,2,243224, 0, 0, 6.68
AFLfast,pcre2test,2,263239, 0, 0, 6.47
AFLfast,pcre2test,2,268455, 0, 0, 7.62
AFLfast,pcre2test,2,273549, 0, 0, 7.26
AFLfast,pcre2test,2,290870, 0, 0, 7.01
AFLfast,pcre2test,2,309535, 0, 0, 6.79
AFLfast,pcre2test,2,317834, 0, 0, 6.98
AFLfast,pcre2test,2,324023, 0, 0, 6.50
AFLfast,pcre2test,2,328986, 0, 0, 7.52
AFLfast,pcre2test,2,334340, 0, 0, 7.14
AFLfast,pcre2test,2,345186, 0, 0, 6.69
AFLfast,pcre2test,2,350405, 0, 0, 6.61
AFLfast,pcre2test,2,355607, 0, 0, 7.42
AFLfast,pcre2test,2,360846, 0, 0, 7.18
AFLfast,pcre2test,2,379937, 0, 0, 6.55
AFLfast,pcre2test,2,386775, 0, 0, 6.04
AFLfast,pcre2test,2,391760, 0, 0, 6.56
AFLfast,pcre2test,2,396767, 0, 0, 6.63
AFLfast,pcre2test,2,401719, 0, 0, 6.97
AFLfast,pcre2test,2,406848, 0, 0, 6.42
AFLfast,pcre2test,2,411938, 0, 0, 7.36
AFLfast,pcre2test,2,417149, 0, 0, 6.83
AFLfast,pcre2test,2,432807, 0, 0, 6.33
AFLfast,pcre2test,2,438057, 0, 0, 6.06
AFLfast,pcre2test,2,443062, 0, 0, 7.14
AFLfast,pcre2test,2,448265, 0, 0, 7.13
AFLfast,pcre2test,2,453307, 0, 0, 6.85
AFLfast,pcre2test,2,458479, 0, 0, 6.68
AFLfast,pcre2test,2,463884, 0, 0, 6.43
AFLfast,pcre2test,2,468936, 0, 0, 6.17
AFLfast,pcre2test,2,474069, 0, 0, 6.34
AFLfast,pcre2test,2,483266, 0, 0, 6.12
AFLfast,pcre2test,2,490301, 0, 0, 6.65
AFLfast,pcre2test,2,500989, 0, 0, 6.49
AFLfast,pcre2test,2,510767, 0, 0, 6.29
AFLfast,pcre2test,2,515640, 0, 0, 8.54
AFLfast,pcre2test,2,520825, 0, 0, 7.73
AFLfast,pcre2test,2,528930, 0, 0, 6.80
AFLfast,pcre2test,2,534199, 0, 0, 6.50
AFLfast,pcre2test,2,539426, 0, 0, 6.17
AFLfast,pcre2test,2,544477, 0, 0, 7.18
AFLfast,pcre2test,2,549673, 0, 0, 6.34
AFLfast,pcre2test,2,554830, 0, 0, 6.11
AFLfast,pcre2test,2,559906, 0, 0, 6.24
AFLfast,pcre2test,2,575252, 0, 0, 6.49
AFLfast,pcre2test,2,580175, 0, 0, 4.72
AFLfast,pcre2test,2,585566, 0, 0, 6.31
AFLfast,pcre2test,2,590639, 0, 0, 6.53
AFLfast,pcre2test,2,595789, 0, 0, 6.91
AFLfast,pcre2test,2,601020, 0, 0, 6.88
AFLfast,pcre2test,2,606090, 0, 0, 6.65
AFLfast,pcre2test,2,611352, 0, 0, 6.66
AFLfast,pcre2test,2,616355, 0, 0, 7.00
AFLfast,pcre2test,2,621505, 0, 0, 6.78
AFLfast,pcre2test,2,626646, 0, 0, 6.45
AFLfast,pcre2test,2,642518, 0, 0, 6.68
AFLfast,pcre2test,2,647524, 0, 0, 8.36
AFLfast,pcre2test,2,652586, 0, 0, 7.53
AFLfast,pcre2test,2,657595, 0, 0, 6.30
AFLfast,pcre2test,2,662694, 0, 0, 6.53
AFLfast,pcre2test,2,671014, 0, 0, 5.85
AFLfast,pcre2test,2,678486, 0, 0, 5.95
AFLfast,pcre2test,2,683618, 0, 0, 6.90
AFLfast,pcre2test,2,688655, 0, 0, 6.75
AFLfast,pcre2test,2,693833, 0, 0, 6.83
AFLfast,pcre2test,2,699142, 0, 0, 6.48
AFLfast,pcre2test,2,704356, 0, 0, 6.57
AFLfast,pcre2test,2,709331, 0, 0, 6.96
AFLfast,pcre2test,2,714650, 0, 0, 6.54
AFLfast,pcre2test,2,724102, 0, 0, 6.45
