alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,sqlite3,14,321, 0, 2, 10, 2, 2, 0.02%, 0, 0, 1, 13500.00, 81, 1396
AFLfast,sqlite3,14,26110, 0, 2, 11, 3, 2, 0.02%, 0, 0, 2, 5.18, 135, 1400
AFLfast,sqlite3,14,53247, 0, 2, 12, 4, 2, 0.02%, 0, 0, 2, 4.23, 182, 1403
AFLfast,sqlite3,14,58288, 0, 2, 12, 4, 2, 0.02%, 0, 0, 2, 3.89, 201, 1403
AFLfast,sqlite3,14,63427, 0, 2, 12, 4, 2, 0.02%, 0, 0, 2, 3.72, 218, 1403
AFLfast,sqlite3,14,68813, 0, 2, 12, 4, 2, 0.02%, 0, 0, 2, 3.72, 238, 1403
AFLfast,sqlite3,14,73894, 0, 2, 12, 4, 2, 0.02%, 0, 0, 2, 3.76, 257, 1403
AFLfast,sqlite3,14,97395, 0, 2, 13, 5, 2, 0.02%, 0, 0, 2, 3.64, 298, 1406
AFLfast,sqlite3,14,102525, 0, 2, 13, 5, 2, 0.02%, 0, 0, 2, 3.72, 317, 1406
AFLfast,sqlite3,14,107618, 0, 2, 13, 5, 2, 0.02%, 0, 0, 2, 3.69, 335, 1406
AFLfast,sqlite3,14,131566, 0, 2, 14, 6, 2, 0.02%, 0, 0, 2, 3.48, 378, 1408
AFLfast,sqlite3,14,136289, 0, 2, 14, 6, 2, 0.02%, 0, 0, 2, 4.03, 395, 1408
AFLfast,sqlite3,14,141630, 0, 2, 14, 6, 2, 0.02%, 0, 0, 2, 3.78, 414, 1408
AFLfast,sqlite3,14,146716, 0, 2, 14, 6, 2, 0.02%, 0, 0, 2, 3.67, 432, 1408
AFLfast,sqlite3,14,151934, 0, 2, 14, 6, 2, 0.02%, 0, 0, 2, 3.72, 450, 1408
AFLfast,sqlite3,14,156825, 0, 2, 14, 6, 2, 0.02%, 0, 0, 2, 3.71, 468, 1408
AFLfast,sqlite3,14,162052, 0, 2, 14, 6, 2, 0.02%, 0, 0, 2, 3.65, 486, 1408
AFLfast,sqlite3,14,167195, 0, 2, 14, 6, 2, 0.02%, 0, 0, 2, 3.71, 504, 1408
AFLfast,sqlite3,14,172029, 0, 2, 14, 6, 2, 0.02%, 0, 0, 2, 3.69, 522, 1408
AFLfast,sqlite3,14,177101, 0, 2, 14, 6, 2, 0.02%, 0, 0, 2, 3.70, 540, 1408
AFLfast,sqlite3,14,182260, 0, 2, 14, 6, 2, 0.02%, 0, 0, 2, 3.80, 559, 1408
AFLfast,sqlite3,14,187352, 0, 2, 14, 6, 2, 0.02%, 0, 0, 2, 3.68, 577, 1408
AFLfast,sqlite3,14,214721, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.57, 633, 1416
AFLfast,sqlite3,14,220024, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.79, 653, 1416
AFLfast,sqlite3,14,224953, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.76, 671, 1416
AFLfast,sqlite3,14,230005, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.74, 689, 1416
AFLfast,sqlite3,14,235307, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.69, 707, 1416
AFLfast,sqlite3,14,240165, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.75, 725, 1416
AFLfast,sqlite3,14,245472, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.64, 743, 1416
AFLfast,sqlite3,14,250478, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.79, 762, 1416
AFLfast,sqlite3,14,255807, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.65, 779, 1416
AFLfast,sqlite3,14,260725, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.68, 797, 1416
AFLfast,sqlite3,14,265777, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.68, 815, 1416
AFLfast,sqlite3,14,270818, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.57, 832, 1416
AFLfast,sqlite3,14,275901, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.63, 850, 1416
AFLfast,sqlite3,14,281010, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.64, 868, 1416
AFLfast,sqlite3,14,286066, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.74, 886, 1416
AFLfast,sqlite3,14,291188, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.63, 903, 1416
AFLfast,sqlite3,14,296244, 0, 2, 15, 7, 2, 0.02%, 0, 0, 2, 3.68, 922, 1416
