alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,sqlite3,7,191, 0, 0, 17800.00
AFLfast,sqlite3,7,5399, 0, 0, 7.27
AFLfast,sqlite3,7,29665, 0, 0, 5.62
AFLfast,sqlite3,7,34867, 0, 0, 5.18
AFLfast,sqlite3,7,39956, 0, 0, 4.37
AFLfast,sqlite3,7,44961, 0, 0, 4.57
AFLfast,sqlite3,7,50093, 0, 0, 4.24
AFLfast,sqlite3,7,55595, 0, 0, 4.13
AFLfast,sqlite3,7,60766, 0, 0, 3.93
AFLfast,sqlite3,7,65864, 0, 0, 4.06
AFLfast,sqlite3,7,71193, 0, 0, 4.06
AFLfast,sqlite3,7,76396, 0, 0, 3.87
AFLfast,sqlite3,7,100029, 0, 0, 3.85
AFLfast,sqlite3,7,105415, 0, 0, 3.61
AFLfast,sqlite3,7,131687, 0, 0, 3.39
AFLfast,sqlite3,7,136644, 0, 0, 3.71
AFLfast,sqlite3,7,141828, 0, 0, 3.62
AFLfast,sqlite3,7,147094, 0, 0, 3.43
AFLfast,sqlite3,7,152197, 0, 0, 3.44
AFLfast,sqlite3,7,157525, 0, 0, 3.08
AFLfast,sqlite3,7,162629, 0, 0, 3.24
AFLfast,sqlite3,7,167791, 0, 0, 3.53
AFLfast,sqlite3,7,172794, 0, 0, 3.76
AFLfast,sqlite3,7,177913, 0, 0, 3.70
AFLfast,sqlite3,7,183243, 0, 0, 3.62
AFLfast,sqlite3,7,188369, 0, 0, 3.67
AFLfast,sqlite3,7,193672, 0, 0, 3.74
AFLfast,sqlite3,7,198586, 0, 0, 3.75
AFLfast,sqlite3,7,203746, 0, 0, 3.73
AFLfast,sqlite3,7,208910, 0, 0, 3.61
AFLfast,sqlite3,7,214033, 0, 0, 3.66
AFLfast,sqlite3,7,219057, 0, 0, 3.81
AFLfast,sqlite3,7,243305, 0, 0, 3.62
AFLfast,sqlite3,7,248477, 0, 0, 3.70
AFLfast,sqlite3,7,253904, 0, 0, 3.61
AFLfast,sqlite3,7,259049, 0, 0, 3.75
AFLfast,sqlite3,7,264050, 0, 0, 3.78
AFLfast,sqlite3,7,269149, 0, 0, 3.70
AFLfast,sqlite3,7,274504, 0, 0, 3.61
AFLfast,sqlite3,7,279643, 0, 0, 3.62
AFLfast,sqlite3,7,284735, 0, 0, 3.62
AFLfast,sqlite3,7,289645, 0, 0, 3.72
AFLfast,sqlite3,7,294764, 0, 0, 3.56
AFLfast,sqlite3,7,300168, 0, 0, 3.69
AFLfast,sqlite3,7,305587, 0, 0, 3.71
AFLfast,sqlite3,7,310606, 0, 0, 3.71
AFLfast,sqlite3,7,315999, 0, 0, 3.61
AFLfast,sqlite3,7,321061, 0, 0, 3.73
AFLfast,sqlite3,7,326137, 0, 0, 3.74
AFLfast,sqlite3,7,331419, 0, 0, 3.65
AFLfast,sqlite3,7,336430, 0, 0, 3.65
AFLfast,sqlite3,7,341473, 0, 0, 3.68
AFLfast,sqlite3,7,346577, 0, 0, 3.67
AFLfast,sqlite3,7,351666, 0, 0, 3.72
AFLfast,sqlite3,7,356914, 0, 0, 3.58
AFLfast,sqlite3,7,362000, 0, 0, 3.65
AFLfast,sqlite3,7,367012, 0, 0, 3.71
AFLfast,sqlite3,7,372188, 0, 0, 3.66
AFLfast,sqlite3,7,377312, 0, 0, 3.66
AFLfast,sqlite3,7,382269, 0, 0, 3.68
AFLfast,sqlite3,7,387481, 0, 0, 3.71
AFLfast,sqlite3,7,392699, 0, 0, 3.64
AFLfast,sqlite3,7,397864, 0, 0, 3.59
AFLfast,sqlite3,7,403219, 0, 0, 3.67
AFLfast,sqlite3,7,408520, 0, 0, 3.64
AFLfast,sqlite3,7,413493, 0, 0, 3.74
AFLfast,sqlite3,7,418744, 0, 0, 3.63
AFLfast,sqlite3,7,423830, 0, 0, 3.76
AFLfast,sqlite3,7,428977, 0, 0, 3.67
AFLfast,sqlite3,7,434070, 0, 0, 3.80
AFLfast,sqlite3,7,439166, 0, 0, 3.74
AFLfast,sqlite3,7,462673, 0, 0, 3.58
AFLfast,sqlite3,7,467827, 0, 0, 3.62
AFLfast,sqlite3,7,472931, 0, 0, 3.70
AFLfast,sqlite3,7,477906, 0, 0, 3.67
AFLfast,sqlite3,7,483028, 0, 0, 3.63
AFLfast,sqlite3,7,488218, 0, 0, 3.80
AFLfast,sqlite3,7,493321, 0, 0, 3.68
AFLfast,sqlite3,7,498493, 0, 0, 3.76
AFLfast,sqlite3,7,503636, 0, 0, 3.73
AFLfast,sqlite3,7,508697, 0, 0, 3.72
AFLfast,sqlite3,7,513713, 0, 0, 3.72
AFLfast,sqlite3,7,518894, 0, 0, 3.64
AFLfast,sqlite3,7,523921, 0, 0, 3.66
AFLfast,sqlite3,7,529123, 0, 0, 3.70
AFLfast,sqlite3,7,534258, 0, 0, 3.73
AFLfast,sqlite3,7,539286, 0, 0, 3.73
AFLfast,sqlite3,7,544707, 0, 0, 3.59
AFLfast,sqlite3,7,549706, 0, 0, 3.72
AFLfast,sqlite3,7,554886, 0, 0, 3.67
AFLfast,sqlite3,7,560267, 0, 0, 3.58
AFLfast,sqlite3,7,584382, 0, 0, 3.47
AFLfast,sqlite3,7,589456, 0, 0, 3.68
AFLfast,sqlite3,7,594549, 0, 0, 3.70
AFLfast,sqlite3,7,599605, 0, 0, 3.71
AFLfast,sqlite3,7,604877, 0, 0, 3.57
AFLfast,sqlite3,7,610183, 0, 0, 3.53
AFLfast,sqlite3,7,615488, 0, 0, 3.57
AFLfast,sqlite3,7,620717, 0, 0, 3.61
AFLfast,sqlite3,7,625798, 0, 0, 3.63
AFLfast,sqlite3,7,630813, 0, 0, 3.74
AFLfast,sqlite3,7,635830, 0, 0, 3.72
AFLfast,sqlite3,7,641115, 0, 0, 3.64
AFLfast,sqlite3,7,646239, 0, 0, 3.63
AFLfast,sqlite3,7,651142, 0, 0, 3.70
AFLfast,sqlite3,7,656361, 0, 0, 3.63
AFLfast,sqlite3,7,661689, 0, 0, 3.68
AFLfast,sqlite3,7,666803, 0, 0, 3.69
AFLfast,sqlite3,7,671906, 0, 0, 3.65
AFLfast,sqlite3,7,677096, 0, 0, 3.77
AFLfast,sqlite3,7,682154, 0, 0, 3.75
AFLfast,sqlite3,7,687484, 0, 0, 3.69
AFLfast,sqlite3,7,692596, 0, 0, 3.71
AFLfast,sqlite3,7,697839, 0, 0, 3.62
AFLfast,sqlite3,7,703019, 0, 0, 3.57
AFLfast,sqlite3,7,708164, 0, 0, 3.65
AFLfast,sqlite3,7,713210, 0, 0, 3.69
AFLfast,sqlite3,7,718398, 0, 0, 3.66
AFLfast,sqlite3,7,723622, 0, 0, 3.62
AFLfast,sqlite3,7,728720, 0, 0, 3.65
AFLfast,sqlite3,7,733893, 0, 0, 3.64
AFLfast,sqlite3,7,738913, 0, 0, 3.70
AFLfast,sqlite3,7,744106, 0, 0, 3.76
AFLfast,sqlite3,7,749249, 0, 0, 3.74
AFLfast,sqlite3,7,754362, 0, 0, 3.68
AFLfast,sqlite3,7,759597, 0, 0, 3.68
AFLfast,sqlite3,7,765048, 0, 0, 3.74
AFLfast,sqlite3,7,770002, 0, 0, 3.86
AFLfast,sqlite3,7,775181, 0, 0, 3.74
AFLfast,sqlite3,7,780273, 0, 0, 3.70
AFLfast,sqlite3,7,785413, 0, 0, 3.68
AFLfast,sqlite3,7,790719, 0, 0, 3.63
AFLfast,sqlite3,7,795802, 0, 0, 3.63
AFLfast,sqlite3,7,800729, 0, 0, 3.77
AFLfast,sqlite3,7,806171, 0, 0, 3.67
AFLfast,sqlite3,7,811228, 0, 0, 3.67
AFLfast,sqlite3,7,816363, 0, 0, 3.72
AFLfast,sqlite3,7,821465, 0, 0, 3.77
AFLfast,sqlite3,7,826579, 0, 0, 3.72
AFLfast,sqlite3,7,831664, 0, 0, 3.68
AFLfast,sqlite3,7,836807, 0, 0, 3.67
