alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,tcpdump,0,261, 0, 0, 1043.17
AFLfast,tcpdump,0,5163, 0, 0, 3.11
AFLfast,tcpdump,0,10223, 0, 0, 3.84
AFLfast,tcpdump,0,15419, 0, 0, 4.01
AFLfast,tcpdump,0,20671, 0, 0, 4.03
AFLfast,tcpdump,0,25916, 0, 0, 4.00
AFLfast,tcpdump,0,30920, 0, 0, 3.90
AFLfast,tcpdump,0,36011, 0, 0, 3.82
AFLfast,tcpdump,0,41159, 0, 0, 3.78
AFLfast,tcpdump,0,46305, 0, 0, 3.63
AFLfast,tcpdump,0,51561, 0, 0, 3.64
AFLfast,tcpdump,0,56752, 0, 0, 3.58
AFLfast,tcpdump,0,61972, 0, 0, 3.69
AFLfast,tcpdump,0,67144, 0, 0, 3.73
AFLfast,tcpdump,0,72243, 0, 0, 3.92
AFLfast,tcpdump,0,77468, 0, 0, 3.99
AFLfast,tcpdump,0,82551, 0, 0, 3.82
AFLfast,tcpdump,0,87821, 0, 0, 3.81
AFLfast,tcpdump,0,93012, 0, 0, 3.71
AFLfast,tcpdump,0,98239, 0, 0, 3.70
AFLfast,tcpdump,0,103352, 0, 0, 3.74
AFLfast,tcpdump,0,108425, 0, 0, 3.69
AFLfast,tcpdump,0,113523, 0, 0, 3.63
AFLfast,tcpdump,0,118667, 0, 0, 3.71
AFLfast,tcpdump,0,123932, 0, 0, 3.76
AFLfast,tcpdump,0,129195, 0, 0, 3.81
AFLfast,tcpdump,0,134451, 0, 0, 3.81
AFLfast,tcpdump,0,139515, 0, 0, 3.93
AFLfast,tcpdump,0,144531, 0, 0, 3.87
AFLfast,tcpdump,0,149539, 0, 0, 3.86
AFLfast,tcpdump,0,154723, 0, 0, 3.89
AFLfast,tcpdump,0,159770, 0, 0, 3.70
AFLfast,tcpdump,0,164859, 0, 0, 3.78
AFLfast,tcpdump,0,169872, 0, 0, 3.68
AFLfast,tcpdump,0,174952, 0, 0, 3.61
AFLfast,tcpdump,0,180039, 0, 0, 3.61
AFLfast,tcpdump,0,185319, 0, 0, 3.64
AFLfast,tcpdump,0,190409, 0, 0, 3.61
AFLfast,tcpdump,0,195463, 0, 0, 3.75
AFLfast,tcpdump,0,200627, 0, 0, 3.76
AFLfast,tcpdump,0,205839, 0, 0, 3.73
AFLfast,tcpdump,0,210971, 0, 0, 3.75
AFLfast,tcpdump,0,216107, 0, 0, 3.72
AFLfast,tcpdump,0,221368, 0, 0, 3.66
AFLfast,tcpdump,0,226439, 0, 0, 3.75
AFLfast,tcpdump,0,231704, 0, 0, 3.86
AFLfast,tcpdump,0,236699, 0, 0, 3.81
AFLfast,tcpdump,0,241716, 0, 0, 3.67
AFLfast,tcpdump,0,246979, 0, 0, 3.74
AFLfast,tcpdump,0,252063, 0, 0, 3.75
AFLfast,tcpdump,0,257072, 0, 0, 3.81
AFLfast,tcpdump,0,262151, 0, 0, 3.78
AFLfast,tcpdump,0,267239, 0, 0, 3.79
AFLfast,tcpdump,0,272523, 0, 0, 3.84
AFLfast,tcpdump,0,277599, 0, 0, 3.83
AFLfast,tcpdump,0,282663, 0, 0, 3.98
AFLfast,tcpdump,0,287748, 0, 0, 3.85
AFLfast,tcpdump,0,292791, 0, 0, 3.77
AFLfast,tcpdump,0,298059, 0, 0, 3.93
AFLfast,tcpdump,0,303143, 0, 0, 3.84
AFLfast,tcpdump,0,308408, 0, 0, 3.83
AFLfast,tcpdump,0,313700, 0, 0, 3.72
AFLfast,tcpdump,0,318851, 0, 0, 3.49
AFLfast,tcpdump,0,324008, 0, 0, 3.54
AFLfast,tcpdump,0,329124, 0, 0, 3.58
AFLfast,tcpdump,0,334324, 0, 0, 3.39
AFLfast,tcpdump,0,339344, 0, 0, 3.56
AFLfast,tcpdump,0,344476, 0, 0, 3.66
AFLfast,tcpdump,0,349521, 0, 0, 3.43
AFLfast,tcpdump,0,354735, 0, 0, 3.59
AFLfast,tcpdump,0,359804, 0, 0, 3.49
AFLfast,tcpdump,0,364771, 0, 0, 3.37
AFLfast,tcpdump,0,369864, 0, 0, 3.35
AFLfast,tcpdump,0,375142, 0, 0, 3.30
AFLfast,tcpdump,0,380345, 0, 0, 3.34
AFLfast,tcpdump,0,385579, 0, 0, 3.46
AFLfast,tcpdump,0,390628, 0, 0, 3.43
AFLfast,tcpdump,0,395684, 0, 0, 3.24
AFLfast,tcpdump,0,400979, 0, 0, 3.19
AFLfast,tcpdump,0,406253, 0, 0, 3.23
AFLfast,tcpdump,0,411521, 0, 0, 3.27
AFLfast,tcpdump,0,417462, 0, 0, 3.09
AFLfast,tcpdump,0,422547, 0, 0, 3.10
AFLfast,tcpdump,0,427678, 0, 0, 3.03
AFLfast,tcpdump,0,433004, 0, 0, 3.16
AFLfast,tcpdump,0,438036, 0, 0, 3.22
AFLfast,tcpdump,0,443337, 0, 0, 3.26
AFLfast,tcpdump,0,448363, 0, 0, 3.24
AFLfast,tcpdump,0,453528, 0, 0, 3.31
AFLfast,tcpdump,0,458598, 0, 0, 3.40
AFLfast,tcpdump,0,463835, 0, 0, 3.34
AFLfast,tcpdump,0,468896, 0, 0, 3.14
AFLfast,tcpdump,0,474155, 0, 0, 3.09
AFLfast,tcpdump,0,479482, 0, 0, 3.03
AFLfast,tcpdump,0,484604, 0, 0, 3.01
AFLfast,tcpdump,0,489717, 0, 0, 3.13
AFLfast,tcpdump,0,494816, 0, 0, 3.18
AFLfast,tcpdump,0,500136, 0, 0, 3.24
AFLfast,tcpdump,0,505320, 0, 0, 3.19
AFLfast,tcpdump,0,510600, 0, 0, 3.12
AFLfast,tcpdump,0,515647, 0, 0, 3.15
AFLfast,tcpdump,0,520892, 0, 0, 3.12
AFLfast,tcpdump,0,526204, 0, 0, 3.07
AFLfast,tcpdump,0,531508, 0, 0, 3.18
AFLfast,tcpdump,0,536743, 0, 0, 3.24
AFLfast,tcpdump,0,541944, 0, 0, 3.29
AFLfast,tcpdump,0,546945, 0, 0, 3.12
AFLfast,tcpdump,0,552000, 0, 0, 3.19
AFLfast,tcpdump,0,557325, 0, 0, 3.20
AFLfast,tcpdump,0,562823, 0, 0, 3.13
AFLfast,tcpdump,0,568088, 0, 0, 3.17
AFLfast,tcpdump,0,573411, 0, 0, 3.05
AFLfast,tcpdump,0,578697, 0, 0, 3.08
AFLfast,tcpdump,0,583697, 0, 0, 3.17
AFLfast,tcpdump,0,588941, 0, 0, 3.08
AFLfast,tcpdump,0,594016, 0, 0, 3.08
AFLfast,tcpdump,0,599340, 0, 0, 3.04
AFLfast,tcpdump,0,604648, 0, 0, 3.06
AFLfast,tcpdump,0,609884, 0, 0, 3.08
AFLfast,tcpdump,0,614894, 0, 0, 3.04
AFLfast,tcpdump,0,620193, 0, 0, 3.03
AFLfast,tcpdump,0,625420, 0, 0, 3.06
AFLfast,tcpdump,0,630575, 0, 0, 3.09
AFLfast,tcpdump,0,635616, 0, 0, 3.18
AFLfast,tcpdump,0,640780, 0, 0, 3.18
