alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,tcpdump,13,486, 0, 14, 17, 1, 1, 0.00%, 0, 0, 1, 845.68, 137, 82
AFLfast,tcpdump,13,5420, 0, 14, 17, 1, 1, 0.00%, 0, 0, 1, 3.72, 156, 82
AFLfast,tcpdump,13,10568, 0, 14, 17, 1, 1, 0.00%, 0, 0, 1, 3.33, 172, 82
AFLfast,tcpdump,13,15896, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.19, 188, 82
AFLfast,tcpdump,13,21099, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.13, 204, 82
AFLfast,tcpdump,13,26404, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.10, 220, 82
AFLfast,tcpdump,13,31660, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.09, 236, 82
AFLfast,tcpdump,13,36776, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.12, 252, 82
AFLfast,tcpdump,13,41848, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.03, 267, 82
AFLfast,tcpdump,13,47048, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.09, 283, 82
AFLfast,tcpdump,13,52176, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.15, 299, 82
AFLfast,tcpdump,13,57412, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.08, 315, 82
AFLfast,tcpdump,13,62644, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.24, 332, 82
AFLfast,tcpdump,13,67912, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.26, 349, 82
AFLfast,tcpdump,13,73024, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.19, 365, 82
AFLfast,tcpdump,13,78312, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.08, 381, 82
AFLfast,tcpdump,13,83420, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.12, 397, 82
AFLfast,tcpdump,13,88580, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.12, 413, 82
AFLfast,tcpdump,13,93624, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.17, 429, 82
AFLfast,tcpdump,13,98680, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.17, 445, 82
AFLfast,tcpdump,13,104008, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.07, 461, 82
AFLfast,tcpdump,13,109140, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 2.99, 476, 82
AFLfast,tcpdump,13,114336, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.10, 492, 82
AFLfast,tcpdump,13,119360, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.05, 507, 82
AFLfast,tcpdump,13,124412, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.04, 522, 82
AFLfast,tcpdump,13,129604, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.08, 538, 82
AFLfast,tcpdump,13,134652, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.14, 554, 82
AFLfast,tcpdump,13,139676, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.19, 570, 82
AFLfast,tcpdump,13,144812, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.15, 586, 82
AFLfast,tcpdump,13,150008, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.13, 602, 82
AFLfast,tcpdump,13,155096, 0, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.20, 618, 82
AFLfast,tcpdump,13,160392, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.12, 634, 82
AFLfast,tcpdump,13,165580, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.14, 650, 82
AFLfast,tcpdump,13,170852, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.21, 667, 82
AFLfast,tcpdump,13,175876, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.20, 683, 82
AFLfast,tcpdump,13,181008, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.16, 699, 82
AFLfast,tcpdump,13,186052, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.18, 715, 82
AFLfast,tcpdump,13,191132, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.18, 731, 82
AFLfast,tcpdump,13,196344, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.25, 748, 82
AFLfast,tcpdump,13,201652, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.22, 765, 82
AFLfast,tcpdump,13,207016, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.19, 782, 82
AFLfast,tcpdump,13,212204, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.03, 797, 82
AFLfast,tcpdump,13,217284, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.12, 813, 82
AFLfast,tcpdump,13,222360, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.15, 829, 82
AFLfast,tcpdump,13,227708, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.06, 845, 82
AFLfast,tcpdump,13,232924, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.06, 861, 82
AFLfast,tcpdump,13,238039, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.15, 877, 82
AFLfast,tcpdump,13,243252, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.11, 893, 82
AFLfast,tcpdump,13,248540, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.09, 909, 82
AFLfast,tcpdump,13,253752, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.09, 925, 82
AFLfast,tcpdump,13,259048, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.19, 942, 82
AFLfast,tcpdump,13,264176, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.17, 958, 82
AFLfast,tcpdump,13,269512, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.22, 975, 82
AFLfast,tcpdump,13,274688, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.15, 991, 82
AFLfast,tcpdump,13,279868, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.12, 1007, 82
AFLfast,tcpdump,13,284956, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.15, 1023, 82
AFLfast,tcpdump,13,290076, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.14, 1039, 82
AFLfast,tcpdump,13,295188, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.15, 1055, 82
AFLfast,tcpdump,13,300200, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.19, 1071, 82
AFLfast,tcpdump,13,305216, 1, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.21, 1087, 82
AFLfast,tcpdump,13,310496, 2, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.23, 1104, 82
AFLfast,tcpdump,13,315727, 2, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.25, 1121, 82
AFLfast,tcpdump,13,320920, 2, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.28, 1138, 82
AFLfast,tcpdump,13,325996, 2, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.20, 1154, 82
AFLfast,tcpdump,13,331164, 2, 14, 17, 0, 0, 0.00%, 0, 0, 1, 3.13, 1170, 82
