alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pdftops,0,1495, 0, 0, 97.59
AFLfast,pdftops,0,6680, 0, 0, 0.88
AFLfast,pdftops,0,12734, 0, 0, 0.87
AFLfast,pdftops,0,18106, 0, 0, 0.89
AFLfast,pdftops,0,24129, 0, 0, 0.88
AFLfast,pdftops,0,30314, 0, 0, 0.86
AFLfast,pdftops,0,36401, 0, 0, 0.85
AFLfast,pdftops,0,41778, 0, 0, 0.88
AFLfast,pdftops,0,46909, 0, 0, 0.91
AFLfast,pdftops,0,53129, 0, 0, 0.88
AFLfast,pdftops,0,58734, 0, 0, 0.89
AFLfast,pdftops,0,64821, 0, 0, 0.93
AFLfast,pdftops,0,70545, 0, 0, 0.92
AFLfast,pdftops,0,76031, 0, 0, 0.92
AFLfast,pdftops,0,81643, 0, 0, 0.92
AFLfast,pdftops,0,87114, 0, 0, 0.92
AFLfast,pdftops,0,93215, 0, 0, 0.89
AFLfast,pdftops,0,99266, 0, 0, 0.95
AFLfast,pdftops,0,104875, 0, 0, 0.94
AFLfast,pdftops,0,110742, 0, 0, 0.98
AFLfast,pdftops,0,116143, 0, 0, 0.98
AFLfast,pdftops,0,122233, 0, 0, 0.94
AFLfast,pdftops,0,128405, 0, 0, 0.90
AFLfast,pdftops,0,134379, 0, 0, 0.88
AFLfast,pdftops,0,139519, 0, 0, 0.91
AFLfast,pdftops,0,145235, 0, 0, 0.90
AFLfast,pdftops,0,151238, 0, 0, 0.94
AFLfast,pdftops,0,156958, 0, 0, 0.93
AFLfast,pdftops,0,162646, 0, 0, 0.92
AFLfast,pdftops,0,168841, 0, 0, 0.95
AFLfast,pdftops,0,173873, 0, 0, 0.96
AFLfast,pdftops,0,179539, 0, 0, 0.94
AFLfast,pdftops,0,185826, 0, 0, 0.91
AFLfast,pdftops,0,191790, 0, 0, 0.89
AFLfast,pdftops,0,197981, 0, 0, 0.87
AFLfast,pdftops,0,202985, 0, 0, 0.86
AFLfast,pdftops,0,208166, 0, 0, 0.89
AFLfast,pdftops,0,213717, 0, 0, 0.95
AFLfast,pdftops,0,219165, 0, 0, 1.01
AFLfast,pdftops,0,224777, 0, 0, 1.04
AFLfast,pdftops,0,230221, 0, 0, 1.07
AFLfast,pdftops,0,235469, 0, 0, 1.10
AFLfast,pdftops,0,240853, 0, 0, 1.10
AFLfast,pdftops,0,246158, 0, 0, 1.12
AFLfast,pdftops,0,251583, 0, 0, 1.13
AFLfast,pdftops,0,256737, 0, 0, 1.14
AFLfast,pdftops,0,262272, 0, 0, 1.12
AFLfast,pdftops,0,268006, 0, 0, 1.11
AFLfast,pdftops,0,273727, 0, 0, 1.09
AFLfast,pdftops,0,279495, 0, 0, 1.14
AFLfast,pdftops,0,284629, 0, 0, 1.16
AFLfast,pdftops,0,290398, 0, 0, 1.12
AFLfast,pdftops,0,295874, 0, 0, 1.12
AFLfast,pdftops,0,301598, 0, 0, 1.16
AFLfast,pdftops,0,306725, 0, 0, 1.17
AFLfast,pdftops,0,312044, 0, 0, 1.16
AFLfast,pdftops,0,317123, 0, 0, 1.17
AFLfast,pdftops,0,322361, 0, 0, 1.16
AFLfast,pdftops,0,327567, 0, 0, 1.16
AFLfast,pdftops,0,333220, 0, 0, 1.14
AFLfast,pdftops,0,338393, 0, 0, 1.15
AFLfast,pdftops,0,344301, 0, 0, 1.16
AFLfast,pdftops,0,349553, 0, 0, 1.16
AFLfast,pdftops,0,354851, 0, 0, 1.15
AFLfast,pdftops,0,360146, 0, 0, 1.15
AFLfast,pdftops,0,365545, 0, 0, 1.14
AFLfast,pdftops,0,371374, 0, 0, 1.16
AFLfast,pdftops,0,376644, 0, 0, 1.17
AFLfast,pdftops,0,382549, 0, 0, 1.18
AFLfast,pdftops,0,387641, 0, 0, 1.18
AFLfast,pdftops,0,393292, 0, 0, 1.20
AFLfast,pdftops,0,398773, 0, 0, 1.17
AFLfast,pdftops,0,403752, 0, 0, 1.18
AFLfast,pdftops,0,409644, 0, 0, 1.19
AFLfast,pdftops,0,414801, 0, 0, 1.18
AFLfast,pdftops,0,419911, 0, 0, 1.17
AFLfast,pdftops,0,424983, 0, 0, 1.18
AFLfast,pdftops,0,430102, 0, 0, 1.18
AFLfast,pdftops,0,435381, 0, 0, 1.17
AFLfast,pdftops,0,440585, 0, 0, 1.17
AFLfast,pdftops,0,445690, 0, 0, 1.17
AFLfast,pdftops,0,450907, 0, 0, 1.16
AFLfast,pdftops,0,456010, 0, 0, 1.17
AFLfast,pdftops,0,461628, 0, 0, 1.19
AFLfast,pdftops,0,466771, 0, 0, 1.19
AFLfast,pdftops,0,471826, 0, 0, 1.19
AFLfast,pdftops,0,476935, 0, 0, 1.18
AFLfast,pdftops,0,482168, 0, 0, 1.17
AFLfast,pdftops,0,487204, 0, 0, 1.18
AFLfast,pdftops,0,492501, 0, 0, 1.18
AFLfast,pdftops,0,497610, 0, 0, 1.17
AFLfast,pdftops,0,502665, 0, 0, 1.18
AFLfast,pdftops,0,507592, 0, 0, 1.18
AFLfast,pdftops,0,512881, 0, 0, 1.18
AFLfast,pdftops,0,517957, 0, 0, 1.18
AFLfast,pdftops,0,523249, 0, 0, 1.17
AFLfast,pdftops,0,528357, 0, 0, 1.17
AFLfast,pdftops,0,533655, 0, 0, 1.16
AFLfast,pdftops,0,538877, 0, 0, 1.16
AFLfast,pdftops,0,543984, 0, 0, 1.16
AFLfast,pdftops,0,549161, 0, 0, 1.17
AFLfast,pdftops,0,554158, 0, 0, 1.18
AFLfast,pdftops,0,559213, 0, 0, 1.18
AFLfast,pdftops,0,564318, 0, 0, 1.18
AFLfast,pdftops,0,569501, 0, 0, 1.17
AFLfast,pdftops,0,574490, 0, 0, 1.18
AFLfast,pdftops,0,579781, 0, 0, 1.17
AFLfast,pdftops,0,584795, 0, 0, 1.17
AFLfast,pdftops,0,590005, 0, 0, 1.17
AFLfast,pdftops,0,594959, 0, 0, 1.18
AFLfast,pdftops,0,600640, 0, 0, 1.11
AFLfast,pdftops,0,606407, 0, 0, 1.04
AFLfast,pdftops,0,612479, 0, 0, 0.98
AFLfast,pdftops,0,618419, 0, 0, 0.95
AFLfast,pdftops,0,624090, 0, 0, 1.00
AFLfast,pdftops,0,629109, 0, 0, 1.06
AFLfast,pdftops,0,634385, 0, 0, 1.09
AFLfast,pdftops,0,639321, 0, 0, 1.12
AFLfast,pdftops,0,644462, 0, 0, 1.14
AFLfast,pdftops,0,649650, 0, 0, 1.15
AFLfast,pdftops,0,654776, 0, 0, 1.16
AFLfast,pdftops,0,659884, 0, 0, 1.16
AFLfast,pdftops,0,665141, 0, 0, 1.16
AFLfast,pdftops,0,670879, 0, 0, 1.18
AFLfast,pdftops,0,676222, 0, 0, 1.16
AFLfast,pdftops,0,681305, 0, 0, 1.18
AFLfast,pdftops,0,687109, 0, 0, 1.19
AFLfast,pdftops,0,692166, 0, 0, 1.18
AFLfast,pdftops,0,697191, 0, 0, 1.19
AFLfast,pdftops,0,702325, 0, 0, 1.19
AFLfast,pdftops,0,707339, 0, 0, 1.18
AFLfast,pdftops,0,713096, 0, 0, 1.20
AFLfast,pdftops,0,719013, 0, 0, 1.20
AFLfast,pdftops,0,724017, 0, 0, 1.20
AFLfast,pdftops,0,729814, 0, 0, 1.20
AFLfast,pdftops,0,734826, 0, 0, 1.20
AFLfast,pdftops,0,740159, 0, 0, 1.17
AFLfast,pdftops,0,745309, 0, 0, 1.18
AFLfast,pdftops,0,750964, 0, 0, 1.20
AFLfast,pdftops,0,756209, 0, 0, 1.18
AFLfast,pdftops,0,761229, 0, 0, 1.19
AFLfast,pdftops,0,766265, 0, 0, 1.19
AFLfast,pdftops,0,771377, 0, 0, 1.18
AFLfast,pdftops,0,776573, 0, 0, 1.18
AFLfast,pdftops,0,781685, 0, 0, 1.18
AFLfast,pdftops,0,786609, 0, 0, 1.18
AFLfast,pdftops,0,791821, 0, 0, 1.18
AFLfast,pdftops,0,796795, 0, 0, 1.18
AFLfast,pdftops,0,802001, 0, 0, 1.18
AFLfast,pdftops,0,807135, 0, 0, 1.17
AFLfast,pdftops,0,812199, 0, 0, 1.17
AFLfast,pdftops,0,817386, 0, 0, 1.17
AFLfast,pdftops,0,822509, 0, 0, 1.18
AFLfast,pdftops,0,827538, 0, 0, 1.18
AFLfast,pdftops,0,832608, 0, 0, 1.18
AFLfast,pdftops,0,837829, 0, 0, 1.18
AFLfast,pdftops,0,842893, 0, 0, 1.18
AFLfast,pdftops,0,848041, 0, 0, 1.18
AFLfast,pdftops,0,853069, 0, 0, 1.18
AFLfast,pdftops,0,858063, 0, 0, 1.19
AFLfast,pdftops,0,863131, 0, 0, 1.18
AFLfast,pdftops,0,868378, 0, 0, 1.18
AFLfast,pdftops,0,873510, 0, 0, 1.18
AFLfast,pdftops,0,879309, 0, 0, 1.20
AFLfast,pdftops,0,884465, 0, 0, 1.14
AFLfast,pdftops,0,890371, 0, 0, 1.06
AFLfast,pdftops,0,896339, 0, 0, 1.00
AFLfast,pdftops,0,902013, 0, 0, 0.98
AFLfast,pdftops,0,906983, 0, 0, 1.05
AFLfast,pdftops,0,912153, 0, 0, 1.09
AFLfast,pdftops,0,917924, 0, 0, 1.13
AFLfast,pdftops,0,923245, 0, 0, 1.14
AFLfast,pdftops,0,928261, 0, 0, 1.15
AFLfast,pdftops,0,933340, 0, 0, 1.16
AFLfast,pdftops,0,938399, 0, 0, 1.17
AFLfast,pdftops,0,943599, 0, 0, 1.17
AFLfast,pdftops,0,948713, 0, 0, 1.17
AFLfast,pdftops,0,953849, 0, 0, 1.17
AFLfast,pdftops,0,959532, 0, 0, 1.19
AFLfast,pdftops,0,964811, 0, 0, 1.17
AFLfast,pdftops,0,970021, 0, 0, 1.17
AFLfast,pdftops,0,975313, 0, 0, 1.16
AFLfast,pdftops,0,980430, 0, 0, 1.17
