alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,pdftops,13,1259, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 91.73, 81, 7830
AFLfast,pdftops,13,6958, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.60, 85, 7830
AFLfast,pdftops,13,12437, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.64, 89, 7830
AFLfast,pdftops,13,18129, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.65, 93, 7830
AFLfast,pdftops,13,23905, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.66, 97, 7830
AFLfast,pdftops,13,29647, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.68, 101, 7830
AFLfast,pdftops,13,35072, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.69, 105, 7830
AFLfast,pdftops,13,40622, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.69, 109, 7830
AFLfast,pdftops,13,46120, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.71, 113, 7830
AFLfast,pdftops,13,51457, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.71, 117, 7830
AFLfast,pdftops,13,56832, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.72, 121, 7830
AFLfast,pdftops,13,62245, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.72, 125, 7830
AFLfast,pdftops,13,67616, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.73, 129, 7830
AFLfast,pdftops,13,73184, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.73, 133, 7830
AFLfast,pdftops,13,78478, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.73, 137, 7830
AFLfast,pdftops,13,83694, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.74, 141, 7830
AFLfast,pdftops,13,89262, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.74, 145, 7830
AFLfast,pdftops,13,95029, 0, 5, 10, 10, 10, 0.09%, 0, 0, 1, 0.73, 149, 7830
