alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec, total_execs, edges_found
AFLfast,pdftotext,13,159, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 8100.00, 81, 7024
AFLfast,pdftotext,13,50464, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 3.21, 243, 7024
AFLfast,pdftotext,13,55835, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.70, 255, 7024
AFLfast,pdftotext,13,60840, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.46, 266, 7024
AFLfast,pdftotext,13,65924, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.32, 277, 7024
AFLfast,pdftotext,13,71060, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.23, 288, 7024
AFLfast,pdftotext,13,76114, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.22, 299, 7024
AFLfast,pdftotext,13,81297, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.20, 310, 7024
AFLfast,pdftotext,13,86180, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.22, 321, 7024
AFLfast,pdftotext,13,91512, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.28, 333, 7024
AFLfast,pdftotext,13,96942, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.28, 345, 7024
AFLfast,pdftotext,13,102276, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.27, 357, 7024
AFLfast,pdftotext,13,107653, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.30, 369, 7024
AFLfast,pdftotext,13,112843, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.31, 381, 7024
AFLfast,pdftotext,13,118164, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.33, 393, 7024
AFLfast,pdftotext,13,123483, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.33, 405, 7024
AFLfast,pdftotext,13,128874, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.29, 417, 7024
AFLfast,pdftotext,13,134244, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.29, 429, 7024
AFLfast,pdftotext,13,139564, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.31, 441, 7024
AFLfast,pdftotext,13,144912, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.30, 453, 7024
AFLfast,pdftotext,13,150159, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.31, 465, 7024
AFLfast,pdftotext,13,155625, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.26, 477, 7024
AFLfast,pdftotext,13,160654, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.25, 488, 7024
AFLfast,pdftotext,13,166136, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.23, 500, 7024
AFLfast,pdftotext,13,171173, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.23, 511, 7024
AFLfast,pdftotext,13,176508, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.27, 523, 7024
AFLfast,pdftotext,13,181628, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.24, 534, 7024
AFLfast,pdftotext,13,186752, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.23, 545, 7024
AFLfast,pdftotext,13,191872, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.21, 556, 7024
AFLfast,pdftotext,13,196920, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.23, 567, 7024
AFLfast,pdftotext,13,201972, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.23, 578, 7024
AFLfast,pdftotext,13,207239, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.29, 590, 7024
AFLfast,pdftotext,13,212596, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.27, 602, 7024
AFLfast,pdftotext,13,217636, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.25, 613, 7024
AFLfast,pdftotext,13,223118, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.28, 625, 7024
AFLfast,pdftotext,13,228011, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.26, 636, 7024
AFLfast,pdftotext,13,233120, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.22, 647, 7024
AFLfast,pdftotext,13,238204, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.24, 658, 7024
AFLfast,pdftotext,13,243224, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.21, 669, 7024
AFLfast,pdftotext,13,248569, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.26, 681, 7024
AFLfast,pdftotext,13,253884, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.28, 693, 7024
AFLfast,pdftotext,13,259364, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.24, 705, 7024
AFLfast,pdftotext,13,264844, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.22, 717, 7024
AFLfast,pdftotext,13,270281, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.23, 729, 7024
AFLfast,pdftotext,13,275583, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.26, 741, 7024
AFLfast,pdftotext,13,280841, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.28, 753, 7024
AFLfast,pdftotext,13,286096, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.31, 765, 7024
AFLfast,pdftotext,13,291201, 0, 5, 10, 10, 10, 0.08%, 0, 0, 1, 2.25, 776, 7024
