alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pdftotext,6,217, 0, 0, 8100.00
AFLfast,pdftotext,6,37240, 0, 0, 4.35
AFLfast,pdftotext,6,42370, 0, 0, 3.49
AFLfast,pdftotext,6,47352, 0, 0, 3.24
AFLfast,pdftotext,6,52484, 0, 0, 3.09
AFLfast,pdftotext,6,57877, 0, 0, 3.09
AFLfast,pdftotext,6,63145, 0, 0, 3.10
AFLfast,pdftotext,6,68066, 0, 0, 3.07
AFLfast,pdftotext,6,73410, 0, 0, 3.08
AFLfast,pdftotext,6,78463, 0, 0, 3.07
AFLfast,pdftotext,6,83624, 0, 0, 2.99
AFLfast,pdftotext,6,88820, 0, 0, 2.99
AFLfast,pdftotext,6,94137, 0, 0, 2.94
AFLfast,pdftotext,6,99206, 0, 0, 2.96
AFLfast,pdftotext,6,104444, 0, 0, 2.98
AFLfast,pdftotext,6,109481, 0, 0, 2.89
AFLfast,pdftotext,6,114886, 0, 0, 2.83
AFLfast,pdftotext,6,120149, 0, 0, 2.78
AFLfast,pdftotext,6,125166, 0, 0, 2.83
AFLfast,pdftotext,6,130394, 0, 0, 2.77
AFLfast,pdftotext,6,135889, 0, 0, 2.69
AFLfast,pdftotext,6,141082, 0, 0, 2.69
AFLfast,pdftotext,6,146336, 0, 0, 2.70
AFLfast,pdftotext,6,151644, 0, 0, 2.67
AFLfast,pdftotext,6,157009, 0, 0, 2.66
AFLfast,pdftotext,6,162196, 0, 0, 2.66
AFLfast,pdftotext,6,167657, 0, 0, 2.65
AFLfast,pdftotext,6,173009, 0, 0, 2.67
AFLfast,pdftotext,6,178287, 0, 0, 2.70
AFLfast,pdftotext,6,183560, 0, 0, 2.66
AFLfast,pdftotext,6,188913, 0, 0, 2.69
AFLfast,pdftotext,6,193836, 0, 0, 2.64
AFLfast,pdftotext,6,199168, 0, 0, 2.65
AFLfast,pdftotext,6,204599, 0, 0, 2.64
AFLfast,pdftotext,6,209624, 0, 0, 2.59
AFLfast,pdftotext,6,214928, 0, 0, 2.65
AFLfast,pdftotext,6,220281, 0, 0, 2.69
AFLfast,pdftotext,6,225573, 0, 0, 2.62
AFLfast,pdftotext,6,230666, 0, 0, 2.58
AFLfast,pdftotext,6,235936, 0, 0, 2.56
AFLfast,pdftotext,6,241091, 0, 0, 2.52
AFLfast,pdftotext,6,246348, 0, 0, 2.53
AFLfast,pdftotext,6,251494, 0, 0, 2.47
AFLfast,pdftotext,6,256579, 0, 0, 2.46
AFLfast,pdftotext,6,261905, 0, 0, 2.48
AFLfast,pdftotext,6,266832, 0, 0, 2.44
AFLfast,pdftotext,6,271837, 0, 0, 2.46
AFLfast,pdftotext,6,277080, 0, 0, 2.49
AFLfast,pdftotext,6,282376, 0, 0, 2.48
AFLfast,pdftotext,6,287701, 0, 0, 2.48
AFLfast,pdftotext,6,292866, 0, 0, 2.53
AFLfast,pdftotext,6,298324, 0, 0, 2.46
AFLfast,pdftotext,6,303352, 0, 0, 2.45
AFLfast,pdftotext,6,308788, 0, 0, 2.44
AFLfast,pdftotext,6,313892, 0, 0, 2.44
AFLfast,pdftotext,6,319049, 0, 0, 2.40
AFLfast,pdftotext,6,324076, 0, 0, 2.42
AFLfast,pdftotext,6,329376, 0, 0, 2.47
AFLfast,pdftotext,6,334604, 0, 0, 2.40
AFLfast,pdftotext,6,339782, 0, 0, 2.38
AFLfast,pdftotext,6,345072, 0, 0, 2.35
AFLfast,pdftotext,6,350176, 0, 0, 2.37
AFLfast,pdftotext,6,355369, 0, 0, 2.36
AFLfast,pdftotext,6,360585, 0, 0, 2.36
AFLfast,pdftotext,6,365536, 0, 0, 2.40
AFLfast,pdftotext,6,370584, 0, 0, 2.40
AFLfast,pdftotext,6,376149, 0, 0, 2.42
AFLfast,pdftotext,6,381367, 0, 0, 2.46
AFLfast,pdftotext,6,386872, 0, 0, 2.43
AFLfast,pdftotext,6,392276, 0, 0, 2.44
