alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmllint,0,1625124609, 0, 0, 25.42
AFLfast,xmllint,0,1625124614, 0, 0, 32.06
AFLfast,xmllint,0,1625124620, 0, 0, 33.12
AFLfast,xmllint,0,1625124625, 0, 0, 32.97
AFLfast,xmllint,0,1625124630, 0, 0, 32.92
AFLfast,xmllint,0,1625124635, 0, 0, 33.13
AFLfast,xmllint,0,1625124640, 0, 0, 33.98
AFLfast,xmllint,0,1625124645, 0, 0, 35.71
AFLfast,xmllint,0,1625124650, 0, 0, 33.11
AFLfast,xmllint,0,1625124656, 0, 0, 32.63
AFLfast,xmllint,0,1625124661, 0, 0, 23.76
AFLfast,xmllint,0,1625124666, 0, 0, 17.91
AFLfast,xmllint,0,1625124671, 0, 0, 17.34
AFLfast,xmllint,0,1625124676, 0, 0, 16.31
AFLfast,xmllint,0,1625124682, 0, 0, 16.40
AFLfast,xmllint,0,1625124687, 0, 0, 15.05
AFLfast,xmllint,0,1625124692, 0, 0, 14.96
AFLfast,xmllint,0,1625124697, 0, 0, 15.38
AFLfast,xmllint,0,1625124702, 0, 0, 15.26
AFLfast,xmllint,0,1625124707, 0, 0, 16.60
AFLfast,xmllint,0,1625124712, 0, 0, 17.10
AFLfast,xmllint,0,1625124718, 0, 0, 16.02
AFLfast,xmllint,0,1625124723, 0, 0, 15.42
AFLfast,xmllint,0,1625124728, 0, 0, 16.32
AFLfast,xmllint,0,1625124733, 0, 0, 14.89
AFLfast,xmllint,0,1625124738, 0, 0, 15.38
AFLfast,xmllint,0,1625124743, 0, 0, 15.53
AFLfast,xmllint,0,1625124748, 0, 0, 16.21
AFLfast,xmllint,0,1625124753, 0, 0, 16.56
AFLfast,xmllint,0,1625124759, 0, 0, 15.20
AFLfast,xmllint,0,1625124764, 0, 0, 15.60
AFLfast,xmllint,0,1625124779, 0, 0, 16.15
AFLfast,xmllint,0,1625124785, 0, 0, 16.17
AFLfast,xmllint,0,1625124790, 0, 0, 15.60
AFLfast,xmllint,0,1625124795, 0, 0, 15.63
AFLfast,xmllint,0,1625124800, 0, 0, 15.20
AFLfast,xmllint,0,1625124805, 0, 0, 15.14
AFLfast,xmllint,0,1625124810, 0, 0, 15.23
AFLfast,xmllint,0,1625124816, 0, 0, 15.56
AFLfast,xmllint,0,1625124821, 0, 0, 16.60
AFLfast,xmllint,0,1625124826, 0, 0, 16.12
AFLfast,xmllint,0,1625124836, 0, 0, 14.98
AFLfast,xmllint,0,1625124841, 0, 0, 15.94
AFLfast,xmllint,0,1625124857, 0, 0, 15.42
AFLfast,xmllint,0,1625124862, 0, 0, 15.63
AFLfast,xmllint,0,1625124867, 0, 0, 15.82
AFLfast,xmllint,0,1625124872, 0, 0, 15.73
AFLfast,xmllint,0,1625124877, 0, 0, 15.73
AFLfast,xmllint,0,1625124893, 0, 0, 15.60
AFLfast,xmllint,0,1625124898, 0, 0, 16.32
AFLfast,xmllint,0,1625124903, 0, 0, 16.06
AFLfast,xmllint,0,1625124908, 0, 0, 16.02
AFLfast,xmllint,0,1625124913, 0, 0, 15.11
AFLfast,xmllint,0,1625124918, 0, 0, 15.02
AFLfast,xmllint,0,1625124928, 0, 0, 15.67
AFLfast,xmllint,0,1625124933, 0, 0, 14.34
AFLfast,xmllint,0,1625124939, 0, 0, 14.51
AFLfast,xmllint,0,1625124944, 0, 0, 15.41
AFLfast,xmllint,0,1625124949, 0, 0, 15.19
AFLfast,xmllint,0,1625124959, 0, 0, 15.77
AFLfast,xmllint,0,1625124964, 0, 0, 14.71
AFLfast,xmllint,0,1625124970, 0, 0, 15.30
AFLfast,xmllint,0,1625124975, 0, 0, 15.34
AFLfast,xmllint,0,1625124980, 0, 0, 15.58
AFLfast,xmllint,0,1625124985, 0, 0, 15.10
AFLfast,xmllint,0,1625124990, 0, 0, 15.34
AFLfast,xmllint,0,1625125001, 0, 0, 14.15
AFLfast,xmllint,0,1625125006, 0, 0, 14.81
AFLfast,xmllint,0,1625125016, 0, 0, 14.27
AFLfast,xmllint,0,1625125047, 0, 0, 14.47
AFLfast,xmllint,0,1625125053, 0, 0, 15.16
AFLfast,xmllint,0,1625125063, 0, 0, 14.60
AFLfast,xmllint,0,1625125068, 0, 0, 14.32
AFLfast,xmllint,0,1625125083, 0, 0, 14.02
AFLfast,xmllint,0,1625125094, 0, 0, 14.48
AFLfast,xmllint,0,1625125099, 0, 0, 14.57
AFLfast,xmllint,0,1625125104, 0, 0, 14.77
AFLfast,xmllint,0,1625125109, 0, 0, 16.18
AFLfast,xmllint,0,1625125114, 0, 0, 15.10
AFLfast,xmllint,0,1625125119, 0, 0, 15.21
AFLfast,xmllint,0,1625125135, 0, 0, 14.87
AFLfast,xmllint,0,1625125140, 0, 0, 14.85
AFLfast,xmllint,0,1625125150, 0, 0, 13.45
AFLfast,xmllint,0,1625125161, 0, 0, 13.62
AFLfast,xmllint,0,1625125166, 0, 0, 14.25
AFLfast,xmllint,0,1625125171, 0, 0, 14.78
AFLfast,xmllint,0,1625125176, 0, 0, 15.73
