alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,nm-new,2,1625221772, 0, 0, 65.88
AFLfast,nm-new,2,1625221792, 0, 0, 95.07
AFLfast,nm-new,2,1625221797, 0, 0, 85.21
AFLfast,nm-new,2,1625221802, 0, 0, 76.83
AFLfast,nm-new,2,1625223910, 0, 0, 57.75
AFLfast,nm-new,2,1625223915, 0, 0, 57.94
AFLfast,nm-new,2,1625223936, 0, 0, 57.33
AFLfast,nm-new,2,1625223941, 0, 0, 57.31
AFLfast,nm-new,2,1625223946, 0, 0, 57.31
AFLfast,nm-new,2,1625223982, 0, 0, 56.88
AFLfast,nm-new,2,1625223998, 0, 0, 58.47
AFLfast,nm-new,2,1625224028, 0, 0, 60.89
AFLfast,nm-new,2,1625224039, 0, 0, 61.92
AFLfast,nm-new,2,1625224106, 0, 0, 61.08
AFLfast,nm-new,2,1625225843, 0, 0, 58.81
AFLfast,nm-new,2,1625225849, 0, 0, 59.56
AFLfast,nm-new,2,1625225854, 0, 0, 59.39
AFLfast,nm-new,2,1625225859, 0, 0, 59.61
AFLfast,nm-new,2,1625225874, 0, 0, 60.22
AFLfast,nm-new,2,1625225884, 0, 0, 60.45
AFLfast,nm-new,2,1625225890, 0, 0, 60.86
AFLfast,nm-new,2,1625225895, 0, 0, 61.80
AFLfast,nm-new,2,1625225900, 0, 0, 60.40
AFLfast,nm-new,2,1625225905, 0, 0, 64.07
AFLfast,nm-new,2,1625225910, 0, 0, 60.15
AFLfast,nm-new,2,1625225915, 0, 0, 60.15
AFLfast,nm-new,2,1625225920, 0, 0, 59.14
AFLfast,nm-new,2,1625225925, 0, 0, 59.49
AFLfast,nm-new,2,1625225930, 0, 0, 60.15
AFLfast,nm-new,2,1625225936, 0, 0, 58.95
AFLfast,nm-new,2,1625225941, 0, 0, 60.66
AFLfast,nm-new,2,1625225946, 0, 0, 60.99
AFLfast,nm-new,2,1625225951, 0, 0, 61.63
AFLfast,nm-new,2,1625225956, 0, 0, 61.61
AFLfast,nm-new,2,1625225961, 0, 0, 61.93
AFLfast,nm-new,2,1625225967, 0, 0, 62.10
AFLfast,nm-new,2,1625225972, 0, 0, 59.92
AFLfast,nm-new,2,1625225977, 0, 0, 62.04
AFLfast,nm-new,2,1625225982, 0, 0, 59.50
AFLfast,nm-new,2,1625225987, 0, 0, 60.22
AFLfast,nm-new,2,1625225992, 0, 0, 59.37
AFLfast,nm-new,2,1625225997, 0, 0, 61.43
AFLfast,nm-new,2,1625226007, 0, 0, 60.01
AFLfast,nm-new,2,1625226028, 0, 0, 60.58
AFLfast,nm-new,2,1625226059, 0, 0, 60.02
AFLfast,nm-new,2,1625226075, 0, 0, 60.65
AFLfast,nm-new,2,1625226085, 0, 0, 59.92
AFLfast,nm-new,2,1625226100, 0, 0, 59.93
AFLfast,nm-new,2,1625226115, 0, 0, 61.66
AFLfast,nm-new,2,1625226121, 0, 0, 60.86
AFLfast,nm-new,2,1625226126, 0, 0, 59.18
