alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,nm-new,3,1625221778, 0, 0, 7, 7, 7, 2.30%, 0, 0, 1, 52.83
AFLfast,nm-new,3,1625221793, 0, 0, 8, 8, 7, 2.31%, 0, 0, 2, 85.18
AFLfast,nm-new,3,1625221799, 0, 0, 17, 17, 7, 2.44%, 0, 0, 2, 66.48
AFLfast,nm-new,3,1625221804, 0, 0, 30, 30, 7, 2.52%, 0, 0, 2, 59.74
AFLfast,nm-new,3,1625221809, 0, 0, 38, 38, 7, 2.61%, 0, 0, 2, 58.00
AFLfast,nm-new,3,1625240989, 0, 0, 46, 46, 7, 2.64%, 0, 0, 2, 47.52
AFLfast,nm-new,3,1625240994, 0, 0, 50, 50, 7, 2.65%, 0, 0, 2, 47.37
AFLfast,nm-new,3,1625241010, 0, 0, 53, 53, 7, 2.65%, 0, 0, 2, 47.79
AFLfast,nm-new,3,1625241015, 0, 0, 54, 54, 7, 2.65%, 0, 0, 2, 47.69
AFLfast,nm-new,3,1625241025, 0, 0, 55, 55, 7, 2.66%, 0, 0, 2, 47.60
AFLfast,nm-new,3,1625241036, 0, 0, 56, 56, 7, 2.66%, 0, 0, 2, 47.27
AFLfast,nm-new,3,1625241041, 0, 0, 57, 57, 7, 2.66%, 0, 0, 2, 47.77
AFLfast,nm-new,3,1625241066, 0, 0, 58, 58, 7, 2.66%, 0, 0, 2, 47.51
AFLfast,nm-new,3,1625241174, 0, 0, 59, 59, 7, 2.66%, 0, 0, 2, 47.20
AFLfast,nm-new,3,1625241195, 0, 0, 60, 60, 7, 2.66%, 0, 0, 2, 47.38
AFLfast,nm-new,3,1625241231, 0, 0, 61, 61, 7, 2.66%, 0, 0, 2, 47.81
AFLfast,nm-new,3,1625241246, 0, 0, 62, 62, 7, 2.66%, 0, 0, 2, 47.44
AFLfast,nm-new,3,1625241277, 0, 0, 63, 63, 7, 2.66%, 0, 0, 2, 47.84
AFLfast,nm-new,3,1625241431, 0, 0, 67, 67, 7, 2.67%, 0, 0, 2, 47.67
AFLfast,nm-new,3,1625251320, 0, 0, 69, 69, 7, 2.69%, 0, 0, 2, 49.24
AFLfast,nm-new,3,1625251325, 0, 0, 70, 70, 7, 2.69%, 0, 0, 2, 49.11
AFLfast,nm-new,3,1625251331, 0, 0, 71, 71, 7, 2.70%, 0, 0, 2, 48.71
AFLfast,nm-new,3,1625251336, 0, 0, 73, 73, 7, 2.70%, 0, 0, 2, 48.27
AFLfast,nm-new,3,1625251341, 0, 0, 78, 78, 7, 2.71%, 0, 0, 2, 48.01
AFLfast,nm-new,3,1625251356, 0, 0, 79, 79, 7, 2.71%, 0, 0, 2, 47.42
AFLfast,nm-new,3,1625251361, 0, 0, 81, 81, 7, 2.71%, 0, 0, 2, 47.69
AFLfast,nm-new,3,1625251377, 0, 0, 89, 89, 7, 2.79%, 0, 0, 2, 49.59
AFLfast,nm-new,3,1625251382, 0, 0, 95, 95, 7, 2.84%, 0, 0, 2, 48.30
AFLfast,nm-new,3,1625251392, 0, 0, 103, 103, 7, 2.90%, 0, 0, 2, 47.48
AFLfast,nm-new,3,1625251397, 0, 0, 107, 107, 7, 2.96%, 0, 0, 2, 51.36
AFLfast,nm-new,3,1625251402, 0, 0, 114, 114, 7, 2.97%, 0, 0, 2, 50.55
AFLfast,nm-new,3,1625251408, 0, 0, 116, 116, 7, 2.97%, 0, 0, 2, 49.42
AFLfast,nm-new,3,1625251413, 0, 0, 120, 120, 7, 2.97%, 0, 0, 2, 49.94
AFLfast,nm-new,3,1625251418, 0, 0, 122, 122, 7, 2.97%, 0, 0, 2, 48.42
AFLfast,nm-new,3,1625251423, 0, 0, 123, 123, 7, 2.97%, 0, 0, 2, 48.58
AFLfast,nm-new,3,1625251428, 0, 0, 127, 127, 7, 2.97%, 0, 0, 2, 47.93
AFLfast,nm-new,3,1625251433, 0, 0, 129, 129, 7, 2.97%, 0, 0, 2, 47.68
AFLfast,nm-new,3,1625251439, 0, 0, 135, 135, 7, 2.98%, 0, 0, 2, 47.53
AFLfast,nm-new,3,1625251444, 0, 0, 136, 136, 7, 2.98%, 0, 0, 2, 48.47
AFLfast,nm-new,3,1625251449, 0, 0, 141, 141, 7, 2.98%, 0, 0, 2, 53.28
AFLfast,nm-new,3,1625251459, 0, 0, 142, 142, 7, 2.98%, 0, 0, 2, 47.03
AFLfast,nm-new,3,1625251464, 0, 0, 143, 143, 7, 2.98%, 0, 0, 2, 46.39
AFLfast,nm-new,3,1625251470, 0, 0, 145, 145, 7, 2.98%, 0, 0, 2, 47.46
AFLfast,nm-new,3,1625251475, 0, 0, 147, 147, 7, 2.98%, 0, 0, 2, 47.96
AFLfast,nm-new,3,1625251480, 0, 0, 148, 148, 7, 2.98%, 0, 0, 2, 50.21
AFLfast,nm-new,3,1625251485, 0, 0, 149, 149, 7, 2.98%, 0, 0, 2, 49.56
AFLfast,nm-new,3,1625251495, 0, 0, 153, 153, 7, 2.99%, 0, 0, 2, 49.49
AFLfast,nm-new,3,1625251505, 0, 0, 158, 158, 7, 3.02%, 0, 0, 2, 49.52
AFLfast,nm-new,3,1625251511, 0, 0, 161, 161, 7, 3.02%, 0, 0, 2, 49.93
AFLfast,nm-new,3,1625251516, 0, 0, 163, 163, 7, 3.02%, 0, 0, 2, 50.92
AFLfast,nm-new,3,1625251526, 0, 0, 166, 166, 7, 3.03%, 0, 0, 2, 53.03
AFLfast,nm-new,3,1625251531, 0, 0, 167, 167, 7, 3.03%, 0, 0, 2, 50.52
AFLfast,nm-new,3,1625251536, 0, 0, 169, 169, 7, 3.03%, 0, 0, 2, 51.78
AFLfast,nm-new,3,1625251577, 0, 0, 170, 170, 7, 3.03%, 0, 0, 2, 52.45
AFLfast,nm-new,3,1625251613, 0, 0, 171, 171, 7, 3.03%, 0, 0, 2, 48.78
AFLfast,nm-new,3,1625251618, 0, 0, 172, 172, 7, 3.03%, 0, 0, 2, 49.33
AFLfast,nm-new,3,1625251628, 0, 0, 173, 173, 7, 3.04%, 0, 0, 2, 49.44
AFLfast,nm-new,3,1625251644, 0, 0, 174, 174, 7, 3.04%, 0, 0, 2, 47.67
AFLfast,nm-new,3,1625251654, 0, 0, 175, 175, 7, 3.04%, 0, 0, 2, 47.84
AFLfast,nm-new,3,1625251664, 0, 0, 179, 179, 7, 3.05%, 0, 0, 2, 50.13
AFLfast,nm-new,3,1625251670, 0, 0, 190, 190, 7, 3.10%, 0, 0, 2, 55.29
AFLfast,nm-new,3,1625251675, 0, 0, 200, 200, 7, 3.16%, 0, 0, 2, 53.56
AFLfast,nm-new,3,1625251680, 0, 0, 215, 215, 7, 3.17%, 0, 0, 2, 48.67
AFLfast,nm-new,3,1625251685, 0, 0, 229, 229, 7, 3.23%, 0, 0, 2, 53.99
AFLfast,nm-new,3,1625251690, 0, 0, 235, 235, 7, 3.26%, 0, 0, 2, 51.35
AFLfast,nm-new,3,1625251695, 0, 0, 240, 240, 7, 3.28%, 0, 0, 2, 49.31
AFLfast,nm-new,3,1625251700, 0, 0, 241, 241, 7, 3.28%, 0, 0, 2, 49.45
AFLfast,nm-new,3,1625254054, 0, 0, 242, 242, 7, 3.28%, 0, 0, 2, 47.36
AFLfast,nm-new,3,1625255362, 0, 0, 243, 243, 7, 3.29%, 0, 0, 2, 48.97
AFLfast,nm-new,3,1625255393, 0, 0, 245, 245, 7, 3.29%, 0, 0, 2, 49.23
AFLfast,nm-new,3,1625255398, 0, 0, 248, 248, 7, 3.32%, 0, 0, 2, 50.59
AFLfast,nm-new,3,1625255404, 0, 0, 249, 249, 7, 3.33%, 0, 0, 2, 52.65
AFLfast,nm-new,3,1625255409, 0, 0, 254, 254, 7, 3.34%, 0, 0, 2, 49.26
AFLfast,nm-new,3,1625273992, 0, 0, 255, 255, 7, 3.34%, 0, 0, 2, 49.05
AFLfast,nm-new,3,1625274392, 0, 0, 256, 256, 7, 3.34%, 0, 0, 2, 47.10
AFLfast,nm-new,3,1625284411, 0, 0, 257, 257, 7, 3.34%, 0, 0, 2, 48.41
AFLfast,nm-new,3,1625284416, 0, 0, 259, 259, 7, 3.35%, 0, 0, 2, 47.68
AFLfast,nm-new,3,1625284426, 0, 0, 263, 263, 7, 3.42%, 0, 0, 2, 46.76
AFLfast,nm-new,3,1625284437, 0, 0, 264, 264, 7, 3.43%, 0, 0, 2, 49.37
AFLfast,nm-new,3,1625284447, 0, 0, 266, 266, 7, 3.43%, 0, 0, 2, 47.97
AFLfast,nm-new,3,1625284457, 0, 0, 267, 267, 7, 3.43%, 0, 0, 2, 47.39
AFLfast,nm-new,3,1625284478, 0, 0, 268, 268, 7, 3.43%, 0, 0, 2, 45.85
AFLfast,nm-new,3,1625284488, 0, 0, 270, 270, 7, 3.43%, 0, 0, 2, 46.95
AFLfast,nm-new,3,1625284514, 0, 0, 271, 271, 7, 3.43%, 0, 0, 2, 48.00
AFLfast,nm-new,3,1625284535, 0, 0, 272, 272, 7, 3.44%, 0, 0, 2, 47.26
AFLfast,nm-new,3,1625284545, 0, 0, 273, 273, 7, 3.44%, 0, 0, 2, 47.43
AFLfast,nm-new,3,1625284576, 0, 0, 274, 274, 7, 3.44%, 0, 0, 2, 47.40
AFLfast,nm-new,3,1625284596, 0, 0, 275, 275, 7, 3.44%, 0, 0, 2, 47.34
AFLfast,nm-new,3,1625284601, 0, 0, 276, 276, 7, 3.44%, 0, 0, 2, 46.57
AFLfast,nm-new,3,1625284606, 0, 0, 277, 277, 7, 3.44%, 0, 0, 2, 49.53
AFLfast,nm-new,3,1625284683, 0, 0, 279, 279, 7, 3.44%, 0, 0, 2, 46.74
AFLfast,nm-new,3,1625284699, 0, 0, 281, 281, 7, 3.44%, 0, 0, 2, 51.36
AFLfast,nm-new,3,1625284704, 0, 0, 282, 282, 7, 3.44%, 0, 0, 2, 50.65
AFLfast,nm-new,3,1625284709, 0, 0, 291, 291, 7, 3.45%, 0, 0, 2, 47.46
AFLfast,nm-new,3,1625284714, 0, 0, 295, 295, 7, 3.45%, 0, 0, 2, 50.89
AFLfast,nm-new,3,1625284725, 0, 0, 297, 297, 7, 3.45%, 0, 0, 2, 47.90
AFLfast,nm-new,3,1625284730, 0, 0, 298, 298, 7, 3.45%, 0, 0, 2, 49.32
