alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,objdump,10,1625220853, 0, 0, 7, 7, 1, 0.05%, 0, 0, 1, 46.01
AFLfast,objdump,10,1625220859, 0, 1, 7, 7, 1, 0.05%, 0, 0, 1, 60.69
AFLfast,objdump,10,1625220874, 0, 2, 7, 6, 0, 0.05%, 0, 0, 1, 61.52
AFLfast,objdump,10,1625220890, 0, 3, 7, 5, 0, 0.05%, 0, 0, 1, 57.49
AFLfast,objdump,10,1625220905, 0, 4, 7, 4, 0, 0.05%, 0, 0, 1, 58.54
AFLfast,objdump,10,1625220926, 0, 5, 7, 3, 0, 0.05%, 0, 0, 1, 58.97
AFLfast,objdump,10,1625220941, 0, 6, 7, 2, 0, 0.05%, 0, 0, 1, 57.58
AFLfast,objdump,10,1625220956, 1, 0, 7, 1, 0, 0.05%, 0, 0, 1, 57.26
AFLfast,objdump,10,1625220972, 1, 1, 7, 0, 0, 0.05%, 0, 0, 1, 58.38
AFLfast,objdump,10,1625220993, 1, 2, 7, 0, 0, 0.05%, 0, 0, 1, 58.25
AFLfast,objdump,10,1625221008, 1, 4, 7, 0, 0, 0.05%, 0, 0, 1, 58.44
AFLfast,objdump,10,1625221013, 1, 6, 7, 0, 0, 0.05%, 0, 0, 1, 58.14
AFLfast,objdump,10,1625221018, 2, 1, 7, 0, 0, 0.05%, 0, 0, 1, 58.62
AFLfast,objdump,10,1625221024, 2, 3, 7, 0, 0, 0.05%, 0, 0, 1, 58.74
AFLfast,objdump,10,1625221029, 2, 5, 7, 0, 0, 0.05%, 0, 0, 1, 57.74
AFLfast,objdump,10,1625221034, 3, 1, 7, 0, 0, 0.05%, 0, 0, 1, 58.46
AFLfast,objdump,10,1625221039, 3, 3, 7, 0, 0, 0.05%, 0, 0, 1, 58.19
AFLfast,objdump,10,1625221044, 3, 5, 7, 0, 0, 0.05%, 0, 0, 1, 58.98
AFLfast,objdump,10,1625221049, 4, 0, 7, 0, 0, 0.05%, 0, 0, 1, 57.74
AFLfast,objdump,10,1625221054, 4, 2, 7, 0, 0, 0.05%, 0, 0, 1, 57.54
AFLfast,objdump,10,1625221060, 4, 4, 7, 0, 0, 0.05%, 0, 0, 1, 57.63
AFLfast,objdump,10,1625221065, 4, 6, 7, 0, 0, 0.05%, 0, 0, 1, 57.94
AFLfast,objdump,10,1625221070, 5, 2, 7, 0, 0, 0.05%, 0, 0, 1, 57.95
AFLfast,objdump,10,1625221075, 5, 4, 7, 0, 0, 0.05%, 0, 0, 1, 57.64
AFLfast,objdump,10,1625221080, 5, 6, 7, 0, 0, 0.05%, 0, 0, 1, 56.92
AFLfast,objdump,10,1625221085, 6, 1, 7, 0, 0, 0.05%, 0, 0, 1, 57.43
AFLfast,objdump,10,1625221090, 6, 3, 7, 0, 0, 0.05%, 0, 0, 1, 58.21
AFLfast,objdump,10,1625221096, 6, 6, 7, 0, 0, 0.05%, 0, 0, 1, 59.01
AFLfast,objdump,10,1625221101, 7, 1, 7, 0, 0, 0.05%, 0, 0, 1, 58.31
AFLfast,objdump,10,1625221106, 7, 3, 7, 0, 0, 0.05%, 0, 0, 1, 57.55
AFLfast,objdump,10,1625221111, 7, 5, 7, 0, 0, 0.05%, 0, 0, 1, 58.42
AFLfast,objdump,10,1625221116, 8, 0, 7, 0, 0, 0.05%, 0, 0, 1, 57.34
AFLfast,objdump,10,1625221121, 8, 3, 7, 0, 0, 0.05%, 0, 0, 1, 57.26
AFLfast,objdump,10,1625221126, 8, 5, 7, 0, 0, 0.05%, 0, 0, 1, 57.26
AFLfast,objdump,10,1625221132, 9, 0, 7, 0, 0, 0.05%, 0, 0, 1, 58.29
AFLfast,objdump,10,1625221137, 9, 2, 7, 0, 0, 0.05%, 0, 0, 1, 57.28
AFLfast,objdump,10,1625221142, 9, 4, 7, 0, 0, 0.05%, 0, 0, 1, 58.10
AFLfast,objdump,10,1625221147, 9, 6, 7, 0, 0, 0.05%, 0, 0, 1, 58.28
AFLfast,objdump,10,1625221152, 10, 2, 7, 0, 0, 0.05%, 0, 0, 1, 58.30
AFLfast,objdump,10,1625221157, 10, 4, 7, 0, 0, 0.05%, 0, 0, 1, 58.23
AFLfast,objdump,10,1625221162, 10, 6, 7, 0, 0, 0.05%, 0, 0, 1, 58.38
AFLfast,objdump,10,1625221168, 11, 1, 7, 0, 0, 0.05%, 0, 0, 1, 56.32
AFLfast,objdump,10,1625221173, 11, 3, 7, 0, 0, 0.05%, 0, 0, 1, 57.72
AFLfast,objdump,10,1625221178, 11, 5, 7, 0, 0, 0.05%, 0, 0, 1, 58.80
AFLfast,objdump,10,1625221183, 12, 1, 7, 0, 0, 0.05%, 0, 0, 1, 58.34
AFLfast,objdump,10,1625221188, 12, 3, 7, 0, 0, 0.05%, 0, 0, 1, 58.72
AFLfast,objdump,10,1625221193, 12, 5, 7, 0, 0, 0.05%, 0, 0, 1, 58.21
AFLfast,objdump,10,1625221198, 13, 0, 7, 0, 0, 0.05%, 0, 0, 1, 58.54
AFLfast,objdump,10,1625221204, 13, 3, 7, 0, 0, 0.05%, 0, 0, 1, 58.33
AFLfast,objdump,10,1625221209, 13, 5, 7, 0, 0, 0.05%, 0, 0, 1, 58.46
AFLfast,objdump,10,1625221214, 14, 0, 7, 0, 0, 0.05%, 0, 0, 1, 57.98
AFLfast,objdump,10,1625221219, 14, 2, 7, 0, 0, 0.05%, 0, 0, 1, 58.96
AFLfast,objdump,10,1625221224, 14, 4, 7, 0, 0, 0.05%, 0, 0, 1, 58.22
AFLfast,objdump,10,1625221229, 14, 6, 7, 0, 0, 0.05%, 0, 0, 1, 57.83
AFLfast,objdump,10,1625221234, 15, 2, 7, 0, 0, 0.05%, 0, 0, 1, 57.62
AFLfast,objdump,10,1625221239, 15, 4, 7, 0, 0, 0.05%, 0, 0, 1, 57.04
AFLfast,objdump,10,1625221244, 15, 6, 7, 0, 0, 0.05%, 0, 0, 1, 58.74
AFLfast,objdump,10,1625221250, 16, 1, 7, 0, 0, 0.05%, 0, 0, 1, 58.30
AFLfast,objdump,10,1625221255, 16, 3, 7, 0, 0, 0.05%, 0, 0, 1, 58.15
AFLfast,objdump,10,1625221260, 16, 5, 7, 0, 0, 0.05%, 0, 0, 1, 58.45
AFLfast,objdump,10,1625221265, 17, 1, 7, 0, 0, 0.05%, 0, 0, 1, 58.47
AFLfast,objdump,10,1625221270, 17, 3, 7, 0, 0, 0.05%, 0, 0, 1, 58.99
AFLfast,objdump,10,1625221275, 17, 5, 7, 0, 0, 0.05%, 0, 0, 1, 58.45
AFLfast,objdump,10,1625221280, 18, 0, 7, 0, 0, 0.05%, 0, 0, 1, 57.67
AFLfast,objdump,10,1625221285, 18, 2, 7, 0, 0, 0.05%, 0, 0, 1, 57.61
AFLfast,objdump,10,1625221291, 18, 4, 7, 0, 0, 0.05%, 0, 0, 1, 58.13
AFLfast,objdump,10,1625221296, 18, 6, 7, 0, 0, 0.05%, 0, 0, 1, 57.54
AFLfast,objdump,10,1625221301, 19, 2, 7, 0, 0, 0.05%, 0, 0, 1, 57.99
AFLfast,objdump,10,1625221306, 19, 4, 7, 0, 0, 0.05%, 0, 0, 1, 57.88
AFLfast,objdump,10,1625221311, 19, 6, 7, 0, 0, 0.05%, 0, 0, 1, 58.21
AFLfast,objdump,10,1625221316, 20, 1, 7, 0, 0, 0.05%, 0, 0, 1, 58.23
AFLfast,objdump,10,1625221321, 20, 4, 7, 0, 0, 0.05%, 0, 0, 1, 57.94
AFLfast,objdump,10,1625221326, 20, 6, 7, 0, 0, 0.05%, 0, 0, 1, 57.07
AFLfast,objdump,10,1625221332, 21, 1, 7, 0, 0, 0.05%, 0, 0, 1, 56.90
AFLfast,objdump,10,1625221337, 21, 3, 7, 0, 0, 0.05%, 0, 0, 1, 57.84
AFLfast,objdump,10,1625221342, 21, 5, 7, 0, 0, 0.05%, 0, 0, 1, 57.95
AFLfast,objdump,10,1625221347, 22, 1, 7, 0, 0, 0.05%, 0, 0, 1, 57.88
AFLfast,objdump,10,1625221352, 22, 3, 7, 0, 0, 0.05%, 0, 0, 1, 56.61
AFLfast,objdump,10,1625221357, 22, 5, 7, 0, 0, 0.05%, 0, 0, 1, 58.11
AFLfast,objdump,10,1625221362, 23, 0, 7, 0, 0, 0.05%, 0, 0, 1, 58.22
AFLfast,objdump,10,1625221368, 23, 2, 7, 0, 0, 0.05%, 0, 0, 1, 58.17
AFLfast,objdump,10,1625221373, 23, 4, 7, 0, 0, 0.05%, 0, 0, 1, 57.15
AFLfast,objdump,10,1625221378, 23, 6, 7, 0, 0, 0.05%, 0, 0, 1, 57.50
AFLfast,objdump,10,1625221383, 24, 2, 7, 0, 0, 0.05%, 0, 0, 1, 56.67
AFLfast,objdump,10,1625221388, 24, 4, 7, 0, 0, 0.05%, 0, 0, 1, 58.31
AFLfast,objdump,10,1625221393, 24, 6, 7, 0, 0, 0.05%, 0, 0, 1, 58.68
AFLfast,objdump,10,1625221398, 25, 1, 7, 0, 0, 0.05%, 0, 0, 1, 59.14
AFLfast,objdump,10,1625221403, 25, 3, 7, 0, 0, 0.05%, 0, 0, 1, 58.80
AFLfast,objdump,10,1625221409, 25, 5, 7, 0, 0, 0.05%, 0, 0, 1, 58.11
AFLfast,objdump,10,1625221414, 26, 1, 7, 0, 0, 0.05%, 0, 0, 1, 58.03
AFLfast,objdump,10,1625221419, 26, 3, 7, 0, 0, 0.05%, 0, 0, 1, 57.30
AFLfast,objdump,10,1625221424, 26, 5, 7, 0, 0, 0.05%, 0, 0, 1, 57.76
AFLfast,objdump,10,1625221429, 27, 0, 7, 0, 0, 0.05%, 0, 0, 1, 57.74
AFLfast,objdump,10,1625221434, 27, 2, 7, 0, 0, 0.05%, 0, 0, 1, 58.49
AFLfast,objdump,10,1625221439, 27, 4, 7, 0, 0, 0.05%, 0, 0, 1, 58.10
AFLfast,objdump,10,1625221444, 27, 6, 7, 0, 0, 0.05%, 0, 0, 1, 56.76
AFLfast,objdump,10,1625221449, 28, 2, 7, 0, 0, 0.05%, 0, 0, 1, 58.23
AFLfast,objdump,10,1625221455, 28, 4, 7, 0, 0, 0.05%, 0, 0, 1, 57.53
AFLfast,objdump,10,1625221460, 28, 6, 7, 0, 0, 0.05%, 0, 0, 1, 57.80
AFLfast,objdump,10,1625221465, 29, 1, 7, 0, 0, 0.05%, 0, 0, 1, 57.80
AFLfast,objdump,10,1625221470, 29, 3, 7, 0, 0, 0.05%, 0, 0, 1, 58.02
AFLfast,objdump,10,1625221475, 29, 6, 7, 0, 0, 0.05%, 0, 0, 1, 57.86
AFLfast,objdump,10,1625221480, 30, 1, 7, 0, 0, 0.05%, 0, 0, 1, 58.43
AFLfast,objdump,10,1625221485, 30, 3, 7, 0, 0, 0.05%, 0, 0, 1, 57.77
AFLfast,objdump,10,1625221491, 30, 5, 7, 0, 0, 0.05%, 0, 0, 1, 57.07
AFLfast,objdump,10,1625221496, 31, 0, 7, 0, 0, 0.05%, 0, 0, 1, 57.91
AFLfast,objdump,10,1625221501, 31, 3, 7, 0, 0, 0.05%, 0, 0, 1, 57.43
AFLfast,objdump,10,1625221506, 31, 5, 7, 0, 0, 0.05%, 0, 0, 1, 56.83
AFLfast,objdump,10,1625221511, 32, 0, 7, 0, 0, 0.05%, 0, 0, 1, 57.50
AFLfast,objdump,10,1625221516, 32, 2, 7, 0, 0, 0.05%, 0, 0, 1, 56.82
AFLfast,objdump,10,1625221521, 32, 4, 7, 0, 0, 0.05%, 0, 0, 1, 57.03
AFLfast,objdump,10,1625221527, 32, 6, 7, 0, 0, 0.05%, 0, 0, 1, 57.61
AFLfast,objdump,10,1625221532, 33, 2, 7, 0, 0, 0.05%, 0, 0, 1, 57.64
AFLfast,objdump,10,1625221537, 33, 4, 7, 0, 0, 0.05%, 0, 0, 1, 57.28
AFLfast,objdump,10,1625221542, 33, 6, 7, 0, 0, 0.05%, 0, 0, 1, 56.85
AFLfast,objdump,10,1625221547, 34, 1, 7, 0, 0, 0.05%, 0, 0, 1, 56.92
AFLfast,objdump,10,1625221552, 34, 3, 7, 0, 0, 0.05%, 0, 0, 1, 57.54
AFLfast,objdump,10,1625221557, 34, 5, 7, 0, 0, 0.05%, 0, 0, 1, 57.50
AFLfast,objdump,10,1625221563, 35, 1, 7, 0, 0, 0.05%, 0, 0, 1, 57.46
AFLfast,objdump,10,1625221568, 35, 3, 7, 0, 0, 0.05%, 0, 0, 1, 56.60
AFLfast,objdump,10,1625221573, 35, 5, 7, 0, 0, 0.05%, 0, 0, 1, 57.31
AFLfast,objdump,10,1625221578, 36, 0, 7, 0, 0, 0.05%, 0, 0, 1, 57.45
AFLfast,objdump,10,1625221583, 36, 2, 7, 0, 0, 0.05%, 0, 0, 1, 57.47
AFLfast,objdump,10,1625221588, 36, 4, 7, 0, 0, 0.05%, 0, 0, 1, 57.82
AFLfast,objdump,10,1625221594, 36, 6, 7, 0, 0, 0.05%, 0, 0, 1, 56.95
AFLfast,objdump,10,1625221599, 37, 2, 7, 0, 0, 0.05%, 0, 0, 1, 58.19
AFLfast,objdump,10,1625221604, 37, 4, 7, 0, 0, 0.05%, 0, 0, 1, 57.90
AFLfast,objdump,10,1625221609, 37, 6, 7, 0, 0, 0.05%, 0, 0, 1, 57.81
AFLfast,objdump,10,1625221614, 38, 1, 7, 0, 0, 0.05%, 0, 0, 1, 56.42
AFLfast,objdump,10,1625221619, 38, 3, 7, 0, 0, 0.05%, 0, 0, 1, 56.85
AFLfast,objdump,10,1625221624, 38, 5, 7, 0, 0, 0.05%, 0, 0, 1, 57.17
AFLfast,objdump,10,1625221629, 39, 0, 7, 0, 0, 0.05%, 0, 0, 1, 57.23
AFLfast,objdump,10,1625221635, 39, 3, 7, 0, 0, 0.05%, 0, 0, 1, 56.77
AFLfast,objdump,10,1625221640, 39, 5, 7, 0, 0, 0.05%, 0, 0, 1, 56.14
AFLfast,objdump,10,1625221645, 40, 0, 7, 0, 0, 0.05%, 0, 0, 1, 57.53
AFLfast,objdump,10,1625221650, 40, 2, 7, 0, 0, 0.05%, 0, 0, 1, 56.10
AFLfast,objdump,10,1625221655, 40, 4, 7, 0, 0, 0.05%, 0, 0, 1, 56.52
AFLfast,objdump,10,1625221660, 40, 6, 7, 0, 0, 0.05%, 0, 0, 1, 55.58
AFLfast,objdump,10,1625221665, 41, 1, 7, 0, 0, 0.05%, 0, 0, 1, 57.00
AFLfast,objdump,10,1625221671, 41, 4, 7, 0, 0, 0.05%, 0, 0, 1, 57.73
AFLfast,objdump,10,1625221676, 41, 6, 7, 0, 0, 0.05%, 0, 0, 1, 58.11
AFLfast,objdump,10,1625221681, 42, 1, 7, 0, 0, 0.05%, 0, 0, 1, 57.66
AFLfast,objdump,10,1625221686, 42, 3, 7, 0, 0, 0.05%, 0, 0, 1, 57.63
AFLfast,objdump,10,1625221691, 42, 5, 7, 0, 0, 0.05%, 0, 0, 1, 57.84
AFLfast,objdump,10,1625221696, 43, 1, 7, 0, 0, 0.05%, 0, 0, 1, 57.54
AFLfast,objdump,10,1625221702, 43, 3, 7, 0, 0, 0.05%, 0, 0, 1, 57.85
