alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,objdump,12,1625220870, 0, 0, 38.44
AFLfast,objdump,12,1625220876, 0, 0, 57.54
AFLfast,objdump,12,1625220886, 0, 0, 59.39
AFLfast,objdump,12,1625220896, 0, 0, 58.76
AFLfast,objdump,12,1625220906, 0, 0, 59.10
AFLfast,objdump,12,1625220922, 0, 0, 59.54
AFLfast,objdump,12,1625220932, 0, 0, 58.93
AFLfast,objdump,12,1625220943, 0, 0, 58.37
AFLfast,objdump,12,1625220953, 0, 0, 58.20
AFLfast,objdump,12,1625220969, 0, 0, 58.62
AFLfast,objdump,12,1625220979, 0, 0, 58.79
AFLfast,objdump,12,1625220989, 0, 0, 58.16
AFLfast,objdump,12,1625220994, 0, 0, 57.49
AFLfast,objdump,12,1625220999, 0, 0, 58.08
AFLfast,objdump,12,1625221005, 0, 0, 58.12
AFLfast,objdump,12,1625221010, 0, 0, 58.53
AFLfast,objdump,12,1625221015, 0, 0, 58.48
AFLfast,objdump,12,1625221020, 0, 0, 58.51
AFLfast,objdump,12,1625221025, 0, 0, 57.86
AFLfast,objdump,12,1625221030, 0, 0, 56.45
AFLfast,objdump,12,1625221035, 0, 0, 57.93
AFLfast,objdump,12,1625221040, 0, 0, 58.67
AFLfast,objdump,12,1625221045, 0, 0, 58.76
AFLfast,objdump,12,1625221051, 0, 0, 58.12
AFLfast,objdump,12,1625221056, 0, 0, 56.56
AFLfast,objdump,12,1625221061, 0, 0, 57.68
AFLfast,objdump,12,1625221066, 0, 0, 58.54
AFLfast,objdump,12,1625221071, 0, 0, 58.65
AFLfast,objdump,12,1625221076, 0, 0, 58.65
AFLfast,objdump,12,1625221081, 0, 0, 58.26
AFLfast,objdump,12,1625221087, 0, 0, 57.51
AFLfast,objdump,12,1625221092, 0, 0, 58.12
AFLfast,objdump,12,1625221097, 0, 0, 57.09
AFLfast,objdump,12,1625221102, 0, 0, 56.82
AFLfast,objdump,12,1625221107, 0, 0, 55.81
AFLfast,objdump,12,1625221112, 0, 0, 58.52
AFLfast,objdump,12,1625221117, 0, 0, 58.58
AFLfast,objdump,12,1625221122, 0, 0, 58.24
AFLfast,objdump,12,1625221128, 0, 0, 58.38
AFLfast,objdump,12,1625221133, 0, 0, 58.58
AFLfast,objdump,12,1625221138, 0, 0, 58.56
AFLfast,objdump,12,1625221143, 0, 0, 58.91
AFLfast,objdump,12,1625221148, 0, 0, 58.20
AFLfast,objdump,12,1625221153, 0, 0, 58.54
AFLfast,objdump,12,1625221158, 0, 0, 57.66
AFLfast,objdump,12,1625221163, 0, 0, 58.77
AFLfast,objdump,12,1625221169, 0, 0, 56.71
AFLfast,objdump,12,1625221174, 0, 0, 57.82
AFLfast,objdump,12,1625221179, 0, 0, 58.59
AFLfast,objdump,12,1625221184, 0, 0, 58.95
AFLfast,objdump,12,1625221189, 0, 0, 58.74
AFLfast,objdump,12,1625221195, 0, 0, 57.63
AFLfast,objdump,12,1625221200, 0, 0, 58.40
AFLfast,objdump,12,1625221205, 0, 0, 58.16
AFLfast,objdump,12,1625221210, 0, 0, 59.01
AFLfast,objdump,12,1625221215, 0, 0, 58.43
AFLfast,objdump,12,1625221221, 0, 0, 57.55
AFLfast,objdump,12,1625221226, 0, 0, 56.50
AFLfast,objdump,12,1625221231, 0, 0, 57.42
AFLfast,objdump,12,1625221236, 0, 0, 57.43
AFLfast,objdump,12,1625221241, 0, 0, 57.89
AFLfast,objdump,12,1625221246, 0, 0, 58.20
AFLfast,objdump,12,1625221252, 0, 0, 57.60
AFLfast,objdump,12,1625221257, 0, 0, 57.54
AFLfast,objdump,12,1625221262, 0, 0, 58.03
AFLfast,objdump,12,1625221267, 0, 0, 58.69
AFLfast,objdump,12,1625221272, 0, 0, 58.11
AFLfast,objdump,12,1625221277, 0, 0, 57.85
AFLfast,objdump,12,1625221282, 0, 0, 57.59
AFLfast,objdump,12,1625221288, 0, 0, 57.55
AFLfast,objdump,12,1625221293, 0, 0, 58.60
AFLfast,objdump,12,1625221298, 0, 0, 58.15
AFLfast,objdump,12,1625221303, 0, 0, 57.48
AFLfast,objdump,12,1625221308, 0, 0, 58.37
AFLfast,objdump,12,1625221314, 0, 0, 59.12
AFLfast,objdump,12,1625221319, 0, 0, 59.25
