alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,size,0,1625300429, 0, 0, 6, 6, 5, 1.70%, 0, 0, 1, 106.19
AFLfast,size,0,1625300445, 0, 0, 23, 23, 5, 2.11%, 0, 0, 2, 116.32
AFLfast,size,0,1625300450, 0, 0, 47, 47, 5, 2.31%, 0, 0, 2, 100.99
AFLfast,size,0,1625300455, 0, 0, 54, 54, 5, 2.31%, 0, 0, 2, 96.60
AFLfast,size,0,1625300460, 0, 0, 55, 55, 5, 2.31%, 0, 0, 2, 99.80
AFLfast,size,0,1625311777, 0, 0, 56, 56, 5, 2.32%, 0, 0, 2, 114.75
AFLfast,size,0,1625317425, 0, 0, 57, 57, 5, 2.32%, 0, 0, 2, 118.72
AFLfast,size,0,1625317471, 0, 0, 62, 62, 5, 2.33%, 0, 0, 2, 114.91
AFLfast,size,0,1625317481, 0, 0, 66, 66, 5, 2.33%, 0, 0, 2, 115.25
AFLfast,size,0,1625317486, 0, 0, 77, 77, 5, 2.39%, 0, 0, 2, 116.63
AFLfast,size,0,1625317491, 0, 0, 87, 87, 5, 2.57%, 0, 0, 2, 1.98
AFLfast,size,0,1625317497, 0, 0, 89, 89, 5, 2.57%, 0, 0, 2, 4.10
AFLfast,size,0,1625317503, 0, 0, 94, 94, 5, 2.59%, 0, 0, 2, 0.60
AFLfast,size,0,1625317519, 0, 0, 95, 95, 5, 2.59%, 0, 0, 2, 0.75
AFLfast,size,0,1625317524, 0, 0, 103, 103, 5, 2.62%, 0, 0, 2, 64.88
AFLfast,size,0,1625317529, 0, 0, 112, 112, 5, 2.63%, 0, 0, 2, 2.32
AFLfast,size,0,1625317534, 0, 0, 113, 113, 5, 2.63%, 0, 0, 2, 118.57
AFLfast,size,0,1625317540, 0, 0, 119, 119, 5, 2.64%, 0, 0, 2, 9.75
AFLfast,size,0,1625317545, 0, 0, 125, 125, 5, 2.65%, 0, 0, 2, 114.10
AFLfast,size,0,1625317550, 0, 0, 130, 130, 5, 2.65%, 0, 0, 2, 118.96
AFLfast,size,0,1625317555, 0, 0, 133, 133, 5, 2.65%, 0, 0, 2, 22.74
AFLfast,size,0,1625317560, 0, 0, 136, 136, 5, 2.66%, 0, 0, 2, 112.62
AFLfast,size,0,1625317565, 0, 0, 141, 141, 5, 2.66%, 0, 0, 2, 130.20
AFLfast,size,0,1625317570, 0, 0, 144, 144, 5, 2.66%, 0, 0, 2, 118.30
AFLfast,size,0,1625317576, 0, 0, 150, 150, 5, 2.67%, 0, 0, 2, 4.15
AFLfast,size,0,1625317581, 0, 0, 151, 151, 5, 2.67%, 0, 0, 2, 71.16
AFLfast,size,0,1625317586, 0, 0, 160, 160, 5, 2.70%, 0, 0, 2, 104.11
AFLfast,size,0,1625317591, 0, 0, 171, 171, 5, 2.82%, 0, 0, 2, 113.66
AFLfast,size,0,1625317596, 0, 0, 173, 173, 5, 2.82%, 0, 0, 2, 113.06
AFLfast,size,0,1625317601, 0, 0, 178, 178, 5, 2.83%, 0, 0, 2, 112.79
AFLfast,size,0,1625317606, 0, 0, 182, 182, 5, 2.84%, 0, 0, 2, 114.13
AFLfast,size,0,1625317612, 0, 0, 183, 183, 5, 2.84%, 0, 0, 2, 114.51
AFLfast,size,0,1625317617, 0, 0, 189, 189, 5, 2.86%, 0, 0, 2, 112.91
AFLfast,size,0,1625317622, 0, 0, 191, 191, 5, 2.86%, 0, 0, 2, 112.31
AFLfast,size,0,1625317632, 0, 0, 195, 195, 5, 2.87%, 0, 0, 2, 112.67
AFLfast,size,0,1625317637, 0, 0, 197, 197, 5, 2.87%, 0, 0, 2, 113.09
AFLfast,size,0,1625317647, 0, 0, 200, 200, 5, 2.88%, 0, 0, 2, 113.52
AFLfast,size,0,1625317653, 0, 0, 201, 201, 5, 2.88%, 0, 0, 2, 112.61
AFLfast,size,0,1625317658, 0, 0, 203, 203, 5, 2.88%, 0, 0, 2, 110.76
AFLfast,size,0,1625317663, 0, 0, 204, 204, 5, 2.89%, 0, 0, 2, 111.93
AFLfast,size,0,1625317673, 0, 0, 205, 205, 5, 2.89%, 0, 0, 2, 112.79
AFLfast,size,0,1625317678, 0, 0, 206, 206, 5, 2.89%, 0, 0, 2, 112.63
AFLfast,size,0,1625317693, 0, 0, 207, 207, 5, 2.89%, 0, 0, 2, 114.87
AFLfast,size,0,1625317703, 0, 0, 209, 209, 5, 2.90%, 0, 0, 2, 111.03
AFLfast,size,0,1625317713, 0, 0, 211, 211, 5, 2.92%, 0, 0, 2, 110.80
AFLfast,size,0,1625317719, 0, 0, 214, 214, 5, 2.93%, 0, 0, 2, 111.22
AFLfast,size,0,1625317729, 0, 0, 215, 215, 5, 2.93%, 0, 0, 2, 111.46
AFLfast,size,0,1625317739, 0, 0, 216, 216, 5, 2.93%, 0, 0, 2, 112.50
AFLfast,size,0,1625317765, 0, 0, 218, 218, 5, 2.93%, 0, 0, 2, 109.26
AFLfast,size,0,1625317770, 0, 0, 219, 219, 5, 2.93%, 0, 0, 2, 110.57
AFLfast,size,0,1625317775, 0, 0, 220, 220, 5, 2.94%, 0, 0, 2, 111.72
AFLfast,size,0,1625317780, 0, 0, 222, 222, 5, 2.94%, 0, 0, 2, 111.95
AFLfast,size,0,1625317790, 0, 0, 237, 237, 5, 2.98%, 0, 0, 2, 116.87
AFLfast,size,0,1625317796, 0, 0, 252, 252, 5, 2.99%, 0, 0, 2, 114.65
AFLfast,size,0,1625317801, 0, 0, 262, 262, 5, 3.01%, 0, 0, 2, 111.62
AFLfast,size,0,1625317806, 0, 0, 263, 263, 5, 3.01%, 0, 0, 2, 111.94
AFLfast,size,0,1625319476, 0, 0, 264, 264, 5, 3.01%, 0, 0, 2, 113.28
AFLfast,size,0,1625319487, 0, 0, 265, 265, 5, 3.01%, 0, 0, 2, 111.67
AFLfast,size,0,1625319502, 0, 0, 271, 271, 5, 3.10%, 0, 0, 2, 118.28
AFLfast,size,0,1625319507, 0, 0, 275, 275, 5, 3.11%, 0, 0, 2, 112.85
AFLfast,size,0,1625332542, 0, 0, 276, 276, 5, 3.11%, 0, 0, 2, 113.83
AFLfast,size,0,1625332549, 0, 0, 281, 281, 5, 3.13%, 0, 0, 2, 1.34
AFLfast,size,0,1625332554, 0, 0, 282, 282, 5, 3.13%, 0, 0, 2, 1.50
AFLfast,size,0,1625332564, 0, 0, 284, 284, 5, 3.14%, 0, 0, 2, 104.63
AFLfast,size,0,1625332569, 0, 0, 285, 285, 5, 3.14%, 0, 0, 2, 99.53
AFLfast,size,0,1625332580, 0, 0, 286, 286, 5, 3.14%, 0, 0, 2, 5.90
AFLfast,size,0,1625332590, 0, 0, 288, 288, 5, 3.15%, 0, 0, 2, 117.85
AFLfast,size,0,1625332595, 0, 0, 289, 289, 5, 3.15%, 0, 0, 2, 96.05
AFLfast,size,0,1625332600, 0, 0, 290, 290, 5, 3.16%, 0, 0, 2, 68.97
AFLfast,size,0,1625332605, 0, 0, 293, 293, 5, 3.16%, 0, 0, 2, 101.46
