alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,size,14,1625300923, 0, 0, 44.03
AFLfast,size,14,1625300949, 0, 0, 60.29
AFLfast,size,14,1625300954, 0, 0, 57.00
AFLfast,size,14,1625300959, 0, 0, 48.13
AFLfast,size,14,1625300964, 0, 0, 50.53
AFLfast,size,14,1625311451, 0, 0, 117.45
AFLfast,size,14,1625317820, 0, 0, 117.78
AFLfast,size,14,1625317835, 0, 0, 118.00
AFLfast,size,14,1625317840, 0, 0, 116.77
AFLfast,size,14,1625317845, 0, 0, 115.18
AFLfast,size,14,1625317850, 0, 0, 44.60
AFLfast,size,14,1625317855, 0, 0, 2.00
AFLfast,size,14,1625317861, 0, 0, 3.52
AFLfast,size,14,1625317866, 0, 0, 9.40
AFLfast,size,14,1625317885, 0, 0, 88.37
AFLfast,size,14,1625317890, 0, 0, 118.57
AFLfast,size,14,1625317895, 0, 0, 10.49
AFLfast,size,14,1625317900, 0, 0, 119.32
AFLfast,size,14,1625317905, 0, 0, 118.87
AFLfast,size,14,1625317910, 0, 0, 119.67
AFLfast,size,14,1625317915, 0, 0, 119.50
AFLfast,size,14,1625317921, 0, 0, 119.22
AFLfast,size,14,1625317926, 0, 0, 118.70
AFLfast,size,14,1625317931, 0, 0, 119.46
AFLfast,size,14,1625317936, 0, 0, 120.89
AFLfast,size,14,1625317941, 0, 0, 120.71
AFLfast,size,14,1625317956, 0, 0, 121.40
AFLfast,size,14,1625317962, 0, 0, 121.96
AFLfast,size,14,1625317967, 0, 0, 118.32
AFLfast,size,14,1625317972, 0, 0, 118.28
AFLfast,size,14,1625317977, 0, 0, 118.34
AFLfast,size,14,1625317982, 0, 0, 118.06
AFLfast,size,14,1625317987, 0, 0, 116.17
AFLfast,size,14,1625317992, 0, 0, 116.90
AFLfast,size,14,1625317998, 0, 0, 117.25
AFLfast,size,14,1625318003, 0, 0, 118.83
AFLfast,size,14,1625318013, 0, 0, 119.51
AFLfast,size,14,1625318018, 0, 0, 115.80
AFLfast,size,14,1625318028, 0, 0, 117.15
AFLfast,size,14,1625318039, 0, 0, 118.28
AFLfast,size,14,1625318049, 0, 0, 117.65
AFLfast,size,14,1625318054, 0, 0, 118.45
AFLfast,size,14,1625318059, 0, 0, 118.88
AFLfast,size,14,1625318064, 0, 0, 120.82
AFLfast,size,14,1625318069, 0, 0, 117.91
AFLfast,size,14,1625318074, 0, 0, 119.45
AFLfast,size,14,1625318923, 0, 0, 110.61
AFLfast,size,14,1625319741, 0, 0, 125.39
AFLfast,size,14,1625319746, 0, 0, 117.84
AFLfast,size,14,1625319761, 0, 0, 116.74
AFLfast,size,14,1625319766, 0, 0, 113.05
AFLfast,size,14,1625332844, 0, 0, 119.55
AFLfast,size,14,1625332849, 0, 0, 1.44
AFLfast,size,14,1625332854, 0, 0, 1.66
AFLfast,size,14,1625332859, 0, 0, 109.45
AFLfast,size,14,1625332865, 0, 0, 7.30
AFLfast,size,14,1625332870, 0, 0, 113.09
AFLfast,size,14,1625332875, 0, 0, 116.35
AFLfast,size,14,1625332880, 0, 0, 117.18
AFLfast,size,14,1625332885, 0, 0, 116.56
AFLfast,size,14,1625332890, 0, 0, 117.67
AFLfast,size,14,1625332896, 0, 0, 119.05
AFLfast,size,14,1625332901, 0, 0, 118.60
AFLfast,size,14,1625332906, 0, 0, 117.86
AFLfast,size,14,1625332911, 0, 0, 117.24
AFLfast,size,14,1625332931, 0, 0, 116.78
