alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,strings,13,1625300033, 0, 0, 7, 7, 1, 0.16%, 0, 0, 1, 1.22
AFLfast,strings,13,1625300039, 0, 4, 7, 7, 1, 0.16%, 0, 0, 1, 38.05
AFLfast,strings,13,1625300080, 0, 4, 8, 8, 1, 0.16%, 0, 0, 2, 26.18
AFLfast,strings,13,1625300455, 0, 4, 9, 9, 1, 0.16%, 0, 0, 2, 26.17
AFLfast,strings,13,1625300481, 0, 4, 10, 10, 1, 0.16%, 0, 0, 2, 26.10
AFLfast,strings,13,1625300758, 0, 4, 11, 11, 1, 0.16%, 0, 0, 2, 25.84
AFLfast,strings,13,1625301345, 0, 4, 12, 12, 1, 0.16%, 0, 0, 2, 26.11
AFLfast,strings,13,1625303263, 0, 4, 13, 13, 1, 0.16%, 0, 0, 2, 25.86
AFLfast,strings,13,1625325710, 0, 4, 30, 30, 1, 0.16%, 0, 0, 2, 50.28
AFLfast,strings,13,1625325715, 0, 4, 42, 42, 1, 0.16%, 0, 0, 2, 45.14
AFLfast,strings,13,1625325720, 0, 4, 49, 49, 1, 0.16%, 0, 0, 2, 40.41
AFLfast,strings,13,1625325725, 0, 4, 50, 50, 1, 0.16%, 0, 0, 2, 38.39
AFLfast,strings,13,1625325730, 0, 4, 54, 54, 1, 0.16%, 0, 0, 2, 39.11
AFLfast,strings,13,1625325740, 0, 4, 56, 56, 1, 0.16%, 0, 0, 2, 39.51
AFLfast,strings,13,1625325746, 0, 4, 59, 59, 1, 0.16%, 0, 0, 2, 38.15
AFLfast,strings,13,1625325771, 0, 4, 60, 60, 1, 0.16%, 0, 0, 2, 37.04
AFLfast,strings,13,1625325782, 0, 43, 60, 59, 3, 0.16%, 0, 0, 2, 48.34
AFLfast,strings,13,1625331123, 0, 49, 60, 58, 2, 0.16%, 0, 0, 2, 47.26
AFLfast,strings,13,1625342677, 0, 49, 61, 59, 2, 0.16%, 0, 0, 3, 27.57
AFLfast,strings,13,1625342692, 1, 43, 61, 58, 2, 0.16%, 0, 0, 3, 29.71
AFLfast,strings,13,1625343469, 1, 43, 63, 60, 2, 0.16%, 0, 0, 3, 34.13
AFLfast,strings,13,1625343479, 1, 43, 64, 61, 2, 0.16%, 0, 0, 3, 27.05
AFLfast,strings,13,1625343490, 1, 61, 65, 62, 3, 0.16%, 0, 0, 3, 32.59
AFLfast,strings,13,1625385319, 1, 61, 66, 63, 3, 0.16%, 0, 0, 4, 55.42
AFLfast,strings,13,1625385324, 1, 61, 68, 65, 3, 0.16%, 0, 0, 4, 48.03
AFLfast,strings,13,1625385329, 1, 61, 71, 68, 3, 0.16%, 0, 0, 4, 48.59
AFLfast,strings,13,1625385334, 1, 61, 72, 69, 3, 0.16%, 0, 0, 4, 47.26
AFLfast,strings,13,1625385350, 1, 61, 73, 70, 3, 0.16%, 0, 0, 4, 47.72
AFLfast,strings,13,1625385370, 1, 68, 73, 69, 3, 0.16%, 0, 0, 4, 57.99
