alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,strings,8,1625299942, 0, 0, 1.40
AFLfast,strings,8,1625299962, 0, 0, 55.58
AFLfast,strings,8,1625299988, 0, 0, 51.73
AFLfast,strings,8,1625300024, 0, 0, 51.18
AFLfast,strings,8,1625302633, 0, 0, 47.79
AFLfast,strings,8,1625302638, 0, 0, 45.04
AFLfast,strings,8,1625302643, 0, 0, 42.74
AFLfast,strings,8,1625302648, 0, 0, 42.16
AFLfast,strings,8,1625302653, 0, 0, 43.09
AFLfast,strings,8,1625302659, 0, 0, 42.71
AFLfast,strings,8,1625302664, 0, 0, 42.33
AFLfast,strings,8,1625302669, 0, 0, 42.73
AFLfast,strings,8,1625302685, 0, 0, 43.22
AFLfast,strings,8,1625302695, 0, 0, 48.01
AFLfast,strings,8,1625305555, 0, 0, 44.23
AFLfast,strings,8,1625305560, 0, 0, 41.12
AFLfast,strings,8,1625305611, 0, 0, 42.82
AFLfast,strings,8,1625308265, 0, 0, 94.94
AFLfast,strings,8,1625308316, 0, 0, 99.97
AFLfast,strings,8,1625308321, 0, 0, 100.92
AFLfast,strings,8,1625310956, 0, 0, 105.21
AFLfast,strings,8,1625310961, 0, 0, 98.67
AFLfast,strings,8,1625310981, 0, 0, 114.94
AFLfast,strings,8,1625311360, 0, 0, 107.48
AFLfast,strings,8,1625311366, 0, 0, 105.69
AFLfast,strings,8,1625311371, 0, 0, 104.13
AFLfast,strings,8,1625311381, 0, 0, 107.87
AFLfast,strings,8,1625312255, 0, 0, 108.89
AFLfast,strings,8,1625312260, 0, 0, 105.89
AFLfast,strings,8,1625312275, 0, 0, 105.47
AFLfast,strings,8,1625313123, 0, 0, 119.11
AFLfast,strings,8,1625313138, 0, 0, 109.31
AFLfast,strings,8,1625314441, 0, 0, 101.09
AFLfast,strings,8,1625314446, 0, 0, 96.55
AFLfast,strings,8,1625314456, 0, 0, 8.80
AFLfast,strings,8,1625342359, 0, 1, 0.12
