alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,jpegtran,11,1624949455, 0, 0, 92.91
AFLfast,jpegtran,11,1624949460, 0, 0, 123.51
AFLfast,jpegtran,11,1624949465, 0, 0, 196.28
AFLfast,jpegtran,11,1624949470, 0, 0, 228.35
AFLfast,jpegtran,11,1624949475, 0, 0, 221.91
AFLfast,jpegtran,11,1624949480, 0, 0, 234.39
AFLfast,jpegtran,11,1624949485, 0, 0, 220.95
AFLfast,jpegtran,11,1624949496, 0, 0, 238.87
AFLfast,jpegtran,11,1624949501, 0, 0, 10.54
AFLfast,jpegtran,11,1624949506, 0, 0, 173.86
AFLfast,jpegtran,11,1624949516, 0, 0, 129.82
AFLfast,jpegtran,11,1624949527, 0, 0, 113.03
AFLfast,jpegtran,11,1624949532, 0, 0, 127.69
AFLfast,jpegtran,11,1624949547, 0, 0, 123.77
AFLfast,jpegtran,11,1624949557, 0, 0, 107.88
AFLfast,jpegtran,11,1624949568, 0, 0, 114.50
AFLfast,jpegtran,11,1624949573, 0, 0, 121.31
AFLfast,jpegtran,11,1624949583, 0, 0, 115.91
AFLfast,jpegtran,11,1624949588, 0, 0, 5.31
AFLfast,jpegtran,11,1624949620, 0, 0, 92.46
AFLfast,jpegtran,11,1624949728, 0, 0, 14.71
AFLfast,jpegtran,11,1624949733, 0, 0, 220.00
AFLfast,jpegtran,11,1624949750, 0, 0, 2.98
AFLfast,jpegtran,11,1624949755, 0, 0, 206.40
AFLfast,jpegtran,11,1624949760, 0, 0, 37.74
AFLfast,jpegtran,11,1624949765, 0, 0, 112.56
AFLfast,jpegtran,11,1624949770, 0, 0, 110.99
AFLfast,jpegtran,11,1624949776, 0, 0, 13.07
AFLfast,jpegtran,11,1624949796, 0, 0, 94.10
AFLfast,jpegtran,11,1624949801, 0, 0, 98.91
AFLfast,jpegtran,11,1624949811, 0, 0, 105.00
AFLfast,jpegtran,11,1624949816, 0, 0, 84.50
AFLfast,jpegtran,11,1624949822, 0, 0, 98.17
AFLfast,jpegtran,11,1624949827, 0, 0, 106.59
AFLfast,jpegtran,11,1624949832, 0, 0, 111.26
AFLfast,jpegtran,11,1624949852, 0, 0, 11.31
AFLfast,jpegtran,11,1624949858, 0, 0, 63.59
AFLfast,jpegtran,11,1624949863, 0, 0, 76.44
AFLfast,jpegtran,11,1624949868, 0, 0, 38.67
AFLfast,jpegtran,11,1624949873, 0, 0, 94.32
AFLfast,jpegtran,11,1624949878, 0, 0, 46.29
AFLfast,jpegtran,11,1624949883, 0, 0, 14.29
AFLfast,jpegtran,11,1624949888, 0, 0, 77.52
AFLfast,jpegtran,11,1624949893, 0, 0, 70.74
AFLfast,jpegtran,11,1624949898, 0, 0, 82.45
AFLfast,jpegtran,11,1624949904, 0, 0, 110.96
AFLfast,jpegtran,11,1624949909, 0, 0, 96.80
AFLfast,jpegtran,11,1624949914, 0, 0, 66.19
AFLfast,jpegtran,11,1624949919, 0, 0, 52.80
AFLfast,jpegtran,11,1624949924, 0, 0, 65.94
AFLfast,jpegtran,11,1624949929, 0, 0, 68.04
AFLfast,jpegtran,11,1624949934, 0, 0, 92.38
AFLfast,jpegtran,11,1624949939, 0, 0, 81.18
AFLfast,jpegtran,11,1624949944, 0, 0, 94.45
AFLfast,jpegtran,11,1624949955, 0, 0, 80.79
AFLfast,jpegtran,11,1624949965, 0, 0, 88.52
AFLfast,jpegtran,11,1624949970, 0, 0, 77.97
AFLfast,jpegtran,11,1624949980, 0, 0, 47.70
AFLfast,jpegtran,11,1624950009, 0, 0, 68.88
AFLfast,jpegtran,11,1624950014, 0, 0, 113.52
AFLfast,jpegtran,11,1624950019, 0, 0, 82.13
AFLfast,jpegtran,11,1624950035, 0, 0, 80.46
AFLfast,jpegtran,11,1624950040, 0, 0, 89.37
AFLfast,jpegtran,11,1624950050, 0, 0, 101.47
AFLfast,jpegtran,11,1624950055, 0, 0, 84.44
AFLfast,jpegtran,11,1624950076, 0, 0, 119.06
AFLfast,jpegtran,11,1624950086, 0, 0, 106.47
AFLfast,jpegtran,11,1624950209, 0, 0, 96.12
AFLfast,jpegtran,11,1624950229, 0, 0, 90.55
AFLfast,jpegtran,11,1624950245, 0, 0, 34.67
AFLfast,jpegtran,11,1624950250, 0, 0, 97.45
AFLfast,jpegtran,11,1624950265, 0, 0, 5.17
AFLfast,jpegtran,11,1624950270, 0, 0, 79.84
AFLfast,jpegtran,11,1624950275, 0, 0, 104.62
AFLfast,jpegtran,11,1624950280, 0, 0, 110.82
AFLfast,jpegtran,11,1624950286, 0, 0, 45.85
AFLfast,jpegtran,11,1624950291, 0, 0, 4.94
AFLfast,jpegtran,11,1624950297, 0, 0, 24.38
AFLfast,jpegtran,11,1624950302, 0, 0, 79.51
AFLfast,jpegtran,11,1624950312, 0, 0, 83.98
AFLfast,jpegtran,11,1624950317, 0, 0, 87.04
AFLfast,jpegtran,11,1624950322, 0, 0, 88.99
AFLfast,jpegtran,11,1624950327, 0, 0, 69.15
AFLfast,jpegtran,11,1624950332, 0, 0, 61.31
AFLfast,jpegtran,11,1624950337, 0, 0, 61.57
AFLfast,jpegtran,11,1624950358, 0, 0, 83.09
AFLfast,jpegtran,11,1624950363, 0, 0, 77.10
AFLfast,jpegtran,11,1624950389, 0, 0, 59.54
AFLfast,jpegtran,11,1624950411, 0, 0, 59.37
AFLfast,jpegtran,11,1624950442, 0, 0, 67.34
AFLfast,jpegtran,11,1624950479, 0, 0, 3.40
AFLfast,jpegtran,11,1624950484, 0, 0, 5.88
AFLfast,jpegtran,11,1624950500, 0, 0, 55.76
AFLfast,jpegtran,11,1624950505, 0, 0, 55.64
AFLfast,jpegtran,11,1624950510, 0, 0, 62.28
AFLfast,jpegtran,11,1624950515, 0, 0, 59.19
AFLfast,jpegtran,11,1624950520, 0, 0, 62.50
AFLfast,jpegtran,11,1624950546, 0, 0, 54.84
AFLfast,jpegtran,11,1624950566, 0, 0, 62.91
AFLfast,jpegtran,11,1624950571, 0, 0, 64.62
AFLfast,jpegtran,11,1624950750, 0, 0, 9.94
AFLfast,jpegtran,11,1624950802, 0, 0, 54.63
AFLfast,jpegtran,11,1624950807, 0, 0, 3.82
AFLfast,jpegtran,11,1624950812, 0, 0, 41.18
AFLfast,jpegtran,11,1624950879, 0, 0, 35.37
AFLfast,jpegtran,11,1624950913, 0, 0, 46.68
AFLfast,jpegtran,11,1624950928, 0, 0, 8.30
AFLfast,jpegtran,11,1624950934, 0, 0, 56.77
AFLfast,jpegtran,11,1624950954, 0, 0, 44.50
AFLfast,jpegtran,11,1624951058, 0, 0, 26.43
AFLfast,jpegtran,11,1624951063, 0, 0, 48.57
AFLfast,jpegtran,11,1624951083, 0, 0, 53.56
AFLfast,jpegtran,11,1624951104, 0, 0, 52.62
AFLfast,jpegtran,11,1624951263, 0, 0, 36.57
AFLfast,jpegtran,11,1624951284, 0, 0, 68.34
AFLfast,jpegtran,11,1624951289, 0, 0, 30.26
AFLfast,jpegtran,11,1624951294, 0, 0, 38.64
AFLfast,jpegtran,11,1624951299, 0, 0, 43.15
AFLfast,jpegtran,11,1624951304, 0, 0, 43.55
AFLfast,jpegtran,11,1624951309, 0, 0, 44.13
AFLfast,jpegtran,11,1624951315, 0, 0, 42.41
AFLfast,jpegtran,11,1624951325, 0, 0, 61.19
AFLfast,jpegtran,11,1624951330, 0, 0, 57.40
AFLfast,jpegtran,11,1624951335, 0, 0, 34.27
AFLfast,jpegtran,11,1624951340, 0, 0, 44.37
AFLfast,jpegtran,11,1624951345, 0, 0, 47.46
AFLfast,jpegtran,11,1624951356, 0, 0, 46.06
AFLfast,jpegtran,11,1624951366, 0, 0, 37.68
AFLfast,jpegtran,11,1624951371, 0, 0, 36.99
AFLfast,jpegtran,11,1624951376, 0, 0, 66.41
AFLfast,jpegtran,11,1624951381, 0, 0, 60.50
AFLfast,jpegtran,11,1624951386, 0, 0, 50.61
AFLfast,jpegtran,11,1624951402, 0, 0, 37.21
AFLfast,jpegtran,11,1624951418, 0, 0, 48.70
AFLfast,jpegtran,11,1624951428, 0, 0, 37.92
AFLfast,jpegtran,11,1624951433, 0, 0, 42.72
AFLfast,jpegtran,11,1624951459, 0, 0, 32.38
AFLfast,jpegtran,11,1624951480, 0, 0, 54.61
AFLfast,jpegtran,11,1624951490, 0, 0, 59.25
AFLfast,jpegtran,11,1624951495, 0, 0, 84.01
AFLfast,jpegtran,11,1624951500, 0, 0, 65.04
AFLfast,jpegtran,11,1624951516, 0, 0, 56.98
AFLfast,jpegtran,11,1624951521, 0, 0, 52.25
AFLfast,jpegtran,11,1624951526, 0, 0, 55.36
AFLfast,jpegtran,11,1624951531, 0, 0, 60.64
AFLfast,jpegtran,11,1624951536, 0, 0, 51.81
AFLfast,jpegtran,11,1624951582, 0, 0, 58.01
AFLfast,jpegtran,11,1624951598, 0, 0, 78.61
AFLfast,jpegtran,11,1624951623, 0, 0, 73.06
AFLfast,jpegtran,11,1624951628, 0, 0, 60.58
AFLfast,jpegtran,11,1624951633, 0, 0, 62.69
AFLfast,jpegtran,11,1624951639, 0, 0, 38.52
AFLfast,jpegtran,11,1624951665, 0, 0, 42.98
AFLfast,jpegtran,11,1624951680, 0, 0, 82.50
AFLfast,jpegtran,11,1624951701, 0, 0, 80.97
AFLfast,jpegtran,11,1624951706, 0, 0, 100.60
AFLfast,jpegtran,11,1624951747, 0, 0, 46.31
AFLfast,jpegtran,11,1624951778, 0, 0, 67.88
AFLfast,jpegtran,11,1624951783, 0, 0, 71.02
AFLfast,jpegtran,11,1624951860, 0, 0, 10.84
AFLfast,jpegtran,11,1624951865, 0, 0, 13.38
AFLfast,jpegtran,11,1624951870, 0, 0, 81.04
AFLfast,jpegtran,11,1624951875, 0, 0, 81.78
AFLfast,jpegtran,11,1624952013, 0, 0, 70.65
AFLfast,jpegtran,11,1624952034, 0, 0, 59.34
AFLfast,jpegtran,11,1624952085, 0, 0, 75.84
AFLfast,jpegtran,11,1624952187, 0, 0, 52.01
AFLfast,jpegtran,11,1624952208, 0, 0, 11.48
AFLfast,jpegtran,11,1624952213, 0, 0, 60.90
AFLfast,jpegtran,11,1624952218, 0, 0, 42.00
AFLfast,jpegtran,11,1624952223, 0, 0, 31.10
AFLfast,jpegtran,11,1624952244, 0, 0, 51.31
AFLfast,jpegtran,11,1624952260, 0, 0, 40.43
AFLfast,jpegtran,11,1624952317, 0, 0, 38.43
AFLfast,jpegtran,11,1624952322, 0, 0, 63.03
AFLfast,jpegtran,11,1624952337, 0, 0, 39.99
AFLfast,jpegtran,11,1624952358, 0, 0, 51.68
AFLfast,jpegtran,11,1624952363, 0, 0, 45.78
