alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,jpegtran,7,1624949210, 0, 0, 46, 46, 29, 2.66%, 0, 0, 1, 103.43
AFLfast,jpegtran,7,1624949215, 0, 1, 48, 47, 30, 2.67%, 0, 0, 2, 281.92
AFLfast,jpegtran,7,1624949220, 0, 1, 58, 57, 30, 2.68%, 0, 0, 2, 235.82
AFLfast,jpegtran,7,1624949226, 0, 1, 71, 70, 30, 2.73%, 0, 0, 2, 291.02
AFLfast,jpegtran,7,1624949231, 0, 1, 84, 83, 30, 2.75%, 0, 0, 2, 264.79
AFLfast,jpegtran,7,1624949236, 0, 1, 89, 88, 30, 2.76%, 0, 0, 2, 230.34
AFLfast,jpegtran,7,1624949246, 0, 1, 91, 90, 30, 2.76%, 0, 0, 2, 200.54
AFLfast,jpegtran,7,1624949251, 0, 1, 93, 92, 30, 2.77%, 0, 0, 2, 236.79
AFLfast,jpegtran,7,1624949261, 0, 1, 100, 99, 30, 2.78%, 0, 0, 2, 241.76
AFLfast,jpegtran,7,1624949267, 0, 1, 103, 102, 30, 2.78%, 0, 0, 2, 197.27
AFLfast,jpegtran,7,1624949277, 0, 1, 104, 103, 30, 2.78%, 0, 0, 2, 11.67
AFLfast,jpegtran,7,1624949338, 0, 1, 110, 109, 30, 2.78%, 0, 0, 2, 24.96
AFLfast,jpegtran,7,1624949348, 0, 1, 114, 113, 30, 2.78%, 0, 0, 2, 192.81
AFLfast,jpegtran,7,1624949364, 0, 1, 115, 114, 30, 2.78%, 0, 0, 2, 36.79
AFLfast,jpegtran,7,1624949374, 0, 1, 116, 115, 30, 2.78%, 0, 0, 2, 146.24
AFLfast,jpegtran,7,1624949379, 0, 1, 117, 116, 30, 2.78%, 0, 0, 2, 49.66
AFLfast,jpegtran,7,1624949384, 0, 1, 119, 118, 30, 2.78%, 0, 0, 2, 132.16
AFLfast,jpegtran,7,1624949389, 0, 1, 122, 121, 30, 2.78%, 0, 0, 2, 80.14
AFLfast,jpegtran,7,1624949394, 0, 1, 123, 122, 30, 2.78%, 0, 0, 2, 4.62
AFLfast,jpegtran,7,1624949399, 0, 1, 127, 126, 30, 2.79%, 0, 0, 2, 96.41
AFLfast,jpegtran,7,1624949404, 0, 1, 128, 127, 30, 2.80%, 0, 0, 2, 111.28
AFLfast,jpegtran,7,1624949409, 0, 1, 130, 129, 30, 2.80%, 0, 0, 2, 16.88
AFLfast,jpegtran,7,1624949414, 0, 1, 132, 131, 30, 2.80%, 0, 0, 2, 95.88
AFLfast,jpegtran,7,1624949425, 0, 1, 134, 133, 30, 2.80%, 0, 0, 2, 98.40
AFLfast,jpegtran,7,1624949435, 0, 1, 137, 136, 30, 2.80%, 0, 0, 2, 89.91
AFLfast,jpegtran,7,1624949461, 0, 1, 138, 137, 30, 2.80%, 0, 0, 2, 75.30
AFLfast,jpegtran,7,1624949466, 0, 1, 139, 138, 30, 2.80%, 0, 0, 2, 78.08
AFLfast,jpegtran,7,1624949471, 0, 1, 140, 139, 30, 2.80%, 0, 0, 2, 82.41
AFLfast,jpegtran,7,1624949481, 0, 1, 142, 141, 30, 2.81%, 0, 0, 2, 21.24
AFLfast,jpegtran,7,1624949502, 0, 1, 144, 143, 30, 2.81%, 0, 0, 2, 121.53
AFLfast,jpegtran,7,1624949507, 0, 1, 146, 145, 30, 2.81%, 0, 0, 2, 115.97
AFLfast,jpegtran,7,1624949517, 0, 1, 147, 146, 30, 2.81%, 0, 0, 2, 85.29
AFLfast,jpegtran,7,1624949522, 0, 1, 148, 147, 30, 2.81%, 0, 0, 2, 69.78
AFLfast,jpegtran,7,1624949527, 0, 1, 150, 149, 30, 2.81%, 0, 0, 2, 78.49
AFLfast,jpegtran,7,1624949532, 0, 1, 151, 150, 30, 2.82%, 0, 0, 2, 86.07
AFLfast,jpegtran,7,1624949548, 0, 1, 153, 152, 30, 2.82%, 0, 0, 2, 74.25
AFLfast,jpegtran,7,1624949558, 0, 1, 154, 153, 30, 2.82%, 0, 0, 2, 82.05
AFLfast,jpegtran,7,1624949563, 0, 1, 156, 155, 30, 2.82%, 0, 0, 2, 83.49
AFLfast,jpegtran,7,1624949594, 0, 1, 158, 157, 30, 2.82%, 0, 0, 2, 97.28
AFLfast,jpegtran,7,1624949619, 0, 1, 159, 158, 30, 2.82%, 0, 0, 2, 97.67
AFLfast,jpegtran,7,1624949630, 0, 1, 160, 159, 30, 2.82%, 0, 0, 2, 89.99
AFLfast,jpegtran,7,1624949662, 0, 1, 162, 161, 30, 2.82%, 0, 0, 2, 19.10
AFLfast,jpegtran,7,1624949667, 0, 1, 163, 162, 30, 2.82%, 0, 0, 2, 40.02
AFLfast,jpegtran,7,1624949704, 0, 12, 164, 162, 61, 2.82%, 0, 0, 2, 86.47
AFLfast,jpegtran,7,1624949709, 0, 12, 167, 165, 61, 2.82%, 0, 0, 2, 17.42
AFLfast,jpegtran,7,1624949752, 0, 12, 170, 168, 61, 2.82%, 0, 0, 2, 95.54
AFLfast,jpegtran,7,1624949757, 0, 12, 173, 171, 61, 2.83%, 0, 0, 2, 109.92
AFLfast,jpegtran,7,1624949762, 0, 12, 177, 175, 61, 2.83%, 0, 0, 2, 92.88
AFLfast,jpegtran,7,1624949768, 0, 12, 181, 179, 61, 2.83%, 0, 0, 2, 81.25
AFLfast,jpegtran,7,1624949773, 0, 12, 183, 181, 61, 2.83%, 0, 0, 2, 73.91
AFLfast,jpegtran,7,1624949778, 0, 12, 184, 182, 61, 2.83%, 0, 0, 2, 90.51
AFLfast,jpegtran,7,1624949783, 0, 12, 185, 183, 61, 2.83%, 0, 0, 2, 76.55
AFLfast,jpegtran,7,1624949793, 0, 12, 187, 185, 61, 2.83%, 0, 0, 2, 14.12
AFLfast,jpegtran,7,1624949798, 0, 12, 190, 188, 61, 2.83%, 0, 0, 2, 75.26
AFLfast,jpegtran,7,1624949809, 0, 12, 192, 190, 61, 2.83%, 0, 0, 2, 69.80
AFLfast,jpegtran,7,1624949814, 0, 12, 194, 192, 61, 2.83%, 0, 0, 2, 66.24
AFLfast,jpegtran,7,1624949829, 0, 12, 195, 193, 61, 2.83%, 0, 0, 2, 68.18
AFLfast,jpegtran,7,1624949834, 0, 12, 196, 194, 61, 2.83%, 0, 0, 2, 68.72
AFLfast,jpegtran,7,1624949839, 0, 12, 197, 195, 61, 2.83%, 0, 0, 2, 53.36
AFLfast,jpegtran,7,1624949850, 0, 12, 198, 196, 61, 2.85%, 0, 0, 2, 58.92
AFLfast,jpegtran,7,1624949855, 0, 12, 199, 197, 61, 2.85%, 0, 0, 2, 65.33
AFLfast,jpegtran,7,1624949875, 0, 12, 200, 198, 61, 2.85%, 0, 0, 2, 61.99
AFLfast,jpegtran,7,1624949891, 0, 12, 201, 199, 61, 2.85%, 0, 0, 2, 64.81
AFLfast,jpegtran,7,1624949922, 0, 12, 202, 200, 61, 2.85%, 0, 0, 2, 66.71
AFLfast,jpegtran,7,1624949932, 0, 12, 203, 201, 61, 2.85%, 0, 0, 2, 67.27
AFLfast,jpegtran,7,1624949942, 0, 12, 204, 202, 61, 2.85%, 0, 0, 2, 87.80
AFLfast,jpegtran,7,1624949953, 0, 12, 205, 203, 61, 2.85%, 0, 0, 2, 69.04
AFLfast,jpegtran,7,1624949973, 0, 12, 206, 204, 61, 2.85%, 0, 0, 2, 74.60
AFLfast,jpegtran,7,1624949978, 0, 12, 207, 205, 61, 2.85%, 0, 0, 2, 70.15
AFLfast,jpegtran,7,1624949988, 0, 12, 208, 206, 61, 2.85%, 0, 0, 2, 87.58
AFLfast,jpegtran,7,1624950019, 0, 12, 209, 207, 61, 2.85%, 0, 0, 2, 78.21
AFLfast,jpegtran,7,1624950024, 0, 12, 211, 209, 61, 2.85%, 0, 0, 2, 122.05
AFLfast,jpegtran,7,1624950045, 0, 12, 212, 210, 61, 2.85%, 0, 0, 2, 61.53
