alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pngtest,13,1626434050, 0, 0, 86.64
AFLfast,pngtest,13,1626434055, 0, 0, 103.88
AFLfast,pngtest,13,1626434065, 0, 0, 108.12
AFLfast,pngtest,13,1626434071, 0, 0, 104.50
AFLfast,pngtest,13,1626434106, 0, 0, 104.54
AFLfast,pngtest,13,1626434117, 0, 0, 105.40
AFLfast,pngtest,13,1626434142, 0, 0, 94.48
AFLfast,pngtest,13,1626434173, 0, 0, 94.35
AFLfast,pngtest,13,1626434183, 0, 0, 96.10
AFLfast,pngtest,13,1626434219, 0, 0, 94.50
AFLfast,pngtest,13,1626434224, 0, 0, 93.82
AFLfast,pngtest,13,1626434235, 0, 0, 94.52
AFLfast,pngtest,13,1626434255, 0, 0, 95.96
AFLfast,pngtest,13,1626434260, 0, 0, 95.09
AFLfast,pngtest,13,1626434265, 0, 0, 91.79
AFLfast,pngtest,13,1626434270, 0, 0, 90.79
AFLfast,pngtest,13,1626434281, 0, 0, 90.40
AFLfast,pngtest,13,1626434332, 0, 0, 86.83
AFLfast,pngtest,13,1626434358, 0, 0, 87.89
AFLfast,pngtest,13,1626434363, 0, 0, 82.80
AFLfast,pngtest,13,1626434378, 0, 0, 87.94
AFLfast,pngtest,13,1626434383, 0, 0, 88.94
AFLfast,pngtest,13,1626434409, 0, 0, 88.29
AFLfast,pngtest,13,1626434414, 0, 0, 89.02
AFLfast,pngtest,13,1626434460, 0, 0, 88.62
AFLfast,pngtest,13,1626434490, 0, 0, 87.48
AFLfast,pngtest,13,1626434501, 0, 0, 81.60
AFLfast,pngtest,13,1626434506, 0, 0, 63.94
AFLfast,pngtest,13,1626434562, 0, 0, 46.23
AFLfast,pngtest,13,1626434572, 0, 0, 62.99
AFLfast,pngtest,13,1626434577, 0, 0, 53.12
AFLfast,pngtest,13,1626434582, 0, 0, 50.21
AFLfast,pngtest,13,1626434592, 0, 0, 47.11
AFLfast,pngtest,13,1626434598, 0, 0, 45.59
AFLfast,pngtest,13,1626434608, 0, 0, 41.99
AFLfast,pngtest,13,1626434613, 0, 0, 42.53
AFLfast,pngtest,13,1626434618, 0, 0, 45.77
AFLfast,pngtest,13,1626434628, 0, 0, 47.04
AFLfast,pngtest,13,1626434869, 0, 0, 35.47
AFLfast,pngtest,13,1626434874, 0, 0, 33.98
AFLfast,pngtest,13,1626436480, 0, 0, 24.11
AFLfast,pngtest,13,1626436643, 0, 0, 29.55
AFLfast,pngtest,13,1626436648, 0, 0, 28.07
AFLfast,pngtest,13,1626437066, 0, 0, 30.00
AFLfast,pngtest,13,1626438050, 0, 0, 24.84
AFLfast,pngtest,13,1626438540, 0, 0, 42.38
AFLfast,pngtest,13,1626438550, 0, 0, 40.09
AFLfast,pngtest,13,1626438571, 0, 0, 37.98
AFLfast,pngtest,13,1626438586, 0, 0, 39.61
AFLfast,pngtest,13,1626438592, 0, 0, 35.12
AFLfast,pngtest,13,1626438668, 0, 0, 23.71
AFLfast,pngtest,13,1626438770, 0, 0, 22.79
AFLfast,pngtest,13,1626438781, 0, 0, 38.61
AFLfast,pngtest,13,1626438812, 0, 0, 41.79
AFLfast,pngtest,13,1626438817, 0, 0, 38.52
AFLfast,pngtest,13,1626438837, 0, 0, 41.86
AFLfast,pngtest,13,1626438847, 0, 0, 40.10
AFLfast,pngtest,13,1626438853, 0, 0, 41.44
AFLfast,pngtest,13,1626438883, 0, 0, 40.89
AFLfast,pngtest,13,1626438919, 0, 0, 39.79
AFLfast,pngtest,13,1626438945, 0, 0, 39.95
AFLfast,pngtest,13,1626438955, 0, 0, 39.85
AFLfast,pngtest,13,1626439108, 0, 0, 40.04
AFLfast,pngtest,13,1626439119, 0, 0, 40.22
AFLfast,pngtest,13,1626439170, 0, 0, 40.92
AFLfast,pngtest,13,1626439180, 0, 0, 52.48
AFLfast,pngtest,13,1626439195, 0, 0, 47.32
AFLfast,pngtest,13,1626440026, 0, 0, 48.51
AFLfast,pngtest,13,1626440036, 0, 0, 47.87
AFLfast,pngtest,13,1626440159, 0, 0, 46.52
AFLfast,pngtest,13,1626440164, 0, 0, 47.05
AFLfast,pngtest,13,1626440174, 0, 0, 46.80
AFLfast,pngtest,13,1626440246, 0, 0, 47.04
AFLfast,pngtest,13,1626440287, 0, 0, 46.64
AFLfast,pngtest,13,1626440394, 0, 0, 47.13
AFLfast,pngtest,13,1626440420, 0, 0, 45.71
AFLfast,pngtest,13,1626440471, 0, 0, 48.00
AFLfast,pngtest,13,1626441164, 0, 0, 47.94
AFLfast,pngtest,13,1626441293, 0, 0, 46.29
AFLfast,pngtest,13,1626441319, 0, 0, 45.74
AFLfast,pngtest,13,1626441334, 0, 0, 33.87
AFLfast,pngtest,13,1626441446, 0, 0, 36.13
AFLfast,pngtest,13,1626441451, 0, 0, 29.36
AFLfast,pngtest,13,1626441461, 0, 0, 27.71
AFLfast,pngtest,13,1626441477, 0, 0, 25.96
AFLfast,pngtest,13,1626441513, 0, 0, 26.47
AFLfast,pngtest,13,1626441528, 0, 0, 30.23
AFLfast,pngtest,13,1626445920, 0, 0, 22.75
AFLfast,pngtest,13,1626445962, 0, 0, 35.98
AFLfast,pngtest,13,1626445967, 0, 0, 33.82
AFLfast,pngtest,13,1626446018, 0, 0, 35.94
AFLfast,pngtest,13,1626446273, 0, 0, 46.50
AFLfast,pngtest,13,1626447990, 0, 0, 46.94
AFLfast,pngtest,13,1626448026, 0, 0, 46.32
AFLfast,pngtest,13,1626448077, 0, 0, 45.32
AFLfast,pngtest,13,1626448113, 0, 0, 42.70
AFLfast,pngtest,13,1626451667, 0, 0, 37.42
AFLfast,pngtest,13,1626451759, 0, 0, 32.01
AFLfast,pngtest,13,1626451831, 0, 0, 30.58
AFLfast,pngtest,13,1626455267, 0, 0, 37.29
AFLfast,pngtest,13,1626456185, 0, 0, 46.48
AFLfast,pngtest,13,1626456200, 0, 0, 49.43
AFLfast,pngtest,13,1626456416, 0, 0, 48.04
AFLfast,pngtest,13,1626457467, 0, 0, 44.22
AFLfast,pngtest,13,1626457594, 0, 0, 35.03
AFLfast,pngtest,13,1626457655, 0, 0, 23.68
AFLfast,pngtest,13,1626461036, 0, 0, 39.60
AFLfast,pngtest,13,1626461220, 0, 0, 24.21
AFLfast,pngtest,13,1626464556, 0, 0, 35.39
AFLfast,pngtest,13,1626464744, 0, 0, 23.48
AFLfast,pngtest,13,1626468110, 0, 0, 33.43
AFLfast,pngtest,13,1626468115, 0, 0, 33.57
AFLfast,pngtest,13,1626468192, 0, 0, 40.35
AFLfast,pngtest,13,1626468329, 0, 0, 26.33
AFLfast,pngtest,13,1626468381, 0, 0, 24.08
AFLfast,pngtest,13,1626471759, 0, 0, 44.22
AFLfast,pngtest,13,1626471887, 0, 0, 29.54
AFLfast,pngtest,13,1626471892, 0, 0, 27.32
AFLfast,pngtest,13,1626471897, 0, 0, 26.81
AFLfast,pngtest,13,1626471907, 0, 0, 26.74
AFLfast,pngtest,13,1626471943, 0, 0, 31.04
AFLfast,pngtest,13,1626474216, 0, 0, 27.21
AFLfast,pngtest,13,1626474812, 0, 0, 27.07
AFLfast,pngtest,13,1626475630, 0, 0, 26.66
AFLfast,pngtest,13,1626475910, 0, 0, 43.33
AFLfast,pngtest,13,1626475982, 0, 0, 47.55
AFLfast,pngtest,13,1626477660, 0, 0, 45.64
AFLfast,pngtest,13,1626477706, 0, 0, 42.02
AFLfast,pngtest,13,1626477834, 0, 0, 39.84
AFLfast,pngtest,13,1626477910, 0, 0, 23.45
AFLfast,pngtest,13,1626477915, 0, 0, 23.72
AFLfast,pngtest,13,1626477920, 0, 0, 23.85
AFLfast,pngtest,13,1626477925, 0, 0, 23.56
AFLfast,pngtest,13,1626481943, 0, 0, 23.73
AFLfast,pngtest,13,1626481968, 0, 0, 23.80
AFLfast,pngtest,13,1626482045, 0, 0, 34.54
AFLfast,pngtest,13,1626482240, 0, 0, 24.27
AFLfast,pngtest,13,1626482261, 0, 0, 23.90
AFLfast,pngtest,13,1626486331, 0, 0, 0.00
AFLfast,pngtest,13,1626486372, 0, 0, 46.90
AFLfast,pngtest,13,1626486490, 0, 0, 41.06
AFLfast,pngtest,13,1626486495, 0, 0, 33.09
AFLfast,pngtest,13,1626490511, 0, 0, 36.44
AFLfast,pngtest,13,1626490720, 0, 0, 23.69
AFLfast,pngtest,13,1626490730, 0, 0, 23.53
AFLfast,pngtest,13,1626494817, 0, 0, 43.55
AFLfast,pngtest,13,1626494828, 0, 0, 49.31
AFLfast,pngtest,13,1626494833, 0, 0, 49.63
AFLfast,pngtest,13,1626494991, 0, 0, 47.95
AFLfast,pngtest,13,1626495027, 0, 0, 49.18
AFLfast,pngtest,13,1626495038, 0, 0, 48.45
AFLfast,pngtest,13,1626495043, 0, 0, 49.69
AFLfast,pngtest,13,1626495089, 0, 0, 51.15
AFLfast,pngtest,13,1626495094, 0, 0, 50.23
AFLfast,pngtest,13,1626495160, 0, 0, 48.01
AFLfast,pngtest,13,1626495298, 0, 0, 46.89
AFLfast,pngtest,13,1626495529, 0, 0, 21.02
AFLfast,pngtest,13,1626495656, 0, 0, 36.75
AFLfast,pngtest,13,1626495662, 0, 0, 29.54
AFLfast,pngtest,13,1626500091, 0, 0, 41.54
AFLfast,pngtest,13,1626502086, 0, 0, 45.85
AFLfast,pngtest,13,1626502116, 0, 0, 46.43
AFLfast,pngtest,13,1626502305, 0, 0, 28.35
AFLfast,pngtest,13,1626505673, 0, 0, 37.22
AFLfast,pngtest,13,1626505693, 0, 0, 48.45
AFLfast,pngtest,13,1626506067, 0, 0, 48.28
AFLfast,pngtest,13,1626506072, 0, 0, 46.93
AFLfast,pngtest,13,1626506114, 0, 0, 45.24
AFLfast,pngtest,13,1626506139, 0, 0, 44.82
AFLfast,pngtest,13,1626506165, 0, 0, 45.65
AFLfast,pngtest,13,1626506360, 0, 0, 44.85
AFLfast,pngtest,13,1626506380, 0, 0, 45.30
AFLfast,pngtest,13,1626506437, 0, 0, 49.47
AFLfast,pngtest,13,1626506458, 0, 0, 48.05
AFLfast,pngtest,13,1626506667, 0, 0, 45.14
AFLfast,pngtest,13,1626506708, 0, 0, 44.92
AFLfast,pngtest,13,1626507251, 0, 0, 46.55
AFLfast,pngtest,13,1626507282, 0, 0, 48.89
AFLfast,pngtest,13,1626509062, 0, 0, 46.53
AFLfast,pngtest,13,1626509842, 0, 0, 44.39
AFLfast,pngtest,13,1626509954, 0, 0, 50.42
AFLfast,pngtest,13,1626510681, 0, 0, 48.53
AFLfast,pngtest,13,1626510758, 0, 0, 44.60
AFLfast,pngtest,13,1626511558, 0, 0, 48.32
AFLfast,pngtest,13,1626511651, 0, 0, 48.38
AFLfast,pngtest,13,1626512623, 0, 0, 51.37
AFLfast,pngtest,13,1626512762, 0, 0, 31.75
AFLfast,pngtest,13,1626515474, 0, 0, 46.90
AFLfast,pngtest,13,1626516103, 0, 0, 48.42
AFLfast,pngtest,13,1626516912, 0, 0, 47.21
AFLfast,pngtest,13,1626517143, 0, 0, 45.63
AFLfast,pngtest,13,1626517214, 0, 0, 47.65
AFLfast,pngtest,13,1626517230, 0, 0, 45.51
AFLfast,pngtest,13,1626517245, 0, 0, 30.41
AFLfast,pngtest,13,1626517337, 0, 0, 27.50
AFLfast,pngtest,13,1626517363, 0, 0, 28.54
