alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pngtest,7,1626433418, 0, 0, 21, 21, 17, 2.66%, 0, 0, 1, 128.54
AFLfast,pngtest,7,1626433423, 0, 0, 31, 31, 17, 2.69%, 0, 0, 2, 182.22
AFLfast,pngtest,7,1626433429, 0, 0, 33, 33, 17, 2.69%, 0, 0, 2, 191.41
AFLfast,pngtest,7,1626433434, 0, 0, 36, 36, 17, 2.71%, 0, 0, 2, 194.37
AFLfast,pngtest,7,1626433470, 0, 1, 40, 39, 28, 2.72%, 0, 0, 2, 170.19
AFLfast,pngtest,7,1626433505, 0, 1, 42, 41, 28, 2.73%, 0, 0, 2, 166.23
AFLfast,pngtest,7,1626433521, 0, 2, 42, 40, 33, 2.73%, 0, 0, 2, 170.12
AFLfast,pngtest,7,1626433531, 0, 6, 43, 40, 32, 2.73%, 0, 0, 2, 159.82
AFLfast,pngtest,7,1626433536, 0, 6, 45, 42, 32, 2.74%, 0, 0, 2, 101.27
AFLfast,pngtest,7,1626433567, 0, 6, 50, 47, 32, 2.78%, 0, 0, 2, 78.06
AFLfast,pngtest,7,1626433572, 0, 6, 61, 58, 32, 2.83%, 0, 0, 2, 108.31
AFLfast,pngtest,7,1626433577, 0, 6, 72, 69, 32, 2.86%, 0, 0, 2, 89.29
AFLfast,pngtest,7,1626433582, 0, 6, 89, 86, 32, 2.91%, 0, 0, 2, 92.43
AFLfast,pngtest,7,1626433587, 0, 6, 101, 98, 32, 2.91%, 0, 0, 2, 83.48
AFLfast,pngtest,7,1626433592, 0, 6, 102, 99, 32, 2.91%, 0, 0, 2, 80.63
AFLfast,pngtest,7,1626433597, 0, 6, 105, 102, 32, 2.93%, 0, 0, 2, 79.42
AFLfast,pngtest,7,1626433603, 0, 6, 107, 104, 32, 2.93%, 0, 0, 2, 83.13
AFLfast,pngtest,7,1626433710, 0, 6, 109, 106, 32, 2.94%, 0, 0, 2, 79.51
AFLfast,pngtest,7,1626434525, 0, 6, 110, 107, 32, 2.94%, 0, 0, 2, 48.65
AFLfast,pngtest,7,1626434530, 0, 6, 111, 108, 32, 2.94%, 0, 0, 2, 45.46
AFLfast,pngtest,7,1626435684, 0, 6, 112, 109, 32, 2.94%, 0, 0, 2, 24.74
AFLfast,pngtest,7,1626436174, 0, 6, 114, 111, 32, 2.95%, 0, 0, 2, 24.04
AFLfast,pngtest,7,1626436180, 0, 6, 117, 114, 32, 2.96%, 0, 0, 2, 28.92
AFLfast,pngtest,7,1626436200, 0, 6, 118, 115, 32, 2.96%, 0, 0, 2, 35.05
AFLfast,pngtest,7,1626436205, 0, 6, 119, 116, 32, 2.96%, 0, 0, 2, 34.65
AFLfast,pngtest,7,1626436404, 0, 6, 120, 117, 32, 2.96%, 0, 0, 2, 33.42
AFLfast,pngtest,7,1626437132, 0, 11, 120, 116, 58, 2.96%, 0, 0, 2, 46.54
AFLfast,pngtest,7,1626437138, 0, 11, 121, 117, 58, 2.96%, 0, 0, 2, 49.17
AFLfast,pngtest,7,1626438413, 0, 13, 121, 116, 58, 2.96%, 0, 0, 2, 38.85
AFLfast,pngtest,7,1626438418, 0, 13, 122, 117, 58, 2.96%, 0, 0, 2, 47.30
AFLfast,pngtest,7,1626438428, 0, 13, 124, 119, 58, 2.96%, 0, 0, 2, 35.20
AFLfast,pngtest,7,1626438434, 0, 13, 125, 120, 58, 2.96%, 0, 0, 2, 29.17
AFLfast,pngtest,7,1626438454, 0, 13, 134, 129, 58, 2.97%, 0, 0, 2, 26.59
AFLfast,pngtest,7,1626438459, 0, 13, 137, 132, 58, 2.97%, 0, 0, 2, 26.33
AFLfast,pngtest,7,1626438494, 0, 13, 138, 133, 58, 2.97%, 0, 0, 2, 33.95
AFLfast,pngtest,7,1626438500, 0, 13, 139, 134, 58, 2.97%, 0, 0, 2, 28.80
