alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,tiffsplit,7,1625119316, 0, 0, 56.09
AFLfast,tiffsplit,7,1625119321, 0, 0, 57.49
AFLfast,tiffsplit,7,1625119327, 0, 0, 43.88
AFLfast,tiffsplit,7,1625119332, 0, 0, 39.39
AFLfast,tiffsplit,7,1625119337, 0, 0, 38.26
AFLfast,tiffsplit,7,1625119368, 0, 0, 21.56
AFLfast,tiffsplit,7,1625119378, 0, 0, 20.86
AFLfast,tiffsplit,7,1625119393, 0, 0, 22.34
AFLfast,tiffsplit,7,1625119414, 0, 0, 21.79
AFLfast,tiffsplit,7,1625119444, 0, 0, 20.71
AFLfast,tiffsplit,7,1625119506, 0, 0, 41.70
AFLfast,tiffsplit,7,1625119552, 0, 0, 34.03
AFLfast,tiffsplit,7,1625119629, 0, 0, 41.62
AFLfast,tiffsplit,7,1625119783, 0, 0, 56.06
AFLfast,tiffsplit,7,1625119819, 0, 0, 30.90
AFLfast,tiffsplit,7,1625119952, 0, 0, 30.35
AFLfast,tiffsplit,7,1625120008, 0, 0, 29.12
AFLfast,tiffsplit,7,1625120250, 0, 0, 28.81
AFLfast,tiffsplit,7,1625120789, 0, 0, 28.55
AFLfast,tiffsplit,7,1625120927, 0, 0, 28.49
AFLfast,tiffsplit,7,1625120938, 0, 0, 28.24
AFLfast,tiffsplit,7,1625120958, 0, 0, 27.51
AFLfast,tiffsplit,7,1625120994, 0, 0, 32.75
AFLfast,tiffsplit,7,1625121004, 0, 0, 29.09
AFLfast,tiffsplit,7,1625121009, 0, 0, 27.30
AFLfast,tiffsplit,7,1625121024, 0, 0, 26.67
AFLfast,tiffsplit,7,1625121039, 0, 0, 27.99
AFLfast,tiffsplit,7,1625121055, 0, 0, 27.30
AFLfast,tiffsplit,7,1625121101, 0, 0, 27.47
AFLfast,tiffsplit,7,1625121152, 0, 0, 26.03
AFLfast,tiffsplit,7,1625121214, 0, 0, 25.55
AFLfast,tiffsplit,7,1625121245, 0, 0, 25.97
AFLfast,tiffsplit,7,1625121265, 0, 0, 26.97
AFLfast,tiffsplit,7,1625121286, 0, 0, 24.91
AFLfast,tiffsplit,7,1625121301, 0, 0, 26.14
AFLfast,tiffsplit,7,1625121306, 0, 0, 26.80
AFLfast,tiffsplit,7,1625121311, 0, 0, 27.03
AFLfast,tiffsplit,7,1625121317, 0, 0, 26.44
AFLfast,tiffsplit,7,1625121383, 0, 0, 28.03
AFLfast,tiffsplit,7,1625121973, 0, 0, 34.64
AFLfast,tiffsplit,7,1625121978, 0, 0, 39.19
AFLfast,tiffsplit,7,1625121983, 0, 0, 41.94
AFLfast,tiffsplit,7,1625121988, 0, 0, 43.60
AFLfast,tiffsplit,7,1625121994, 0, 0, 41.99
AFLfast,tiffsplit,7,1625122004, 0, 0, 42.18
AFLfast,tiffsplit,7,1625122009, 0, 0, 40.52
AFLfast,tiffsplit,7,1625122014, 0, 0, 30.31
AFLfast,tiffsplit,7,1625122019, 0, 0, 25.33
AFLfast,tiffsplit,7,1625122024, 0, 0, 24.78
AFLfast,tiffsplit,7,1625122029, 0, 0, 23.86
AFLfast,tiffsplit,7,1625122045, 0, 0, 24.21
AFLfast,tiffsplit,7,1625122050, 0, 0, 24.91
AFLfast,tiffsplit,7,1625122060, 0, 0, 26.08
AFLfast,tiffsplit,7,1625122071, 0, 0, 25.10
AFLfast,tiffsplit,7,1625122076, 0, 0, 22.85
AFLfast,tiffsplit,7,1625122117, 0, 0, 42.34
AFLfast,tiffsplit,7,1625122138, 0, 0, 40.55
AFLfast,tiffsplit,7,1625122143, 0, 0, 41.75
AFLfast,tiffsplit,7,1625122153, 0, 0, 32.84
AFLfast,tiffsplit,7,1625122163, 0, 0, 42.39
AFLfast,tiffsplit,7,1625122173, 0, 0, 42.52
AFLfast,tiffsplit,7,1625122178, 0, 0, 41.67
AFLfast,tiffsplit,7,1625122184, 0, 0, 41.32
AFLfast,tiffsplit,7,1625122199, 0, 0, 41.86
AFLfast,tiffsplit,7,1625122245, 0, 0, 42.20
AFLfast,tiffsplit,7,1625122281, 0, 0, 42.41
AFLfast,tiffsplit,7,1625122291, 0, 0, 42.25
AFLfast,tiffsplit,7,1625122322, 0, 0, 53.28
AFLfast,tiffsplit,7,1625122353, 0, 0, 51.97
AFLfast,tiffsplit,7,1625126459, 0, 0, 22.56
AFLfast,tiffsplit,7,1625126464, 0, 0, 23.42
AFLfast,tiffsplit,7,1625126469, 0, 0, 22.52
AFLfast,tiffsplit,7,1625126474, 0, 0, 22.04
AFLfast,tiffsplit,7,1625126479, 0, 0, 23.91
AFLfast,tiffsplit,7,1625126484, 1, 0, 20.72
AFLfast,tiffsplit,7,1625126490, 1, 0, 18.89
AFLfast,tiffsplit,7,1625126495, 1, 0, 23.47
AFLfast,tiffsplit,7,1625126500, 1, 0, 20.53
AFLfast,tiffsplit,7,1625126505, 1, 0, 16.97
AFLfast,tiffsplit,7,1625126510, 1, 0, 15.45
AFLfast,tiffsplit,7,1625126515, 1, 0, 13.11
AFLfast,tiffsplit,7,1625126525, 1, 0, 14.17
AFLfast,tiffsplit,7,1625126531, 1, 0, 14.00
AFLfast,tiffsplit,7,1625126536, 1, 0, 14.27
AFLfast,tiffsplit,7,1625126541, 1, 0, 12.28
AFLfast,tiffsplit,7,1625126556, 1, 0, 11.15
AFLfast,tiffsplit,7,1625127858, 1, 0, 33.59
AFLfast,tiffsplit,7,1625127863, 1, 0, 36.95
AFLfast,tiffsplit,7,1625128277, 1, 0, 34.85
AFLfast,tiffsplit,7,1625133496, 1, 0, 23.37
AFLfast,tiffsplit,7,1625133501, 1, 0, 19.40
AFLfast,tiffsplit,7,1625133511, 1, 0, 14.48
AFLfast,tiffsplit,7,1625133517, 1, 0, 21.54
AFLfast,tiffsplit,7,1625133522, 1, 0, 24.46
AFLfast,tiffsplit,7,1625133527, 2, 0, 25.15
AFLfast,tiffsplit,7,1625133532, 2, 0, 27.47
AFLfast,tiffsplit,7,1625133537, 2, 0, 28.03
AFLfast,tiffsplit,7,1625138995, 2, 0, 20.61
AFLfast,tiffsplit,7,1625139005, 2, 0, 17.04
AFLfast,tiffsplit,7,1625139036, 2, 1, 20.36
AFLfast,tiffsplit,7,1625139852, 2, 1, 21.52
AFLfast,tiffsplit,7,1625162091, 2, 1, 23.40
AFLfast,tiffsplit,7,1625162096, 2, 1, 23.30
AFLfast,tiffsplit,7,1625162122, 2, 1, 20.74
AFLfast,tiffsplit,7,1625162127, 3, 1, 22.40
AFLfast,tiffsplit,7,1625162143, 3, 1, 22.52
AFLfast,tiffsplit,7,1625162158, 4, 1, 13.06
AFLfast,tiffsplit,7,1625162179, 4, 1, 19.54
AFLfast,tiffsplit,7,1625162184, 4, 1, 20.53
AFLfast,tiffsplit,7,1625162189, 4, 1, 19.70
AFLfast,tiffsplit,7,1625162220, 4, 1, 27.66
AFLfast,tiffsplit,7,1625162246, 5, 1, 13.63
AFLfast,tiffsplit,7,1625162251, 5, 1, 17.26
AFLfast,tiffsplit,7,1625162288, 5, 1, 23.57
AFLfast,tiffsplit,7,1625162298, 5, 1, 22.15
AFLfast,tiffsplit,7,1625162303, 5, 1, 27.72
AFLfast,tiffsplit,7,1625162330, 5, 1, 18.02
AFLfast,tiffsplit,7,1625162335, 5, 1, 24.09
AFLfast,tiffsplit,7,1625162355, 6, 1, 24.62
AFLfast,tiffsplit,7,1625162360, 7, 1, 21.59
AFLfast,tiffsplit,7,1625162381, 7, 1, 21.27
AFLfast,tiffsplit,7,1625162386, 7, 3, 3.75
AFLfast,tiffsplit,7,1625166365, 7, 3, 35.39
AFLfast,tiffsplit,7,1625166386, 7, 3, 31.95
AFLfast,tiffsplit,7,1625166401, 7, 3, 37.36
AFLfast,tiffsplit,7,1625166478, 7, 3, 30.48
AFLfast,tiffsplit,7,1625166519, 7, 3, 40.12
AFLfast,tiffsplit,7,1625175205, 7, 3, 27.19
AFLfast,tiffsplit,7,1625175210, 7, 3, 35.66
AFLfast,tiffsplit,7,1625175215, 7, 3, 32.05
AFLfast,tiffsplit,7,1625188112, 7, 3, 31.96
AFLfast,tiffsplit,7,1625188122, 7, 3, 34.75
AFLfast,tiffsplit,7,1625188128, 7, 3, 25.98
AFLfast,tiffsplit,7,1625188174, 7, 3, 42.89
AFLfast,tiffsplit,7,1625188184, 7, 3, 38.49
AFLfast,tiffsplit,7,1625188189, 7, 3, 43.06
AFLfast,tiffsplit,7,1625189349, 7, 3, 35.70
AFLfast,tiffsplit,7,1625189355, 7, 3, 38.30
AFLfast,tiffsplit,7,1625189411, 7, 3, 33.23
AFLfast,tiffsplit,7,1625189457, 7, 3, 39.08
AFLfast,tiffsplit,7,1625189462, 7, 3, 39.56
AFLfast,tiffsplit,7,1625189467, 7, 3, 37.01
AFLfast,tiffsplit,7,1625189472, 8, 3, 32.52
AFLfast,tiffsplit,7,1625189478, 8, 3, 31.16
AFLfast,tiffsplit,7,1625189483, 8, 3, 34.07
