alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmlcatalog,4,1625127424, 0, 0, 64.98
AFLfast,xmlcatalog,4,1625127429, 0, 0, 79.60
AFLfast,xmlcatalog,4,1625127434, 0, 0, 80.80
AFLfast,xmlcatalog,4,1625127439, 0, 0, 80.29
AFLfast,xmlcatalog,4,1625127444, 0, 0, 79.94
AFLfast,xmlcatalog,4,1625127449, 0, 0, 79.25
AFLfast,xmlcatalog,4,1625127454, 0, 0, 76.90
AFLfast,xmlcatalog,4,1625127459, 0, 0, 77.54
AFLfast,xmlcatalog,4,1625127465, 0, 0, 77.55
AFLfast,xmlcatalog,4,1625127470, 0, 0, 77.27
AFLfast,xmlcatalog,4,1625127475, 0, 0, 76.60
AFLfast,xmlcatalog,4,1625127485, 0, 0, 46.25
AFLfast,xmlcatalog,4,1625127490, 0, 0, 40.92
AFLfast,xmlcatalog,4,1625127500, 0, 0, 40.10
AFLfast,xmlcatalog,4,1625127510, 0, 0, 38.94
AFLfast,xmlcatalog,4,1625127516, 0, 0, 39.56
AFLfast,xmlcatalog,4,1625127521, 0, 0, 40.14
AFLfast,xmlcatalog,4,1625127526, 0, 0, 38.56
AFLfast,xmlcatalog,4,1625127531, 0, 0, 40.02
AFLfast,xmlcatalog,4,1625127546, 0, 0, 40.39
AFLfast,xmlcatalog,4,1625127552, 0, 0, 39.46
AFLfast,xmlcatalog,4,1625127567, 0, 0, 40.47
AFLfast,xmlcatalog,4,1625127603, 0, 0, 40.83
AFLfast,xmlcatalog,4,1625127618, 0, 0, 37.56
AFLfast,xmlcatalog,4,1625127623, 0, 0, 37.59
AFLfast,xmlcatalog,4,1625127639, 0, 0, 38.99
AFLfast,xmlcatalog,4,1625127665, 0, 0, 38.72
AFLfast,xmlcatalog,4,1625127680, 0, 0, 39.92
AFLfast,xmlcatalog,4,1625127700, 0, 0, 35.21
AFLfast,xmlcatalog,4,1625127747, 0, 0, 37.10
AFLfast,xmlcatalog,4,1625127757, 0, 0, 36.92
AFLfast,xmlcatalog,4,1625127778, 0, 0, 35.60
AFLfast,xmlcatalog,4,1625127794, 0, 0, 37.93
AFLfast,xmlcatalog,4,1625127814, 0, 0, 37.77
AFLfast,xmlcatalog,4,1625127829, 0, 0, 36.54
AFLfast,xmlcatalog,4,1625127834, 0, 0, 39.19
AFLfast,xmlcatalog,4,1625127839, 0, 0, 39.30
AFLfast,xmlcatalog,4,1625127860, 0, 0, 38.89
AFLfast,xmlcatalog,4,1625127865, 0, 0, 37.90
AFLfast,xmlcatalog,4,1625127932, 0, 0, 33.97
AFLfast,xmlcatalog,4,1625128128, 0, 0, 34.34
AFLfast,xmlcatalog,4,1625128294, 0, 0, 34.22
AFLfast,xmlcatalog,4,1625128299, 0, 0, 32.88
AFLfast,xmlcatalog,4,1625128304, 0, 0, 34.75
AFLfast,xmlcatalog,4,1625128309, 0, 0, 35.79
AFLfast,xmlcatalog,4,1625128356, 0, 0, 33.92
AFLfast,xmlcatalog,4,1625128377, 0, 0, 35.83
AFLfast,xmlcatalog,4,1625128397, 0, 0, 34.99
AFLfast,xmlcatalog,4,1625128402, 0, 0, 34.01
AFLfast,xmlcatalog,4,1625128455, 0, 0, 35.85
AFLfast,xmlcatalog,4,1625128460, 0, 0, 34.40
AFLfast,xmlcatalog,4,1625128480, 0, 0, 36.19
AFLfast,xmlcatalog,4,1625128491, 0, 0, 36.37
AFLfast,xmlcatalog,4,1625128527, 0, 0, 35.86
AFLfast,xmlcatalog,4,1625128599, 0, 0, 34.52
AFLfast,xmlcatalog,4,1625128645, 0, 0, 49.64
AFLfast,xmlcatalog,4,1625128671, 0, 0, 68.44
AFLfast,xmlcatalog,4,1625128717, 0, 0, 43.41
AFLfast,xmlcatalog,4,1625128748, 0, 0, 65.34
AFLfast,xmlcatalog,4,1625128754, 0, 0, 65.93
AFLfast,xmlcatalog,4,1625128764, 0, 0, 65.76
AFLfast,xmlcatalog,4,1625128774, 0, 0, 65.38
