alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,xmlcatalog,9,1625128247, 0, 0, 50, 50, 1, 0.37%, 0, 0, 1, 73.45
AFLfast,xmlcatalog,9,1625128252, 0, 10, 62, 62, 1, 0.54%, 0, 0, 2, 68.09
AFLfast,xmlcatalog,9,1625128258, 0, 10, 74, 74, 1, 0.57%, 0, 0, 2, 66.46
AFLfast,xmlcatalog,9,1625128263, 0, 10, 87, 87, 1, 0.62%, 0, 0, 2, 66.43
AFLfast,xmlcatalog,9,1625128268, 0, 10, 98, 98, 1, 0.64%, 0, 0, 2, 68.25
AFLfast,xmlcatalog,9,1625128273, 0, 10, 104, 104, 1, 0.65%, 0, 0, 2, 66.24
AFLfast,xmlcatalog,9,1625128278, 0, 10, 110, 110, 1, 0.66%, 0, 0, 2, 67.82
AFLfast,xmlcatalog,9,1625128284, 0, 10, 116, 116, 1, 0.68%, 0, 0, 2, 68.71
AFLfast,xmlcatalog,9,1625128289, 0, 10, 121, 121, 1, 0.68%, 0, 0, 2, 68.61
AFLfast,xmlcatalog,9,1625128294, 0, 10, 124, 124, 1, 0.68%, 0, 0, 2, 67.73
AFLfast,xmlcatalog,9,1625128304, 0, 10, 125, 125, 1, 0.68%, 0, 0, 2, 41.76
AFLfast,xmlcatalog,9,1625128310, 0, 10, 129, 129, 1, 0.69%, 0, 0, 2, 38.34
AFLfast,xmlcatalog,9,1625128330, 0, 10, 130, 130, 1, 0.69%, 0, 0, 2, 34.64
AFLfast,xmlcatalog,9,1625128336, 0, 10, 132, 132, 1, 0.69%, 0, 0, 2, 35.51
AFLfast,xmlcatalog,9,1625128346, 0, 10, 133, 133, 1, 0.69%, 0, 0, 2, 34.42
AFLfast,xmlcatalog,9,1625128372, 0, 10, 135, 135, 1, 0.69%, 0, 0, 2, 36.70
AFLfast,xmlcatalog,9,1625128377, 0, 10, 136, 136, 1, 0.69%, 0, 0, 2, 36.26
AFLfast,xmlcatalog,9,1625128382, 0, 10, 138, 138, 1, 0.69%, 0, 0, 2, 35.94
AFLfast,xmlcatalog,9,1625128393, 0, 10, 141, 141, 1, 0.69%, 0, 0, 2, 33.85
AFLfast,xmlcatalog,9,1625128398, 0, 10, 143, 143, 1, 0.69%, 0, 0, 2, 35.26
AFLfast,xmlcatalog,9,1625128403, 0, 10, 144, 144, 1, 0.69%, 0, 0, 2, 33.91
AFLfast,xmlcatalog,9,1625128408, 0, 10, 145, 145, 1, 0.69%, 0, 0, 2, 34.83
AFLfast,xmlcatalog,9,1625128419, 0, 10, 146, 146, 1, 0.69%, 0, 0, 2, 34.15
AFLfast,xmlcatalog,9,1625128429, 0, 10, 147, 147, 1, 0.69%, 0, 0, 2, 34.14
AFLfast,xmlcatalog,9,1625128439, 0, 10, 148, 148, 1, 0.69%, 0, 0, 2, 35.77
AFLfast,xmlcatalog,9,1625128449, 0, 10, 149, 149, 1, 0.69%, 0, 0, 2, 30.15
AFLfast,xmlcatalog,9,1625128455, 0, 10, 151, 151, 1, 0.69%, 0, 0, 2, 33.02
AFLfast,xmlcatalog,9,1625128475, 0, 10, 152, 152, 1, 0.69%, 0, 0, 2, 35.36
AFLfast,xmlcatalog,9,1625128480, 0, 10, 153, 153, 1, 0.69%, 0, 0, 2, 33.81
AFLfast,xmlcatalog,9,1625128491, 0, 10, 154, 154, 1, 0.69%, 0, 0, 2, 35.18
AFLfast,xmlcatalog,9,1625128501, 0, 10, 155, 155, 1, 0.69%, 0, 0, 2, 35.17
AFLfast,xmlcatalog,9,1625128522, 0, 10, 156, 156, 1, 0.69%, 0, 0, 2, 36.04
AFLfast,xmlcatalog,9,1625128537, 0, 10, 157, 157, 1, 0.69%, 0, 0, 2, 34.46
AFLfast,xmlcatalog,9,1625128548, 0, 10, 158, 158, 1, 0.69%, 0, 0, 2, 34.80
AFLfast,xmlcatalog,9,1625128553, 0, 10, 160, 160, 1, 0.69%, 0, 0, 2, 34.89
AFLfast,xmlcatalog,9,1625128558, 0, 10, 161, 161, 1, 0.69%, 0, 0, 2, 35.01
AFLfast,xmlcatalog,9,1625128594, 0, 98, 164, 163, 43, 0.70%, 0, 0, 3, 40.29
AFLfast,xmlcatalog,9,1625128599, 0, 98, 169, 168, 43, 0.70%, 0, 0, 3, 37.12
AFLfast,xmlcatalog,9,1625128604, 0, 98, 173, 172, 43, 0.70%, 0, 0, 3, 36.81
AFLfast,xmlcatalog,9,1625128609, 0, 98, 175, 174, 43, 0.70%, 0, 0, 3, 35.58
AFLfast,xmlcatalog,9,1625128614, 0, 98, 176, 175, 43, 0.70%, 0, 0, 3, 35.18
AFLfast,xmlcatalog,9,1625128619, 0, 98, 177, 176, 43, 0.70%, 0, 0, 3, 34.14
