alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,xmllint,13,1625126362, 0, 0, 30, 30, 24, 7.09%, 0, 0, 1, 16.51
AFLfast,xmllint,13,1625126368, 0, 0, 39, 39, 24, 7.75%, 0, 0, 2, 21.00
AFLfast,xmllint,13,1625126373, 0, 0, 49, 49, 24, 7.91%, 0, 0, 2, 21.97
AFLfast,xmllint,13,1625126378, 0, 0, 56, 56, 24, 7.97%, 0, 0, 2, 22.21
AFLfast,xmllint,13,1625126383, 0, 0, 66, 66, 24, 8.01%, 0, 0, 2, 22.01
AFLfast,xmllint,13,1625126388, 0, 0, 76, 76, 24, 8.05%, 0, 0, 2, 23.20
AFLfast,xmllint,13,1625126393, 0, 0, 84, 84, 24, 8.06%, 0, 0, 2, 22.98
AFLfast,xmllint,13,1625126398, 0, 0, 93, 93, 24, 8.13%, 0, 0, 2, 21.80
AFLfast,xmllint,13,1625126404, 0, 0, 103, 103, 24, 8.17%, 0, 0, 2, 22.01
AFLfast,xmllint,13,1625126409, 0, 0, 111, 111, 24, 8.22%, 0, 0, 2, 21.53
AFLfast,xmllint,13,1625126414, 0, 0, 118, 118, 24, 8.25%, 0, 0, 2, 17.19
AFLfast,xmllint,13,1625126419, 0, 0, 123, 123, 24, 8.33%, 0, 0, 2, 14.57
AFLfast,xmllint,13,1625126425, 0, 0, 127, 127, 24, 8.33%, 0, 0, 2, 12.06
AFLfast,xmllint,13,1625126430, 0, 0, 132, 132, 24, 8.35%, 0, 0, 2, 11.16
AFLfast,xmllint,13,1625126435, 0, 0, 136, 136, 24, 8.36%, 0, 0, 2, 13.67
AFLfast,xmllint,13,1625126440, 0, 0, 141, 141, 24, 8.36%, 0, 0, 2, 11.81
AFLfast,xmllint,13,1625126445, 0, 0, 143, 143, 24, 8.36%, 0, 0, 2, 10.65
AFLfast,xmllint,13,1625126450, 0, 0, 147, 147, 24, 8.36%, 0, 0, 2, 11.20
AFLfast,xmllint,13,1625126455, 0, 0, 151, 151, 24, 8.36%, 0, 0, 2, 10.35
AFLfast,xmllint,13,1625126460, 0, 0, 155, 155, 24, 8.37%, 0, 0, 2, 10.57
AFLfast,xmllint,13,1625126466, 0, 0, 158, 158, 24, 8.43%, 0, 0, 2, 10.95
AFLfast,xmllint,13,1625126471, 0, 0, 164, 164, 24, 8.55%, 0, 0, 2, 11.15
AFLfast,xmllint,13,1625126476, 0, 0, 167, 167, 24, 8.56%, 0, 0, 2, 10.84
AFLfast,xmllint,13,1625126481, 0, 0, 169, 169, 24, 8.56%, 0, 0, 2, 11.17
AFLfast,xmllint,13,1625126486, 0, 0, 172, 172, 24, 8.61%, 0, 0, 2, 10.13
AFLfast,xmllint,13,1625126492, 0, 0, 175, 175, 24, 8.61%, 0, 0, 2, 10.42
AFLfast,xmllint,13,1625126497, 0, 0, 176, 176, 24, 8.61%, 0, 0, 2, 10.02
AFLfast,xmllint,13,1625126502, 0, 0, 177, 177, 24, 8.61%, 0, 0, 2, 9.58
AFLfast,xmllint,13,1625126507, 0, 0, 179, 179, 24, 8.61%, 0, 0, 2, 10.52
AFLfast,xmllint,13,1625126512, 0, 0, 182, 182, 24, 8.61%, 0, 0, 2, 10.14
AFLfast,xmllint,13,1625126518, 0, 0, 187, 187, 24, 8.62%, 0, 0, 2, 10.41
AFLfast,xmllint,13,1625126523, 0, 0, 193, 193, 24, 8.66%, 0, 0, 2, 11.12
AFLfast,xmllint,13,1625126528, 0, 0, 198, 198, 24, 8.67%, 0, 0, 2, 11.63
AFLfast,xmllint,13,1625126533, 0, 0, 201, 201, 24, 8.67%, 0, 0, 2, 11.55
AFLfast,xmllint,13,1625126539, 0, 0, 203, 203, 24, 8.67%, 0, 0, 2, 11.14
AFLfast,xmllint,13,1625126544, 0, 0, 204, 204, 24, 8.67%, 0, 0, 2, 10.84
AFLfast,xmllint,13,1625126549, 0, 0, 207, 207, 24, 8.68%, 0, 0, 2, 10.48
AFLfast,xmllint,13,1625126554, 0, 0, 208, 208, 24, 8.68%, 0, 0, 2, 10.60
AFLfast,xmllint,13,1625126560, 0, 0, 210, 210, 24, 8.69%, 0, 0, 2, 10.94
AFLfast,xmllint,13,1625126565, 0, 0, 212, 212, 24, 8.69%, 0, 0, 2, 10.89
AFLfast,xmllint,13,1625126575, 0, 0, 213, 213, 24, 8.69%, 0, 0, 2, 11.61
AFLfast,xmllint,13,1625126580, 0, 0, 214, 214, 24, 8.69%, 0, 0, 2, 11.20
AFLfast,xmllint,13,1625126585, 0, 0, 215, 215, 24, 8.69%, 0, 0, 2, 11.23
AFLfast,xmllint,13,1625126590, 0, 0, 218, 218, 24, 8.72%, 0, 0, 2, 11.49
AFLfast,xmllint,13,1625126611, 0, 0, 219, 219, 24, 8.72%, 0, 0, 2, 10.81
AFLfast,xmllint,13,1625126616, 0, 0, 220, 220, 24, 8.74%, 0, 0, 2, 11.23
AFLfast,xmllint,13,1625126626, 0, 0, 222, 222, 24, 8.74%, 0, 0, 2, 10.28
AFLfast,xmllint,13,1625126642, 0, 0, 223, 223, 24, 8.74%, 0, 0, 2, 10.28
AFLfast,xmllint,13,1625126652, 0, 0, 225, 225, 24, 8.76%, 0, 0, 2, 10.03
AFLfast,xmllint,13,1625126657, 0, 0, 227, 227, 24, 8.76%, 0, 0, 2, 10.51
AFLfast,xmllint,13,1625126668, 0, 0, 230, 230, 24, 8.77%, 0, 0, 2, 10.48
AFLfast,xmllint,13,1625126673, 0, 0, 233, 233, 24, 8.78%, 0, 0, 2, 11.20
AFLfast,xmllint,13,1625126678, 0, 0, 234, 234, 24, 8.78%, 0, 0, 2, 11.87
AFLfast,xmllint,13,1625126683, 0, 0, 236, 236, 24, 8.78%, 0, 0, 2, 11.15
AFLfast,xmllint,13,1625126689, 0, 0, 240, 240, 24, 8.80%, 0, 0, 2, 11.78
AFLfast,xmllint,13,1625126704, 0, 0, 241, 241, 24, 8.80%, 0, 0, 2, 10.08
AFLfast,xmllint,13,1625126709, 0, 0, 242, 242, 24, 8.80%, 0, 0, 2, 10.62
AFLfast,xmllint,13,1625126720, 0, 0, 245, 245, 24, 8.80%, 0, 0, 2, 10.57
AFLfast,xmllint,13,1625126725, 0, 0, 248, 248, 24, 8.81%, 0, 0, 2, 11.89
AFLfast,xmllint,13,1625126745, 0, 0, 250, 250, 24, 8.83%, 0, 0, 2, 10.34
AFLfast,xmllint,13,1625126761, 0, 0, 253, 253, 24, 8.83%, 0, 0, 2, 10.52
AFLfast,xmllint,13,1625126766, 0, 0, 256, 256, 24, 8.84%, 0, 0, 2, 11.12
AFLfast,xmllint,13,1625126771, 0, 0, 259, 259, 24, 8.84%, 0, 0, 2, 11.60
AFLfast,xmllint,13,1625126777, 0, 0, 262, 262, 24, 8.87%, 0, 0, 2, 11.43
AFLfast,xmllint,13,1625126782, 0, 0, 265, 265, 24, 8.87%, 0, 0, 2, 11.07
AFLfast,xmllint,13,1625126787, 0, 0, 269, 269, 24, 8.87%, 0, 0, 2, 12.40
AFLfast,xmllint,13,1625126792, 0, 0, 273, 273, 24, 8.88%, 0, 0, 2, 11.30
AFLfast,xmllint,13,1625126797, 0, 0, 275, 275, 24, 8.88%, 0, 0, 2, 11.18
AFLfast,xmllint,13,1625126802, 0, 0, 277, 277, 24, 8.88%, 0, 0, 2, 11.56
AFLfast,xmllint,13,1625126807, 0, 0, 278, 278, 24, 8.89%, 0, 0, 2, 11.60
AFLfast,xmllint,13,1625126812, 0, 0, 279, 279, 24, 8.89%, 0, 0, 2, 6.59
AFLfast,xmllint,13,1625126823, 0, 0, 280, 280, 24, 8.89%, 0, 0, 2, 10.08
AFLfast,xmllint,13,1625126833, 0, 0, 283, 283, 24, 8.91%, 0, 0, 2, 0.00
AFLfast,xmllint,13,1625126839, 0, 0, 285, 285, 24, 8.91%, 0, 0, 2, 12.29
AFLfast,xmllint,13,1625126874, 0, 0, 286, 286, 24, 8.91%, 0, 0, 2, 12.14
AFLfast,xmllint,13,1625126880, 0, 0, 288, 288, 24, 8.91%, 0, 0, 2, 11.60
AFLfast,xmllint,13,1625126885, 0, 0, 290, 290, 24, 8.92%, 0, 0, 2, 12.04
AFLfast,xmllint,13,1625126890, 0, 0, 291, 291, 24, 8.92%, 0, 0, 2, 12.15
AFLfast,xmllint,13,1625126895, 0, 0, 292, 292, 24, 8.93%, 0, 0, 2, 11.17
