alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,xmllint,5,1625125350, 0, 0, 23.18
AFLfast,xmllint,5,1625125355, 0, 0, 31.33
AFLfast,xmllint,5,1625125360, 0, 0, 31.74
AFLfast,xmllint,5,1625125365, 0, 0, 32.39
AFLfast,xmllint,5,1625125370, 0, 0, 32.40
AFLfast,xmllint,5,1625125375, 0, 0, 31.40
AFLfast,xmllint,5,1625125381, 0, 0, 30.86
AFLfast,xmllint,5,1625125386, 0, 0, 30.36
AFLfast,xmllint,5,1625125391, 0, 0, 29.83
AFLfast,xmllint,5,1625125396, 0, 0, 29.92
AFLfast,xmllint,5,1625125401, 0, 0, 22.87
AFLfast,xmllint,5,1625125406, 0, 0, 18.31
AFLfast,xmllint,5,1625125411, 0, 0, 16.58
AFLfast,xmllint,5,1625125416, 0, 0, 15.84
AFLfast,xmllint,5,1625125421, 0, 0, 15.07
AFLfast,xmllint,5,1625125426, 0, 0, 14.86
AFLfast,xmllint,5,1625125432, 0, 0, 14.78
AFLfast,xmllint,5,1625125437, 0, 0, 14.07
AFLfast,xmllint,5,1625125442, 0, 0, 14.90
AFLfast,xmllint,5,1625125447, 0, 0, 14.85
AFLfast,xmllint,5,1625125452, 0, 0, 15.85
AFLfast,xmllint,5,1625125457, 0, 0, 15.42
AFLfast,xmllint,5,1625125462, 0, 0, 15.13
AFLfast,xmllint,5,1625125468, 0, 0, 15.12
AFLfast,xmllint,5,1625125473, 0, 0, 15.79
AFLfast,xmllint,5,1625125478, 0, 0, 13.97
AFLfast,xmllint,5,1625125483, 0, 0, 14.58
AFLfast,xmllint,5,1625125488, 0, 0, 14.72
AFLfast,xmllint,5,1625125499, 0, 0, 14.94
AFLfast,xmllint,5,1625125504, 0, 0, 15.57
AFLfast,xmllint,5,1625125509, 0, 0, 15.55
AFLfast,xmllint,5,1625125514, 0, 0, 14.92
AFLfast,xmllint,5,1625125520, 0, 0, 15.49
AFLfast,xmllint,5,1625125530, 0, 0, 15.03
AFLfast,xmllint,5,1625125540, 0, 0, 15.00
AFLfast,xmllint,5,1625125571, 0, 0, 13.73
AFLfast,xmllint,5,1625125582, 0, 0, 15.72
AFLfast,xmllint,5,1625125587, 0, 0, 4.97
AFLfast,xmllint,5,1625125592, 0, 0, 12.10
AFLfast,xmllint,5,1625125602, 0, 0, 14.24
AFLfast,xmllint,5,1625125607, 0, 0, 14.09
AFLfast,xmllint,5,1625125612, 0, 0, 13.73
AFLfast,xmllint,5,1625125623, 0, 0, 14.50
AFLfast,xmllint,5,1625125649, 0, 0, 13.62
AFLfast,xmllint,5,1625125659, 0, 0, 14.29
AFLfast,xmllint,5,1625125664, 0, 0, 14.96
AFLfast,xmllint,5,1625125674, 0, 0, 14.82
AFLfast,xmllint,5,1625125679, 0, 0, 13.17
AFLfast,xmllint,5,1625125684, 0, 0, 14.53
AFLfast,xmllint,5,1625125690, 0, 0, 14.68
AFLfast,xmllint,5,1625125695, 0, 0, 14.16
AFLfast,xmllint,5,1625125700, 0, 0, 14.67
AFLfast,xmllint,5,1625125705, 0, 0, 15.87
AFLfast,xmllint,5,1625125710, 0, 0, 16.30
AFLfast,xmllint,5,1625125715, 0, 0, 16.12
AFLfast,xmllint,5,1625125741, 0, 0, 14.69
AFLfast,xmllint,5,1625125746, 0, 0, 14.28
AFLfast,xmllint,5,1625125761, 0, 0, 13.95
AFLfast,xmllint,5,1625125767, 0, 0, 15.09
AFLfast,xmllint,5,1625125772, 0, 0, 14.66
AFLfast,xmllint,5,1625125777, 0, 0, 15.13
AFLfast,xmllint,5,1625125782, 0, 0, 14.90
AFLfast,xmllint,5,1625125808, 0, 0, 14.88
AFLfast,xmllint,5,1625125813, 0, 0, 14.28
AFLfast,xmllint,5,1625125834, 0, 0, 14.95
AFLfast,xmllint,5,1625125839, 0, 0, 14.85
AFLfast,xmllint,5,1625125844, 0, 0, 14.98
