alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,mp3gain,1,1625079361, 0, 0, 49.16
AFLfast,mp3gain,1,1625079397, 0, 0, 44.12
AFLfast,mp3gain,1,1625079422, 0, 0, 43.34
AFLfast,mp3gain,1,1625079479, 0, 0, 43.85
AFLfast,mp3gain,1,1625079484, 0, 0, 38.76
AFLfast,mp3gain,1,1625079489, 0, 0, 41.70
AFLfast,mp3gain,1,1625079494, 0, 0, 42.80
AFLfast,mp3gain,1,1625079499, 0, 0, 43.35
AFLfast,mp3gain,1,1625079505, 0, 0, 43.16
AFLfast,mp3gain,1,1625079510, 0, 0, 43.57
AFLfast,mp3gain,1,1625079515, 0, 0, 43.52
AFLfast,mp3gain,1,1625079525, 0, 0, 42.66
AFLfast,mp3gain,1,1625079530, 0, 0, 42.02
AFLfast,mp3gain,1,1625079535, 0, 0, 41.31
AFLfast,mp3gain,1,1625079541, 0, 0, 39.88
AFLfast,mp3gain,1,1625079710, 0, 0, 27.00
AFLfast,mp3gain,1,1625079715, 0, 0, 27.03
AFLfast,mp3gain,1,1625079750, 0, 0, 26.45
AFLfast,mp3gain,1,1625080059, 0, 0, 26.89
AFLfast,mp3gain,1,1625080064, 0, 0, 26.44
AFLfast,mp3gain,1,1625080079, 0, 0, 26.78
AFLfast,mp3gain,1,1625080131, 0, 0, 25.88
AFLfast,mp3gain,1,1625080223, 0, 0, 26.08
AFLfast,mp3gain,1,1625080695, 0, 0, 26.74
AFLfast,mp3gain,1,1625081009, 0, 0, 24.56
AFLfast,mp3gain,1,1625081319, 0, 0, 27.82
AFLfast,mp3gain,1,1625082864, 0, 0, 26.15
AFLfast,mp3gain,1,1625084044, 0, 0, 26.77
AFLfast,mp3gain,1,1625084559, 0, 0, 26.06
AFLfast,mp3gain,1,1625084564, 0, 0, 26.59
AFLfast,mp3gain,1,1625084569, 0, 0, 27.22
AFLfast,mp3gain,1,1625085045, 0, 0, 48.75
AFLfast,mp3gain,1,1625085096, 0, 0, 48.29
AFLfast,mp3gain,1,1625085107, 0, 0, 48.72
AFLfast,mp3gain,1,1625085117, 0, 0, 48.09
AFLfast,mp3gain,1,1625085132, 0, 0, 48.17
AFLfast,mp3gain,1,1625085142, 0, 0, 48.41
AFLfast,mp3gain,1,1625085147, 0, 0, 48.66
AFLfast,mp3gain,1,1625085152, 0, 0, 48.36
AFLfast,mp3gain,1,1625085239, 0, 0, 48.31
AFLfast,mp3gain,1,1625086240, 0, 0, 55.13
AFLfast,mp3gain,1,1625087619, 0, 0, 56.05
AFLfast,mp3gain,1,1625087696, 0, 0, 54.98
AFLfast,mp3gain,1,1625087716, 0, 0, 56.13
AFLfast,mp3gain,1,1625087721, 0, 0, 56.07
AFLfast,mp3gain,1,1625087793, 0, 0, 56.01
AFLfast,mp3gain,1,1625088136, 0, 0, 55.85
AFLfast,mp3gain,1,1625090172, 0, 0, 54.90
AFLfast,mp3gain,1,1625090224, 0, 0, 55.13
AFLfast,mp3gain,1,1625090229, 0, 0, 54.96
AFLfast,mp3gain,1,1625090286, 0, 0, 54.61
AFLfast,mp3gain,1,1625090337, 0, 0, 54.93
AFLfast,mp3gain,1,1625090377, 0, 0, 54.85
AFLfast,mp3gain,1,1625090480, 0, 0, 51.25
AFLfast,mp3gain,1,1625090491, 0, 0, 53.85
AFLfast,mp3gain,1,1625090496, 0, 0, 50.01
AFLfast,mp3gain,1,1625090572, 0, 0, 54.72
AFLfast,mp3gain,1,1625090598, 0, 0, 55.57
AFLfast,mp3gain,1,1625090603, 0, 0, 54.06
AFLfast,mp3gain,1,1625090608, 0, 0, 54.18
AFLfast,mp3gain,1,1625090613, 0, 0, 56.01
AFLfast,mp3gain,1,1625091146, 0, 0, 53.98
AFLfast,mp3gain,1,1625091533, 0, 0, 55.66
AFLfast,mp3gain,1,1625092962, 0, 0, 55.72
AFLfast,mp3gain,1,1625092967, 0, 0, 49.82
AFLfast,mp3gain,1,1625092992, 0, 0, 51.58
AFLfast,mp3gain,1,1625093576, 0, 0, 48.92
AFLfast,mp3gain,1,1625093622, 0, 0, 55.56
AFLfast,mp3gain,1,1625093632, 0, 0, 55.58
AFLfast,mp3gain,1,1625093637, 0, 0, 55.50
AFLfast,mp3gain,1,1625093642, 0, 0, 53.47
AFLfast,mp3gain,1,1625093653, 0, 0, 55.02
AFLfast,mp3gain,1,1625093908, 0, 0, 58.53
AFLfast,mp3gain,1,1625093913, 0, 0, 56.75
AFLfast,mp3gain,1,1625093924, 0, 0, 56.42
AFLfast,mp3gain,1,1625093929, 0, 0, 55.86
AFLfast,mp3gain,1,1625093934, 0, 0, 55.82
AFLfast,mp3gain,1,1625093954, 0, 0, 55.77
AFLfast,mp3gain,1,1625094011, 0, 0, 54.05
AFLfast,mp3gain,1,1625094016, 0, 0, 51.99
AFLfast,mp3gain,1,1625094057, 0, 0, 54.57
AFLfast,mp3gain,1,1625094067, 0, 0, 55.02
AFLfast,mp3gain,1,1625094072, 0, 0, 53.74
AFLfast,mp3gain,1,1625094077, 0, 0, 54.80
AFLfast,mp3gain,1,1625094164, 0, 0, 54.65
AFLfast,mp3gain,1,1625094220, 0, 0, 56.47
AFLfast,mp3gain,1,1625095321, 0, 0, 56.14
AFLfast,mp3gain,1,1625095326, 0, 0, 58.74
AFLfast,mp3gain,1,1625095331, 0, 0, 59.10
AFLfast,mp3gain,1,1625095510, 0, 0, 55.56
AFLfast,mp3gain,1,1625095515, 0, 0, 51.87
AFLfast,mp3gain,1,1625095581, 0, 0, 55.02
AFLfast,mp3gain,1,1625095587, 0, 0, 55.02
AFLfast,mp3gain,1,1625095607, 0, 0, 55.86
AFLfast,mp3gain,1,1625095612, 0, 0, 54.33
AFLfast,mp3gain,1,1625095618, 0, 0, 53.37
AFLfast,mp3gain,1,1625095623, 0, 0, 54.40
AFLfast,mp3gain,1,1625095894, 0, 0, 56.84
AFLfast,mp3gain,1,1625096186, 0, 0, 55.07
AFLfast,mp3gain,1,1625096477, 0, 0, 54.46
AFLfast,mp3gain,1,1625096697, 0, 0, 54.99
AFLfast,mp3gain,1,1625096779, 0, 0, 55.19
AFLfast,mp3gain,1,1625098018, 0, 0, 48.95
AFLfast,mp3gain,1,1625098023, 0, 0, 44.11
AFLfast,mp3gain,1,1625098028, 0, 0, 42.32
AFLfast,mp3gain,1,1625098033, 0, 0, 39.14
AFLfast,mp3gain,1,1625098038, 0, 0, 38.58
AFLfast,mp3gain,1,1625098043, 0, 0, 36.71
AFLfast,mp3gain,1,1625098049, 0, 0, 36.20
AFLfast,mp3gain,1,1625098054, 0, 0, 35.68
AFLfast,mp3gain,1,1625098059, 0, 0, 35.16
AFLfast,mp3gain,1,1625098064, 1, 0, 36.93
AFLfast,mp3gain,1,1625098069, 1, 0, 35.80
AFLfast,mp3gain,1,1625098074, 1, 0, 35.26
AFLfast,mp3gain,1,1625098079, 1, 0, 35.12
AFLfast,mp3gain,1,1625098089, 1, 0, 35.16
AFLfast,mp3gain,1,1625098094, 1, 0, 34.39
AFLfast,mp3gain,1,1625098099, 1, 0, 34.55
AFLfast,mp3gain,1,1625098104, 1, 0, 34.52
AFLfast,mp3gain,1,1625098109, 1, 0, 35.94
AFLfast,mp3gain,1,1625098114, 1, 0, 33.63
AFLfast,mp3gain,1,1625098119, 1, 0, 36.92
AFLfast,mp3gain,1,1625098125, 1, 0, 35.39
AFLfast,mp3gain,1,1625098130, 1, 0, 34.30
AFLfast,mp3gain,1,1625098135, 1, 0, 34.23
AFLfast,mp3gain,1,1625098207, 1, 0, 40.68
AFLfast,mp3gain,1,1625098212, 1, 0, 38.75
AFLfast,mp3gain,1,1625098217, 1, 0, 39.82
AFLfast,mp3gain,1,1625098426, 1, 0, 39.64
AFLfast,mp3gain,1,1625098625, 1, 0, 39.73
AFLfast,mp3gain,1,1625098630, 1, 0, 39.91
AFLfast,mp3gain,1,1625098635, 1, 0, 39.74
AFLfast,mp3gain,1,1625098640, 1, 0, 41.61
AFLfast,mp3gain,1,1625098645, 3, 0, 40.64
AFLfast,mp3gain,1,1625098701, 3, 0, 38.97
AFLfast,mp3gain,1,1625098839, 3, 0, 40.18
AFLfast,mp3gain,1,1625098850, 3, 0, 39.97
AFLfast,mp3gain,1,1625099054, 3, 0, 41.80
AFLfast,mp3gain,1,1625099059, 5, 0, 41.20
AFLfast,mp3gain,1,1625099065, 6, 0, 40.88
AFLfast,mp3gain,1,1625099274, 7, 0, 41.62
AFLfast,mp3gain,1,1625099279, 8, 0, 40.61
AFLfast,mp3gain,1,1625099320, 8, 0, 41.19
