alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,mp3gain,6,1625079552, 0, 0, 20, 20, 12, 3.31%, 0, 0, 1, 36.10
AFLfast,mp3gain,6,1625079597, 0, 0, 22, 22, 12, 3.32%, 0, 0, 2, 35.68
AFLfast,mp3gain,6,1625079628, 0, 0, 23, 23, 12, 3.32%, 0, 0, 2, 34.35
AFLfast,mp3gain,6,1625079710, 0, 0, 24, 24, 12, 3.32%, 0, 0, 2, 27.32
AFLfast,mp3gain,6,1625079720, 0, 0, 27, 27, 12, 3.33%, 0, 0, 2, 27.10
AFLfast,mp3gain,6,1625079726, 0, 0, 37, 37, 12, 3.35%, 0, 0, 2, 26.36
AFLfast,mp3gain,6,1625079731, 0, 0, 41, 41, 12, 3.36%, 0, 0, 2, 25.72
AFLfast,mp3gain,6,1625079741, 0, 0, 49, 49, 12, 3.36%, 0, 0, 2, 26.62
AFLfast,mp3gain,6,1625079746, 0, 0, 53, 53, 12, 3.36%, 0, 0, 2, 26.24
AFLfast,mp3gain,6,1625079751, 0, 0, 57, 57, 12, 3.36%, 0, 0, 2, 26.11
AFLfast,mp3gain,6,1625079756, 0, 0, 58, 58, 12, 3.36%, 0, 0, 2, 26.12
AFLfast,mp3gain,6,1625079761, 0, 0, 61, 61, 12, 3.36%, 0, 0, 2, 26.65
AFLfast,mp3gain,6,1625079767, 0, 0, 64, 64, 12, 3.36%, 0, 0, 2, 26.42
AFLfast,mp3gain,6,1625079782, 0, 0, 65, 65, 12, 3.36%, 0, 0, 2, 26.52
AFLfast,mp3gain,6,1625079787, 0, 0, 77, 77, 12, 3.37%, 0, 0, 2, 26.76
AFLfast,mp3gain,6,1625079792, 0, 0, 91, 91, 12, 3.38%, 0, 0, 2, 26.92
AFLfast,mp3gain,6,1625079797, 0, 0, 103, 103, 12, 3.39%, 0, 0, 2, 26.79
AFLfast,mp3gain,6,1625079803, 0, 0, 117, 117, 12, 3.39%, 0, 0, 2, 28.00
AFLfast,mp3gain,6,1625079808, 0, 0, 121, 121, 12, 3.39%, 0, 0, 2, 26.94
AFLfast,mp3gain,6,1625080023, 0, 0, 122, 122, 12, 3.39%, 0, 0, 2, 26.22
AFLfast,mp3gain,6,1625080028, 0, 0, 123, 123, 12, 3.39%, 0, 0, 2, 26.45
AFLfast,mp3gain,6,1625080059, 0, 0, 125, 125, 12, 3.39%, 0, 0, 2, 26.65
AFLfast,mp3gain,6,1625080384, 0, 0, 130, 130, 12, 3.39%, 0, 0, 2, 26.10
AFLfast,mp3gain,6,1625080404, 0, 0, 131, 131, 12, 3.39%, 0, 0, 2, 26.56
AFLfast,mp3gain,6,1625080451, 0, 0, 132, 132, 12, 3.39%, 0, 0, 2, 25.88
AFLfast,mp3gain,6,1625080548, 0, 0, 133, 133, 12, 3.39%, 0, 0, 2, 26.55
AFLfast,mp3gain,6,1625081021, 0, 0, 135, 135, 12, 3.39%, 0, 0, 2, 25.07
AFLfast,mp3gain,6,1625081328, 0, 0, 136, 136, 12, 3.39%, 0, 0, 2, 27.03
AFLfast,mp3gain,6,1625081636, 0, 0, 137, 137, 12, 3.39%, 0, 0, 2, 26.17
AFLfast,mp3gain,6,1625083201, 0, 0, 138, 138, 12, 3.39%, 0, 0, 2, 25.95
AFLfast,mp3gain,6,1625084387, 0, 0, 139, 139, 12, 3.40%, 0, 0, 2, 26.94
AFLfast,mp3gain,6,1625084853, 0, 0, 145, 145, 12, 3.40%, 0, 0, 2, 38.21
AFLfast,mp3gain,6,1625084858, 0, 0, 146, 146, 12, 3.40%, 0, 0, 2, 39.63
AFLfast,mp3gain,6,1625085242, 0, 0, 147, 147, 12, 3.40%, 0, 0, 2, 48.84
AFLfast,mp3gain,6,1625085293, 0, 0, 148, 148, 12, 3.40%, 0, 0, 2, 52.37
AFLfast,mp3gain,6,1625085303, 0, 0, 149, 149, 12, 3.40%, 0, 0, 2, 52.25
AFLfast,mp3gain,6,1625085308, 0, 0, 152, 152, 12, 3.40%, 0, 0, 2, 53.41
AFLfast,mp3gain,6,1625085313, 0, 0, 153, 153, 12, 3.40%, 0, 0, 2, 51.92
AFLfast,mp3gain,6,1625085324, 0, 0, 154, 154, 12, 3.41%, 0, 0, 2, 54.96
AFLfast,mp3gain,6,1625085334, 0, 0, 159, 159, 12, 3.41%, 0, 0, 2, 55.13
AFLfast,mp3gain,6,1625085339, 0, 0, 176, 176, 12, 3.41%, 0, 0, 2, 55.92
AFLfast,mp3gain,6,1625086413, 0, 0, 177, 177, 12, 3.41%, 0, 0, 2, 55.03
AFLfast,mp3gain,6,1625087791, 0, 0, 178, 178, 12, 3.41%, 0, 0, 2, 56.35
AFLfast,mp3gain,6,1625087868, 0, 0, 181, 181, 12, 3.41%, 0, 0, 2, 54.33
AFLfast,mp3gain,6,1625087888, 0, 0, 182, 182, 12, 3.41%, 0, 0, 2, 56.41
AFLfast,mp3gain,6,1625087893, 0, 0, 191, 191, 12, 3.42%, 0, 0, 2, 56.00
AFLfast,mp3gain,6,1625087965, 0, 0, 192, 192, 12, 3.43%, 0, 0, 2, 56.05
AFLfast,mp3gain,6,1625088313, 0, 0, 193, 193, 12, 3.43%, 0, 0, 2, 55.33
AFLfast,mp3gain,6,1625090349, 0, 0, 195, 195, 12, 3.43%, 0, 0, 2, 54.45
AFLfast,mp3gain,6,1625090365, 0, 0, 201, 201, 12, 3.43%, 0, 0, 2, 54.46
AFLfast,mp3gain,6,1625090380, 0, 0, 202, 202, 12, 3.43%, 0, 0, 2, 54.87
AFLfast,mp3gain,6,1625090436, 0, 0, 203, 203, 12, 3.44%, 0, 0, 2, 54.58
AFLfast,mp3gain,6,1625090441, 0, 0, 204, 204, 12, 3.44%, 0, 0, 2, 53.78
AFLfast,mp3gain,6,1625090446, 0, 0, 205, 205, 12, 3.44%, 0, 0, 2, 50.70
AFLfast,mp3gain,6,1625090457, 0, 0, 206, 206, 12, 3.44%, 0, 0, 2, 50.66
AFLfast,mp3gain,6,1625090529, 0, 0, 207, 207, 12, 3.44%, 0, 0, 2, 54.76
AFLfast,mp3gain,6,1625090544, 0, 0, 208, 208, 12, 3.44%, 0, 0, 2, 57.24
AFLfast,mp3gain,6,1625090549, 0, 0, 211, 211, 12, 3.44%, 0, 0, 2, 55.39
AFLfast,mp3gain,6,1625090554, 0, 0, 212, 212, 12, 3.44%, 0, 0, 2, 54.31
AFLfast,mp3gain,6,1625090559, 0, 0, 216, 216, 12, 3.44%, 0, 0, 2, 53.59
AFLfast,mp3gain,6,1625090564, 0, 0, 218, 218, 12, 3.44%, 0, 0, 2, 55.33
AFLfast,mp3gain,6,1625090640, 0, 0, 219, 219, 12, 3.44%, 0, 0, 2, 54.64
AFLfast,mp3gain,6,1625090701, 0, 0, 220, 220, 12, 3.44%, 0, 0, 2, 54.47
AFLfast,mp3gain,6,1625091177, 0, 0, 223, 223, 12, 3.44%, 0, 0, 2, 49.49
