alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pcre2grep,11,1626935462, 0, 0, 16.75
AFLfast,pcre2grep,11,1626935467, 0, 0, 18.40
AFLfast,pcre2grep,11,1626935487, 0, 0, 41.28
AFLfast,pcre2grep,11,1626935498, 0, 0, 38.93
AFLfast,pcre2grep,11,1626935513, 0, 0, 41.96
AFLfast,pcre2grep,11,1626935534, 0, 0, 40.51
AFLfast,pcre2grep,11,1626935554, 0, 0, 44.71
AFLfast,pcre2grep,11,1626935575, 0, 0, 80.00
AFLfast,pcre2grep,11,1626935596, 0, 0, 40.10
AFLfast,pcre2grep,11,1626935616, 0, 0, 40.47
AFLfast,pcre2grep,11,1626935626, 0, 0, 39.37
AFLfast,pcre2grep,11,1626935632, 0, 0, 40.00
AFLfast,pcre2grep,11,1626935637, 0, 0, 55.99
AFLfast,pcre2grep,11,1626935647, 0, 0, 37.35
AFLfast,pcre2grep,11,1626935652, 0, 0, 38.07
AFLfast,pcre2grep,11,1626935657, 0, 0, 39.53
AFLfast,pcre2grep,11,1626935668, 0, 0, 34.75
AFLfast,pcre2grep,11,1626935673, 0, 0, 38.77
AFLfast,pcre2grep,11,1626935683, 0, 0, 39.69
AFLfast,pcre2grep,11,1626935688, 0, 0, 40.84
AFLfast,pcre2grep,11,1626935694, 0, 0, 39.55
AFLfast,pcre2grep,11,1626935704, 0, 0, 4.61
AFLfast,pcre2grep,11,1626935709, 0, 0, 39.94
AFLfast,pcre2grep,11,1626935714, 0, 0, 39.23
AFLfast,pcre2grep,11,1626935724, 0, 0, 38.20
AFLfast,pcre2grep,11,1626935730, 0, 0, 38.89
AFLfast,pcre2grep,11,1626935735, 0, 0, 38.49
AFLfast,pcre2grep,11,1626935745, 0, 0, 35.96
AFLfast,pcre2grep,11,1626935750, 0, 0, 35.41
AFLfast,pcre2grep,11,1626935760, 0, 0, 40.75
AFLfast,pcre2grep,11,1626935766, 0, 0, 41.08
AFLfast,pcre2grep,11,1626935771, 0, 0, 38.91
AFLfast,pcre2grep,11,1626935781, 0, 0, 37.67
AFLfast,pcre2grep,11,1626935786, 0, 0, 40.48
AFLfast,pcre2grep,11,1626935791, 0, 0, 40.19
AFLfast,pcre2grep,11,1626935802, 0, 0, 39.52
AFLfast,pcre2grep,11,1626935807, 0, 0, 35.75
AFLfast,pcre2grep,11,1626935817, 0, 0, 41.02
AFLfast,pcre2grep,11,1626935822, 0, 0, 39.32
AFLfast,pcre2grep,11,1626935827, 0, 0, 39.56
AFLfast,pcre2grep,11,1626935838, 0, 0, 38.61
AFLfast,pcre2grep,11,1626935843, 0, 0, 43.12
AFLfast,pcre2grep,11,1626935848, 0, 0, 34.48
AFLfast,pcre2grep,11,1626935858, 0, 0, 39.03
AFLfast,pcre2grep,11,1626935863, 0, 0, 37.66
AFLfast,pcre2grep,11,1626935868, 0, 0, 39.48
AFLfast,pcre2grep,11,1626935879, 0, 0, 41.65
AFLfast,pcre2grep,11,1626935884, 0, 0, 39.91
AFLfast,pcre2grep,11,1626935894, 0, 0, 37.65
AFLfast,pcre2grep,11,1626935899, 0, 0, 38.98
AFLfast,pcre2grep,11,1626935904, 0, 0, 39.17
AFLfast,pcre2grep,11,1626935914, 0, 0, 37.29
AFLfast,pcre2grep,11,1626935920, 0, 0, 4.98
AFLfast,pcre2grep,11,1626935925, 0, 0, 4.52
AFLfast,pcre2grep,11,1626935935, 0, 0, 37.74
AFLfast,pcre2grep,11,1626935940, 0, 0, 39.54
AFLfast,pcre2grep,11,1626935946, 0, 0, 42.65
AFLfast,pcre2grep,11,1626935956, 0, 0, 40.14
AFLfast,pcre2grep,11,1626935961, 0, 0, 40.30
AFLfast,pcre2grep,11,1626935971, 0, 0, 40.40
AFLfast,pcre2grep,11,1626935977, 0, 0, 40.77
AFLfast,pcre2grep,11,1626935982, 0, 0, 43.05
AFLfast,pcre2grep,11,1626935992, 0, 0, 43.67
AFLfast,pcre2grep,11,1626935997, 0, 0, 40.82
AFLfast,pcre2grep,11,1626936003, 0, 0, 37.17
AFLfast,pcre2grep,11,1626936013, 0, 0, 43.72
AFLfast,pcre2grep,11,1626936018, 0, 0, 40.94
AFLfast,pcre2grep,11,1626936023, 0, 0, 38.47
AFLfast,pcre2grep,11,1626936034, 0, 0, 38.09
AFLfast,pcre2grep,11,1626936039, 0, 0, 39.29
AFLfast,pcre2grep,11,1626936044, 0, 0, 40.27
AFLfast,pcre2grep,11,1626936054, 0, 0, 38.82
AFLfast,pcre2grep,11,1626936059, 0, 0, 39.02
AFLfast,pcre2grep,11,1626936070, 0, 0, 57.67
AFLfast,pcre2grep,11,1626936075, 0, 0, 39.19
AFLfast,pcre2grep,11,1626936080, 0, 0, 39.92
AFLfast,pcre2grep,11,1626936090, 0, 0, 34.44
AFLfast,pcre2grep,11,1626936095, 0, 0, 37.06
AFLfast,pcre2grep,11,1626936105, 0, 0, 37.45
AFLfast,pcre2grep,11,1626936110, 0, 0, 38.49
AFLfast,pcre2grep,11,1626936115, 0, 0, 39.86
AFLfast,pcre2grep,11,1626936126, 0, 0, 40.04
AFLfast,pcre2grep,11,1626936131, 0, 0, 38.07
AFLfast,pcre2grep,11,1626936141, 0, 0, 4.88
AFLfast,pcre2grep,11,1626936147, 0, 0, 38.80
AFLfast,pcre2grep,11,1626936152, 0, 0, 38.29
AFLfast,pcre2grep,11,1626936162, 0, 0, 38.10
AFLfast,pcre2grep,11,1626936167, 0, 0, 37.50
AFLfast,pcre2grep,11,1626936177, 0, 0, 4.72
AFLfast,pcre2grep,11,1626936183, 0, 0, 37.17
AFLfast,pcre2grep,11,1626936193, 0, 0, 4.88
AFLfast,pcre2grep,11,1626936198, 0, 0, 35.11
AFLfast,pcre2grep,11,1626936208, 0, 0, 36.26
AFLfast,pcre2grep,11,1626936213, 0, 0, 39.75
AFLfast,pcre2grep,11,1626936223, 0, 0, 39.01
AFLfast,pcre2grep,11,1626936229, 0, 0, 38.49
AFLfast,pcre2grep,11,1626936234, 0, 0, 39.47
AFLfast,pcre2grep,11,1626936244, 0, 0, 37.54
AFLfast,pcre2grep,11,1626936250, 0, 0, 36.92
AFLfast,pcre2grep,11,1626936255, 0, 0, 10.00
AFLfast,pcre2grep,11,1626936265, 0, 0, 42.91
AFLfast,pcre2grep,11,1626936271, 0, 0, 38.60
AFLfast,pcre2grep,11,1626936281, 0, 0, 40.94
AFLfast,pcre2grep,11,1626936286, 0, 0, 40.30
AFLfast,pcre2grep,11,1626936291, 0, 0, 39.21
AFLfast,pcre2grep,11,1626936301, 0, 0, 42.54
AFLfast,pcre2grep,11,1626936307, 0, 0, 4.57
AFLfast,pcre2grep,11,1626936317, 0, 0, 38.50
AFLfast,pcre2grep,11,1626936322, 0, 0, 38.73
AFLfast,pcre2grep,11,1626936328, 0, 0, 35.78
AFLfast,pcre2grep,11,1626936338, 0, 0, 39.43
AFLfast,pcre2grep,11,1626936343, 0, 0, 37.22
AFLfast,pcre2grep,11,1626936353, 0, 0, 38.28
AFLfast,pcre2grep,11,1626936358, 0, 0, 38.45
AFLfast,pcre2grep,11,1626936363, 0, 0, 38.22
AFLfast,pcre2grep,11,1626936373, 0, 0, 39.68
AFLfast,pcre2grep,11,1626936378, 0, 0, 37.88
AFLfast,pcre2grep,11,1626936389, 0, 0, 37.22
AFLfast,pcre2grep,11,1626936399, 0, 0, 39.07
AFLfast,pcre2grep,11,1626936404, 0, 0, 39.47
AFLfast,pcre2grep,11,1626936410, 0, 0, 40.47
AFLfast,pcre2grep,11,1626936420, 0, 0, 36.87
AFLfast,pcre2grep,11,1626936425, 0, 0, 39.59
AFLfast,pcre2grep,11,1626936430, 0, 0, 39.45
AFLfast,pcre2grep,11,1626936440, 0, 0, 39.34
AFLfast,pcre2grep,11,1626936445, 0, 0, 38.76
AFLfast,pcre2grep,11,1626936456, 0, 0, 36.78
AFLfast,pcre2grep,11,1626936461, 0, 0, 38.36
AFLfast,pcre2grep,11,1626936473, 0, 0, 0.21
AFLfast,pcre2grep,11,1626936479, 0, 0, 36.34
AFLfast,pcre2grep,11,1626936489, 0, 0, 31.03
AFLfast,pcre2grep,11,1626936500, 0, 0, 30.33
AFLfast,pcre2grep,11,1626936505, 0, 0, 33.37
AFLfast,pcre2grep,11,1626936515, 0, 0, 33.20
AFLfast,pcre2grep,11,1626936525, 0, 0, 32.80
AFLfast,pcre2grep,11,1626936531, 0, 0, 31.98
AFLfast,pcre2grep,11,1626936541, 0, 0, 34.32
AFLfast,pcre2grep,11,1626936551, 0, 0, 32.31
AFLfast,pcre2grep,11,1626936556, 0, 0, 32.68
AFLfast,pcre2grep,11,1626936566, 0, 0, 33.17
AFLfast,pcre2grep,11,1626936572, 0, 0, 34.49
AFLfast,pcre2grep,11,1626936582, 0, 0, 32.98
AFLfast,pcre2grep,11,1626936592, 0, 0, 33.19
AFLfast,pcre2grep,11,1626936597, 0, 0, 34.10
AFLfast,pcre2grep,11,1626936608, 0, 0, 34.53
AFLfast,pcre2grep,11,1626936613, 0, 0, 32.39
AFLfast,pcre2grep,11,1626936623, 0, 0, 30.92
AFLfast,pcre2grep,11,1626936633, 0, 0, 35.74
AFLfast,pcre2grep,11,1626936638, 0, 0, 36.83
AFLfast,pcre2grep,11,1626936648, 0, 0, 40.75
AFLfast,pcre2grep,11,1626936653, 0, 0, 37.12
AFLfast,pcre2grep,11,1626936664, 0, 0, 36.55
AFLfast,pcre2grep,11,1626936669, 0, 0, 32.30
AFLfast,pcre2grep,11,1626936679, 0, 0, 35.97
AFLfast,pcre2grep,11,1626936689, 0, 0, 36.26
AFLfast,pcre2grep,11,1626936695, 0, 0, 33.25
AFLfast,pcre2grep,11,1626936705, 0, 0, 33.45
AFLfast,pcre2grep,11,1626936715, 0, 0, 35.12
AFLfast,pcre2grep,11,1626936720, 0, 0, 34.00
AFLfast,pcre2grep,11,1626936730, 0, 0, 31.59
AFLfast,pcre2grep,11,1626936735, 0, 0, 32.74
AFLfast,pcre2grep,11,1626936746, 0, 0, 36.37
AFLfast,pcre2grep,11,1626936756, 0, 0, 34.42
AFLfast,pcre2grep,11,1626936761, 0, 0, 37.40
AFLfast,pcre2grep,11,1626936771, 0, 0, 33.04
AFLfast,pcre2grep,11,1626936776, 0, 0, 4.63
AFLfast,pcre2grep,11,1626936786, 0, 0, 27.02
AFLfast,pcre2grep,11,1626936796, 0, 0, 34.88
AFLfast,pcre2grep,11,1626936801, 0, 0, 33.27
AFLfast,pcre2grep,11,1626936812, 0, 0, 35.22
AFLfast,pcre2grep,11,1626936817, 0, 0, 40.51
AFLfast,pcre2grep,11,1626936827, 0, 0, 36.67
AFLfast,pcre2grep,11,1626936841, 0, 0, 35.74
AFLfast,pcre2grep,11,1626936846, 0, 0, 33.34
AFLfast,pcre2grep,11,1626936856, 0, 0, 34.18
AFLfast,pcre2grep,11,1626936861, 0, 0, 33.28
AFLfast,pcre2grep,11,1626936872, 0, 0, 37.83
AFLfast,pcre2grep,11,1626936877, 0, 0, 36.01
AFLfast,pcre2grep,11,1626936887, 0, 0, 27.88
AFLfast,pcre2grep,11,1626936898, 0, 0, 34.26
AFLfast,pcre2grep,11,1626936903, 0, 0, 31.75
AFLfast,pcre2grep,11,1626936913, 0, 0, 34.13
AFLfast,pcre2grep,11,1626936924, 0, 0, 31.23
AFLfast,pcre2grep,11,1626936929, 0, 0, 30.10
AFLfast,pcre2grep,11,1626936939, 0, 0, 29.40
AFLfast,pcre2grep,11,1626936949, 0, 0, 32.66
AFLfast,pcre2grep,11,1626936954, 0, 0, 31.61
AFLfast,pcre2grep,11,1626936965, 0, 0, 32.49
AFLfast,pcre2grep,11,1626936975, 0, 0, 30.37
AFLfast,pcre2grep,11,1626936980, 0, 0, 23.13
AFLfast,pcre2grep,11,1626936990, 0, 0, 4.78
AFLfast,pcre2grep,11,1626937001, 0, 0, 39.02
AFLfast,pcre2grep,11,1626937006, 0, 0, 40.60
AFLfast,pcre2grep,11,1626937016, 0, 0, 31.16
AFLfast,pcre2grep,11,1626937021, 0, 0, 33.97
AFLfast,pcre2grep,11,1626937031, 0, 0, 34.64
AFLfast,pcre2grep,11,1626937037, 0, 0, 33.46
AFLfast,pcre2grep,11,1626937047, 0, 0, 32.73
AFLfast,pcre2grep,11,1626937057, 0, 0, 34.40
AFLfast,pcre2grep,11,1626937062, 0, 0, 31.07
AFLfast,pcre2grep,11,1626937072, 0, 0, 31.99
AFLfast,pcre2grep,11,1626937078, 0, 0, 33.25
AFLfast,pcre2grep,11,1626937088, 0, 0, 33.52
AFLfast,pcre2grep,11,1626937098, 0, 0, 33.48
AFLfast,pcre2grep,11,1626937108, 0, 0, 32.38
AFLfast,pcre2grep,11,1626937113, 0, 0, 33.33
AFLfast,pcre2grep,11,1626937124, 0, 0, 32.20
AFLfast,pcre2grep,11,1626937134, 0, 0, 32.54
AFLfast,pcre2grep,11,1626937139, 0, 0, 32.77
AFLfast,pcre2grep,11,1626937149, 0, 0, 5.00
AFLfast,pcre2grep,11,1626937159, 0, 0, 32.81
AFLfast,pcre2grep,11,1626937164, 0, 0, 30.52
AFLfast,pcre2grep,11,1626937175, 0, 0, 35.54
AFLfast,pcre2grep,11,1626937180, 0, 0, 37.98
AFLfast,pcre2grep,11,1626937190, 0, 0, 34.51
AFLfast,pcre2grep,11,1626937196, 0, 0, 35.34
AFLfast,pcre2grep,11,1626937206, 0, 0, 34.99
AFLfast,pcre2grep,11,1626937211, 0, 0, 35.62
AFLfast,pcre2grep,11,1626937221, 0, 0, 32.49
AFLfast,pcre2grep,11,1626937231, 0, 0, 31.64
AFLfast,pcre2grep,11,1626937236, 0, 0, 33.14
AFLfast,pcre2grep,11,1626937246, 0, 0, 35.67
AFLfast,pcre2grep,11,1626937257, 0, 0, 31.90
AFLfast,pcre2grep,11,1626937262, 0, 0, 30.42
AFLfast,pcre2grep,11,1626937272, 0, 0, 31.72
AFLfast,pcre2grep,11,1626937282, 0, 0, 31.01
AFLfast,pcre2grep,11,1626937293, 0, 0, 30.49
AFLfast,pcre2grep,11,1626937303, 0, 0, 29.03
AFLfast,pcre2grep,11,1626937308, 0, 0, 29.52
AFLfast,pcre2grep,11,1626937319, 0, 0, 32.27
AFLfast,pcre2grep,11,1626937329, 0, 0, 32.68
AFLfast,pcre2grep,11,1626937334, 0, 0, 32.56
AFLfast,pcre2grep,11,1626937344, 0, 0, 32.66
AFLfast,pcre2grep,11,1626937355, 0, 0, 34.56
AFLfast,pcre2grep,11,1626937360, 0, 0, 31.76
AFLfast,pcre2grep,11,1626937370, 0, 0, 38.16
AFLfast,pcre2grep,11,1626937375, 0, 0, 37.11
