alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pcre2grep,2,1626434683, 0, 0, 7, 7, 1, 0.48%, 0, 0, 1, 52.14
AFLfast,pcre2grep,2,1626434714, 0, 1, 7, 6, 0, 0.48%, 0, 0, 1, 106.66
AFLfast,pcre2grep,2,1626434724, 0, 2, 7, 5, 0, 0.48%, 0, 0, 1, 111.78
AFLfast,pcre2grep,2,1626434734, 0, 3, 7, 4, 0, 0.48%, 0, 0, 1, 105.90
AFLfast,pcre2grep,2,1626434739, 0, 4, 7, 3, 0, 0.48%, 0, 0, 1, 111.09
AFLfast,pcre2grep,2,1626434750, 0, 5, 7, 2, 0, 0.48%, 0, 0, 1, 110.26
AFLfast,pcre2grep,2,1626434760, 0, 6, 7, 1, 0, 0.48%, 0, 0, 1, 106.46
AFLfast,pcre2grep,2,1626434770, 1, 0, 7, 0, 0, 0.48%, 0, 0, 1, 105.86
AFLfast,pcre2grep,2,1626434796, 1, 1, 7, 0, 0, 0.48%, 0, 0, 1, 96.30
AFLfast,pcre2grep,2,1626434801, 1, 2, 7, 0, 0, 0.48%, 0, 0, 1, 94.64
AFLfast,pcre2grep,2,1626434806, 1, 4, 7, 0, 0, 0.48%, 0, 0, 1, 95.33
AFLfast,pcre2grep,2,1626434811, 1, 5, 7, 0, 0, 0.48%, 0, 0, 1, 93.69
AFLfast,pcre2grep,2,1626434816, 1, 6, 7, 0, 0, 0.48%, 0, 0, 1, 91.81
AFLfast,pcre2grep,2,1626434822, 2, 0, 7, 0, 0, 0.48%, 0, 0, 1, 92.10
AFLfast,pcre2grep,2,1626434832, 2, 1, 7, 0, 0, 0.48%, 0, 0, 1, 92.32
AFLfast,pcre2grep,2,1626434837, 2, 2, 7, 0, 0, 0.48%, 0, 0, 1, 92.17
AFLfast,pcre2grep,2,1626434842, 2, 4, 7, 0, 0, 0.48%, 0, 0, 1, 93.38
AFLfast,pcre2grep,2,1626434847, 2, 5, 7, 0, 0, 0.48%, 0, 0, 1, 95.24
AFLfast,pcre2grep,2,1626434852, 2, 6, 7, 0, 0, 0.48%, 0, 0, 1, 90.22
AFLfast,pcre2grep,2,1626434858, 3, 0, 7, 0, 0, 0.48%, 0, 0, 1, 86.64
AFLfast,pcre2grep,2,1626434868, 3, 1, 7, 0, 0, 0.48%, 0, 0, 1, 87.12
AFLfast,pcre2grep,2,1626434873, 3, 2, 7, 0, 0, 0.48%, 0, 0, 1, 89.10
AFLfast,pcre2grep,2,1626434878, 3, 3, 7, 0, 0, 0.48%, 0, 0, 1, 88.79
AFLfast,pcre2grep,2,1626434883, 3, 4, 7, 0, 0, 0.48%, 0, 0, 1, 87.26
AFLfast,pcre2grep,2,1626434888, 3, 6, 7, 0, 0, 0.48%, 0, 0, 1, 87.86
AFLfast,pcre2grep,2,1626434893, 4, 0, 7, 0, 0, 0.48%, 0, 0, 1, 86.89
AFLfast,pcre2grep,2,1626434908, 4, 1, 7, 0, 0, 0.48%, 0, 0, 1, 86.98
AFLfast,pcre2grep,2,1626434914, 4, 3, 7, 0, 0, 0.48%, 0, 0, 1, 85.98
