alg,SUT,rep,# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
AFLfast,pcre2test,0,1624998245, 0, 0, 6, 6, 2, 0.22%, 0, 0, 1, 1297.30
AFLfast,pcre2test,0,1624998250, 0, 0, 46, 46, 2, 0.79%, 0, 0, 2, 1686.97
AFLfast,pcre2test,0,1624998255, 0, 0, 58, 58, 2, 0.98%, 0, 0, 2, 1753.84
AFLfast,pcre2test,0,1624998260, 0, 53, 78, 77, 20, 1.33%, 0, 0, 3, 1624.39
AFLfast,pcre2test,0,1624998265, 0, 53, 254, 253, 20, 2.03%, 0, 0, 3, 1443.22
AFLfast,pcre2test,0,1624998270, 0, 53, 313, 312, 20, 2.17%, 0, 0, 3, 1572.53
AFLfast,pcre2test,0,1624998275, 0, 53, 344, 343, 20, 2.28%, 0, 0, 3, 1510.71
AFLfast,pcre2test,0,1624998280, 0, 196, 375, 373, 87, 2.29%, 0, 0, 4, 1427.23
AFLfast,pcre2test,0,1624998290, 0, 196, 411, 409, 87, 2.37%, 0, 0, 4, 1300.57
AFLfast,pcre2test,0,1624998295, 0, 196, 433, 431, 87, 2.42%, 0, 0, 4, 1133.95
AFLfast,pcre2test,0,1624998301, 0, 196, 447, 445, 87, 2.43%, 0, 0, 4, 1078.32
AFLfast,pcre2test,0,1624998306, 0, 261, 487, 484, 95, 2.46%, 0, 0, 4, 919.85
AFLfast,pcre2test,0,1624998311, 0, 261, 502, 499, 95, 2.48%, 0, 0, 4, 786.85
AFLfast,pcre2test,0,1624998316, 0, 261, 518, 515, 95, 2.51%, 0, 0, 4, 792.11
AFLfast,pcre2test,0,1624998321, 0, 261, 531, 528, 95, 2.52%, 0, 0, 4, 724.60
AFLfast,pcre2test,0,1624998326, 0, 261, 544, 541, 95, 2.69%, 0, 0, 4, 696.30
AFLfast,pcre2test,0,1624998331, 0, 261, 554, 551, 95, 2.69%, 0, 0, 4, 742.68
AFLfast,pcre2test,0,1624998336, 0, 261, 561, 558, 95, 2.72%, 0, 0, 4, 742.42
AFLfast,pcre2test,0,1624998341, 0, 303, 570, 566, 110, 2.76%, 0, 0, 4, 727.32
AFLfast,pcre2test,0,1624998346, 0, 303, 585, 581, 110, 2.84%, 0, 0, 4, 705.98
AFLfast,pcre2test,0,1624998351, 0, 303, 593, 589, 110, 2.86%, 0, 0, 4, 719.85
AFLfast,pcre2test,0,1624998356, 0, 303, 597, 593, 110, 2.86%, 0, 0, 4, 643.67
AFLfast,pcre2test,0,1624998361, 0, 303, 601, 597, 110, 2.86%, 0, 0, 4, 615.87
AFLfast,pcre2test,0,1624998366, 0, 303, 610, 606, 110, 2.89%, 0, 0, 4, 596.60
AFLfast,pcre2test,0,1624998372, 0, 303, 614, 610, 110, 2.92%, 0, 0, 4, 541.68
AFLfast,pcre2test,0,1624998377, 0, 303, 618, 614, 110, 2.95%, 0, 0, 4, 493.83
AFLfast,pcre2test,0,1624998382, 0, 304, 625, 620, 122, 2.96%, 0, 0, 4, 463.16
AFLfast,pcre2test,0,1624998387, 0, 304, 628, 623, 122, 2.98%, 0, 0, 4, 464.99
AFLfast,pcre2test,0,1624998397, 0, 304, 633, 628, 122, 3.05%, 0, 0, 4, 470.48
AFLfast,pcre2test,0,1624998402, 0, 304, 645, 640, 122, 3.07%, 0, 0, 4, 461.26
AFLfast,pcre2test,0,1624998407, 0, 304, 653, 648, 122, 3.08%, 0, 0, 4, 459.24
AFLfast,pcre2test,0,1624998413, 0, 304, 657, 652, 122, 3.09%, 0, 0, 4, 439.06
AFLfast,pcre2test,0,1624998418, 0, 304, 664, 659, 122, 3.09%, 0, 0, 4, 425.69
AFLfast,pcre2test,0,1624998423, 0, 304, 669, 664, 122, 3.09%, 0, 0, 4, 417.49
AFLfast,pcre2test,0,1624998428, 0, 304, 680, 675, 122, 3.10%, 0, 0, 4, 408.48
AFLfast,pcre2test,0,1624998433, 0, 304, 681, 676, 122, 3.10%, 0, 0, 4, 381.00
AFLfast,pcre2test,0,1624998438, 0, 304, 686, 681, 122, 3.12%, 0, 0, 4, 360.28
AFLfast,pcre2test,0,1624998443, 0, 304, 689, 684, 122, 3.12%, 0, 0, 4, 356.31
AFLfast,pcre2test,0,1624998448, 0, 304, 691, 686, 122, 3.12%, 0, 0, 4, 357.18
AFLfast,pcre2test,0,1624998453, 0, 304, 694, 689, 122, 3.14%, 0, 0, 4, 351.88
