alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,pcre2test,10,1624998561, 0, 0, 81.47
AFLfast,pcre2test,10,1624998567, 0, 0, 231.02
AFLfast,pcre2test,10,1624998572, 0, 0, 260.01
AFLfast,pcre2test,10,1624998577, 0, 0, 247.99
AFLfast,pcre2test,10,1624998582, 0, 0, 256.11
AFLfast,pcre2test,10,1624998587, 0, 0, 262.70
AFLfast,pcre2test,10,1624998592, 0, 0, 263.37
AFLfast,pcre2test,10,1624998597, 0, 0, 251.50
AFLfast,pcre2test,10,1624998602, 0, 0, 270.62
AFLfast,pcre2test,10,1624998608, 0, 0, 268.28
AFLfast,pcre2test,10,1624998613, 0, 0, 255.88
AFLfast,pcre2test,10,1624998618, 0, 0, 251.27
AFLfast,pcre2test,10,1624998623, 0, 0, 234.16
AFLfast,pcre2test,10,1624998628, 0, 0, 236.67
AFLfast,pcre2test,10,1624998633, 0, 0, 221.99
AFLfast,pcre2test,10,1624998638, 0, 0, 219.02
AFLfast,pcre2test,10,1624998659, 0, 0, 216.36
AFLfast,pcre2test,10,1624998664, 0, 0, 228.79
AFLfast,pcre2test,10,1624998669, 0, 0, 229.21
AFLfast,pcre2test,10,1624998674, 0, 0, 228.97
AFLfast,pcre2test,10,1624998679, 0, 0, 233.56
AFLfast,pcre2test,10,1624998684, 0, 0, 232.04
AFLfast,pcre2test,10,1624998689, 0, 0, 234.93
AFLfast,pcre2test,10,1624998694, 0, 0, 233.45
AFLfast,pcre2test,10,1624998699, 0, 0, 233.59
AFLfast,pcre2test,10,1624998705, 0, 0, 234.71
AFLfast,pcre2test,10,1624998710, 0, 0, 233.29
AFLfast,pcre2test,10,1624998715, 0, 0, 234.22
AFLfast,pcre2test,10,1624998720, 0, 0, 238.24
AFLfast,pcre2test,10,1624998725, 0, 0, 239.67
AFLfast,pcre2test,10,1624998730, 0, 0, 233.33
AFLfast,pcre2test,10,1624998735, 0, 0, 235.02
AFLfast,pcre2test,10,1624998740, 0, 0, 233.88
AFLfast,pcre2test,10,1624998746, 0, 0, 233.31
AFLfast,pcre2test,10,1624998751, 0, 0, 234.18
