alg,SUT,rep,# unix_time, unique_crashes, unique_hangs, execs_per_sec
AFLfast,sqlite3,13,1625078838, 0, 0, 20.69
AFLfast,sqlite3,13,1625078843, 0, 0, 21.58
AFLfast,sqlite3,13,1625079161, 0, 0, 17.67
AFLfast,sqlite3,13,1625079341, 0, 0, 19.78
AFLfast,sqlite3,13,1625079470, 0, 0, 19.18
AFLfast,sqlite3,13,1625079834, 0, 0, 19.59
AFLfast,sqlite3,13,1625079855, 0, 0, 19.61
AFLfast,sqlite3,13,1625080692, 0, 0, 19.48
AFLfast,sqlite3,13,1625081513, 0, 0, 19.47
AFLfast,sqlite3,13,1625082333, 0, 0, 18.84
AFLfast,sqlite3,13,1625082354, 0, 0, 19.66
AFLfast,sqlite3,13,1625083143, 0, 0, 22.62
AFLfast,sqlite3,13,1625083148, 0, 0, 22.45
AFLfast,sqlite3,13,1625083158, 0, 0, 23.03
AFLfast,sqlite3,13,1625083164, 0, 0, 22.70
AFLfast,sqlite3,13,1625083169, 0, 0, 22.54
AFLfast,sqlite3,13,1625083174, 0, 0, 23.04
AFLfast,sqlite3,13,1625083179, 0, 0, 23.07
AFLfast,sqlite3,13,1625083184, 0, 0, 23.19
AFLfast,sqlite3,13,1625083189, 0, 0, 22.99
AFLfast,sqlite3,13,1625083195, 0, 0, 23.15
AFLfast,sqlite3,13,1625083200, 0, 0, 23.00
AFLfast,sqlite3,13,1625083205, 0, 0, 24.03
AFLfast,sqlite3,13,1625083210, 0, 0, 23.93
AFLfast,sqlite3,13,1625083215, 0, 0, 24.84
AFLfast,sqlite3,13,1625083220, 0, 0, 24.91
AFLfast,sqlite3,13,1625083225, 0, 0, 25.56
AFLfast,sqlite3,13,1625083236, 0, 0, 25.15
AFLfast,sqlite3,13,1625083241, 0, 0, 25.05
AFLfast,sqlite3,13,1625083246, 0, 0, 24.96
AFLfast,sqlite3,13,1625083251, 0, 0, 25.24
AFLfast,sqlite3,13,1625083256, 0, 0, 25.41
AFLfast,sqlite3,13,1625083261, 0, 0, 25.47
AFLfast,sqlite3,13,1625083266, 0, 0, 25.04
AFLfast,sqlite3,13,1625083272, 0, 0, 25.14
AFLfast,sqlite3,13,1625083277, 0, 0, 25.90
AFLfast,sqlite3,13,1625083282, 0, 0, 26.61
AFLfast,sqlite3,13,1625083287, 0, 0, 27.00
AFLfast,sqlite3,13,1625083292, 0, 0, 27.93
AFLfast,sqlite3,13,1625083297, 0, 0, 27.54
AFLfast,sqlite3,13,1625083302, 0, 0, 27.69
AFLfast,sqlite3,13,1625083307, 0, 0, 27.84
AFLfast,sqlite3,13,1625083312, 0, 0, 27.28
AFLfast,sqlite3,13,1625083318, 0, 0, 27.83
AFLfast,sqlite3,13,1625083323, 0, 0, 27.79
AFLfast,sqlite3,13,1625083328, 0, 0, 27.96
AFLfast,sqlite3,13,1625083333, 0, 0, 27.85
AFLfast,sqlite3,13,1625083338, 0, 0, 28.21
AFLfast,sqlite3,13,1625083343, 0, 0, 28.45
AFLfast,sqlite3,13,1625083348, 0, 0, 29.16
AFLfast,sqlite3,13,1625083353, 0, 0, 29.74
AFLfast,sqlite3,13,1625083358, 0, 0, 30.83
AFLfast,sqlite3,13,1625083363, 0, 0, 31.79
AFLfast,sqlite3,13,1625083368, 0, 0, 32.60
AFLfast,sqlite3,13,1625083374, 0, 0, 31.85
AFLfast,sqlite3,13,1625083379, 0, 0, 30.82
AFLfast,sqlite3,13,1625083384, 0, 0, 31.81
AFLfast,sqlite3,13,1625083389, 0, 0, 31.29
AFLfast,sqlite3,13,1625083394, 0, 0, 31.61
AFLfast,sqlite3,13,1625083399, 0, 0, 31.20
AFLfast,sqlite3,13,1625083404, 0, 0, 31.55
AFLfast,sqlite3,13,1625083409, 0, 0, 31.17
AFLfast,sqlite3,13,1625083414, 0, 0, 31.29
AFLfast,sqlite3,13,1625083420, 0, 0, 32.66
AFLfast,sqlite3,13,1625083425, 0, 0, 32.72
AFLfast,sqlite3,13,1625083430, 0, 0, 34.88
AFLfast,sqlite3,13,1625083435, 0, 0, 35.37
AFLfast,sqlite3,13,1625083440, 0, 0, 35.42
AFLfast,sqlite3,13,1625083446, 0, 0, 35.11
AFLfast,sqlite3,13,1625083451, 0, 0, 33.85
AFLfast,sqlite3,13,1625083456, 0, 0, 33.59
AFLfast,sqlite3,13,1625083461, 0, 0, 34.78
AFLfast,sqlite3,13,1625083466, 0, 0, 34.96
AFLfast,sqlite3,13,1625083471, 0, 0, 35.37
AFLfast,sqlite3,13,1625083486, 0, 0, 36.73
AFLfast,sqlite3,13,1625083502, 0, 0, 39.91
AFLfast,sqlite3,13,1625083512, 0, 0, 41.43
AFLfast,sqlite3,13,1625083910, 0, 0, 39.40
AFLfast,sqlite3,13,1625083926, 0, 0, 39.18
AFLfast,sqlite3,13,1625083941, 0, 0, 38.85
AFLfast,sqlite3,13,1625083951, 0, 0, 38.87
AFLfast,sqlite3,13,1625083966, 0, 0, 38.90
AFLfast,sqlite3,13,1625083972, 0, 0, 38.32
AFLfast,sqlite3,13,1625083977, 0, 0, 38.86
AFLfast,sqlite3,13,1625083982, 0, 0, 38.75
AFLfast,sqlite3,13,1625083987, 0, 0, 39.40
AFLfast,sqlite3,13,1625083992, 0, 0, 39.10
AFLfast,sqlite3,13,1625083997, 0, 0, 38.40
AFLfast,sqlite3,13,1625084002, 0, 0, 38.16
AFLfast,sqlite3,13,1625084007, 0, 0, 38.10
AFLfast,sqlite3,13,1625084012, 0, 0, 37.85
